# idx,cos,sin,hexPair  meanR=4095.99 varR=0.08 minR=4095.38 maxR=4096.59
0,4088,264,0x01080ff8
1,-264,4088,0x0ff8fef8
2,4087,270,0x010e0ff7
3,-270,4087,0x0ff7fef2
4,4087,276,0x01140ff7
5,-276,4087,0x0ff7feec
6,4086,283,0x011b0ff6
7,-283,4086,0x0ff6fee5
8,4086,289,0x01210ff6
9,-289,4086,0x0ff6fedf
10,4085,295,0x01270ff5
11,-295,4085,0x0ff5fed9
12,4085,301,0x012d0ff5
13,-301,4085,0x0ff5fed3
14,4084,308,0x01340ff4
15,-308,4084,0x0ff4fecc
16,4084,314,0x013a0ff4
17,-314,4084,0x0ff4fec6
18,4083,320,0x01400ff3
19,-320,4083,0x0ff3fec0
20,4083,326,0x01460ff3
21,-326,4083,0x0ff3feba
22,4082,333,0x014d0ff2
23,-333,4082,0x0ff2feb3
24,4082,339,0x01530ff2
25,-339,4082,0x0ff2fead
26,4081,345,0x01590ff1
27,-345,4081,0x0ff1fea7
28,4081,351,0x015f0ff1
29,-351,4081,0x0ff1fea1
30,4080,358,0x01660ff0
31,-358,4080,0x0ff0fe9a
32,4080,364,0x016c0ff0
33,-364,4080,0x0ff0fe94
34,4079,370,0x01720fef
35,-370,4079,0x0feffe8e
36,4079,376,0x01780fef
37,-376,4079,0x0feffe88
38,4078,383,0x017f0fee
39,-383,4078,0x0feefe81
40,4077,389,0x01850fed
41,-389,4077,0x0fedfe7b
42,4077,395,0x018b0fed
43,-395,4077,0x0fedfe75
44,4076,401,0x01910fec
45,-401,4076,0x0fecfe6f
46,4076,408,0x01980fec
47,-408,4076,0x0fecfe68
48,4075,414,0x019e0feb
49,-414,4075,0x0febfe62
50,4074,420,0x01a40fea
51,-420,4074,0x0feafe5c
52,4074,426,0x01aa0fea
53,-426,4074,0x0feafe56
54,4073,433,0x01b10fe9
55,-433,4073,0x0fe9fe4f
56,4072,439,0x01b70fe8
57,-439,4072,0x0fe8fe49
58,4072,445,0x01bd0fe8
59,-445,4072,0x0fe8fe43
60,4071,451,0x01c30fe7
61,-451,4071,0x0fe7fe3d
62,4070,458,0x01ca0fe6
63,-458,4070,0x0fe6fe36
64,4070,464,0x01d00fe6
65,-464,4070,0x0fe6fe30
66,4069,470,0x01d60fe5
67,-470,4069,0x0fe5fe2a
68,4068,476,0x01dc0fe4
69,-476,4068,0x0fe4fe24
70,4067,483,0x01e30fe3
71,-483,4067,0x0fe3fe1d
72,4067,489,0x01e90fe3
73,-489,4067,0x0fe3fe17
74,4066,495,0x01ef0fe2
75,-495,4066,0x0fe2fe11
76,4065,501,0x01f50fe1
77,-501,4065,0x0fe1fe0b
78,4064,508,0x01fc0fe0
79,-508,4064,0x0fe0fe04
80,4064,514,0x02020fe0
81,-514,4064,0x0fe0fdfe
82,4063,520,0x02080fdf
83,-520,4063,0x0fdffdf8
84,4062,526,0x020e0fde
85,-526,4062,0x0fdefdf2
86,4061,533,0x02150fdd
87,-533,4061,0x0fddfdeb
88,4060,539,0x021b0fdc
89,-539,4060,0x0fdcfde5
90,4060,545,0x02210fdc
91,-545,4060,0x0fdcfddf
92,4059,551,0x02270fdb
93,-551,4059,0x0fdbfdd9
94,4058,557,0x022d0fda
95,-557,4058,0x0fdafdd3
96,4057,564,0x02340fd9
97,-564,4057,0x0fd9fdcc
98,4056,570,0x023a0fd8
99,-570,4056,0x0fd8fdc6
100,4055,576,0x02400fd7
101,-576,4055,0x0fd7fdc0
102,4054,582,0x02460fd6
103,-582,4054,0x0fd6fdba
104,4053,589,0x024d0fd5
105,-589,4053,0x0fd5fdb3
106,4053,595,0x02530fd5
107,-595,4053,0x0fd5fdad
108,4052,601,0x02590fd4
109,-601,4052,0x0fd4fda7
110,4051,607,0x025f0fd3
111,-607,4051,0x0fd3fda1
112,4050,613,0x02650fd2
113,-613,4050,0x0fd2fd9b
114,4049,620,0x026c0fd1
115,-620,4049,0x0fd1fd94
116,4048,626,0x02720fd0
117,-626,4048,0x0fd0fd8e
118,4047,632,0x02780fcf
119,-632,4047,0x0fcffd88
120,4046,638,0x027e0fce
121,-638,4046,0x0fcefd82
122,4045,644,0x02840fcd
123,-644,4045,0x0fcdfd7c
124,4044,651,0x028b0fcc
125,-651,4044,0x0fccfd75
126,4043,657,0x02910fcb
127,-657,4043,0x0fcbfd6f
128,4042,663,0x02970fca
129,-663,4042,0x0fcafd69
130,4041,669,0x029d0fc9
131,-669,4041,0x0fc9fd63
132,4040,675,0x02a30fc8
133,-675,4040,0x0fc8fd5d
134,4039,682,0x02aa0fc7
135,-682,4039,0x0fc7fd56
136,4038,688,0x02b00fc6
137,-688,4038,0x0fc6fd50
138,4037,694,0x02b60fc5
139,-694,4037,0x0fc5fd4a
140,4036,700,0x02bc0fc4
141,-700,4036,0x0fc4fd44
142,4035,706,0x02c20fc3
143,-706,4035,0x0fc3fd3e
144,4034,713,0x02c90fc2
145,-713,4034,0x0fc2fd37
146,4032,719,0x02cf0fc0
147,-719,4032,0x0fc0fd31
148,4031,725,0x02d50fbf
149,-725,4031,0x0fbffd2b
150,4030,731,0x02db0fbe
151,-731,4030,0x0fbefd25
152,4029,737,0x02e10fbd
153,-737,4029,0x0fbdfd1f
154,4028,744,0x02e80fbc
155,-744,4028,0x0fbcfd18
156,4027,750,0x02ee0fbb
157,-750,4027,0x0fbbfd12
158,4026,756,0x02f40fba
159,-756,4026,0x0fbafd0c
160,4024,762,0x02fa0fb8
161,-762,4024,0x0fb8fd06
162,4023,768,0x03000fb7
163,-768,4023,0x0fb7fd00
164,4022,774,0x03060fb6
165,-774,4022,0x0fb6fcfa
166,4021,781,0x030d0fb5
167,-781,4021,0x0fb5fcf3
168,4020,787,0x03130fb4
169,-787,4020,0x0fb4fced
170,4019,793,0x03190fb3
171,-793,4019,0x0fb3fce7
172,4017,799,0x031f0fb1
173,-799,4017,0x0fb1fce1
174,4016,805,0x03250fb0
175,-805,4016,0x0fb0fcdb
176,4015,811,0x032b0faf
177,-811,4015,0x0faffcd5
178,4014,818,0x03320fae
179,-818,4014,0x0faefcce
180,4012,824,0x03380fac
181,-824,4012,0x0facfcc8
182,4011,830,0x033e0fab
183,-830,4011,0x0fabfcc2
184,4010,836,0x03440faa
185,-836,4010,0x0faafcbc
186,4008,842,0x034a0fa8
187,-842,4008,0x0fa8fcb6
188,4007,848,0x03500fa7
189,-848,4007,0x0fa7fcb0
190,4006,854,0x03560fa6
191,-854,4006,0x0fa6fcaa
192,4005,861,0x035d0fa5
193,-861,4005,0x0fa5fca3
194,4003,867,0x03630fa3
195,-867,4003,0x0fa3fc9d
196,4002,873,0x03690fa2
197,-873,4002,0x0fa2fc97
198,4001,879,0x036f0fa1
199,-879,4001,0x0fa1fc91
200,3999,885,0x03750f9f
201,-885,3999,0x0f9ffc8b
202,3998,891,0x037b0f9e
203,-891,3998,0x0f9efc85
204,3996,897,0x03810f9c
205,-897,3996,0x0f9cfc7f
206,3995,904,0x03880f9b
207,-904,3995,0x0f9bfc78
208,3994,910,0x038e0f9a
209,-910,3994,0x0f9afc72
