container_i,bind_off,base,entry_i,name,rel_off,abs_off,size
0,12288,file,0,"\SMOKE_1.TIM",4528,16816,576
0,12288,file,1,"\SMOKE_2.TIM",5108,17396,576
0,12288,file,2,"\XPLO_2.TIM",5688,17976,2112
0,12288,file,3,"\PUFF.TIM",7804,20092,592
0,12288,file,4,"\SPARK.TIM",8400,20688,576
0,12288,file,5,"\STAR_2.TIM",8980,21268,576
0,12288,file,6,"\POP.TIM",9560,21848,2112
0,12288,file,7,"\ARROW_ATTACK.TIM",11676,23964,576
0,12288,file,8,"\G_ARROW.TIM",12256,24544,576
0,12288,file,9,"\TEAR_LEFT.TIM",12836,25124,576
0,12288,file,10,"\SPRAY.TIM",13416,25704,576
0,12288,file,11,"\BOOTS_1.TIM",13996,26284,576
0,12288,file,12,"\BOOTS_2.TIM",14576,26864,576
0,12288,file,13,"\BOOTS_3.TIM",15156,27444,576
0,12288,file,14,"\BOOTS_4.TIM",15736,28024,576
0,12288,file,15,"\FIRE_1.TIM",16316,28604,576
0,12288,file,16,"\FIRE_2.TIM",16896,29184,576
0,12288,file,17,"\LASER_32.TIM",17476,29764,576
0,12288,file,18,"\F_THROW1.TIM",18056,30344,576
0,12288,file,19,"\F_THROW2.TIM",18636,30924,576
0,12288,file,20,"\F_THROW3.TIM",19216,31504,576
0,12288,file,21,"\CHUTE.TIM",19796,32084,2112
0,12288,file,22,"\ARROW_BUILD.TIM",21912,34200,576
0,12288,file,23,"\ARROW_DEFEND.TIM",22492,34780,576
0,12288,file,24,"\FIRBAL01.TIM",23072,35360,592
0,12288,file,25,"\FIRBAL02.TIM",23668,35956,592
0,12288,file,26,"\FIRBAL03.TIM",24264,36552,592
0,12288,file,27,"\FIRBAL04.TIM",24860,37148,592
0,12288,file,28,"\FIRBAL05.TIM",25456,37744,592
0,12288,file,29,"\FIRBAL06.TIM",26052,38340,592
0,12288,file,30,"\FIRBAL07.TIM",26648,38936,592
0,12288,file,31,"\FIRBAL08.TIM",27244,39532,592
0,12288,file,32,"\LEAF.TIM",27840,40128,576
0,12288,file,33,"\FLAME01.TIM",28420,40708,592
0,12288,file,34,"\FLAME02.TIM",29016,41304,592
0,12288,file,35,"\FLAME03.TIM",29612,41900,592
0,12288,file,36,"\FLAME04.TIM",30208,42496,592
0,12288,file,37,"\FLAME05.TIM",30804,43092,592
0,12288,file,38,"\FLAME06.TIM",31400,43688,592
0,12288,file,39,"\FLAME07.TIM",31996,44284,592
0,12288,file,40,"\FLAME08.TIM",32592,44880,592
0,12288,file,41,"\BUILDANY.TIM",33188,45476,592
0,12288,file,42,"\SKEL.TIM",33784,46072,2112
0,12288,file,43,"\DEMOMODE.TIM",35900,48188,2128
0,12288,file,44,"\NUMBERS.TIM",38032,50320,8256
0,12288,file,45,"\FONT2.TIM",46292,58580,8256
0,12288,file,46,"\DEBUG.TIM",54552,66840,4160
0,12288,file,47,"\SEDIMENT.TIM",58716,71004,2128
0,12288,file,48,"\SPEECH02.TIM",60848,73136,2112
0,12288,file,49,"\TARGET.TIM",62964,75252,576
0,12288,file,50,"\ORDERTARGET.TIM",63544,75832,576
0,12288,file,51,"\RADAR.TIM",64124,76412,2112
0,12288,file,52,"\HEADSTON.TIM",66240,78528,832
0,12288,file,53,"\MULTI2.TIM",67076,79364,8512
0,12288,file,54,"\JETPACK.TIM",75592,87880,576
0,12288,file,55,"\HEAVY.TIM",76172,88460,576
0,12288,file,56,"\ROC_BOOT.TIM",76752,89040,576
0,12288,file,57,"\FISHBOOT.TIM",77332,89620,576
0,12288,file,58,"\UNICRATE.TIM",77912,90200,2272
0,12288,file,59,"\PADCLUTS.TIM",80188,92476,2368
0,12288,file,60,"\DRAWX.TIM",82560,94848,2640
