container_i,bind_off,base,entry_i,name,rel_off,abs_off,size
0,0,file,0,"BSE_WOODS.LOD",528,528,680
0,0,file,1,"FRN_TREE_ROUNDLARGE.LOD",1212,1212,1940
0,0,file,2,"FRN_TREE_ROUNDMEDIUM.LOD",3156,3156,1940
0,0,file,3,"FRN_TREE_ROUNDSMALL.LOD",5100,5100,1888
0,0,file,4,"FRN_STATUE_1.LOD",6992,6992,2728
0,0,file,5,"BASE_FLAG.LOD",9724,9724,804
0,0,file,6,"BIN_OVER.LOD",10532,10532,2052
0,0,file,7,"PARK_BENCH_ORANGE.LOD",12588,12588,516
0,0,file,8,"TOWER_2X3.LOD",13108,13108,932
0,0,file,9,"TOWER_3X3.LOD",14044,14044,1416
0,0,file,10,"TOWER_3X4.LOD",15464,15464,1920
0,0,file,11,"TOWERB_2X3.LOD",17388,17388,932
0,0,file,12,"TOWERB_2X4.LOD",18324,18324,1148
