name,ea,size,in_degree,out_degree,degree,binary
FUN_000209dc,133596,108,25,0,25,GAME.BIN
FUN_00022e5c,142940,420,19,0,19,GAME.BIN
FUN_0003d44c,250956,604,17,0,17,GAME.BIN
FUN_00023000,143360,272,15,0,15,GAME.BIN
FUN_00023180,143744,144,15,0,15,GAME.BIN
FUN_000402e0,262880,92,9,0,9,GAME.BIN
FUN_0003e4b4,255156,148,8,0,8,GAME.BIN
FUN_00054518,345368,12,8,0,8,GAME.BIN
FUN_0004033c,262972,236,7,0,7,GAME.BIN
FUN_000401ec,262636,136,7,0,7,GAME.BIN
FUN_00023110,143632,112,6,0,6,GAME.BIN
FUN_00022c7c,142460,80,6,0,6,GAME.BIN
FUN_0003e494,255124,32,5,0,5,GAME.BIN
FUN_000431e4,274916,356,4,0,4,GAME.BIN
FUN_00023210,143888,216,3,0,3,GAME.BIN
FUN_000232e8,144104,112,2,0,2,GAME.BIN
FUN_0003d920,252192,100,2,0,2,GAME.BIN
FUN_00022d6c,142700,92,2,0,2,GAME.BIN
FUN_00022bac,142252,84,2,0,2,GAME.BIN
FUN_00054524,345380,56,2,0,2,GAME.BIN
FUN_00054264,344676,36,2,0,2,GAME.BIN
FUN_00040a98,264856,1628,1,0,1,GAME.BIN
FUN_00023488,144520,528,1,0,1,GAME.BIN
FUN_0003e838,256056,404,1,0,1,GAME.BIN
FUN_000430a4,274596,320,1,0,1,GAME.BIN
FUN_000406ac,263852,268,1,0,1,GAME.BIN
FUN_0003f408,259080,172,1,0,1,GAME.BIN
FUN_0003e9cc,256460,116,1,0,1,GAME.BIN
FUN_000542d0,344784,68,1,0,1,GAME.BIN
FUN_0005442c,345132,68,1,0,1,GAME.BIN
FUN_000544bc,345276,68,1,0,1,GAME.BIN
FUN_000413a4,267172,64,1,0,1,GAME.BIN
FUN_0003e7c0,255936,48,1,0,1,GAME.BIN
FUN_00054408,345096,36,1,0,1,GAME.BIN
FUN_00043a94,277140,32,1,0,1,GAME.BIN
FUN_00054288,344712,32,1,0,1,GAME.BIN
FUN_0004126c,266860,24,1,0,1,GAME.BIN
FUN_00043048,274504,20,1,0,1,GAME.BIN
FUN_00023358,144216,12,1,0,1,GAME.BIN
FUN_0002099c,133532,8,1,0,1,GAME.BIN
FUN_0003d8e8,252136,8,1,0,1,GAME.BIN
FUN_0003baf8,244472,3004,0,0,0,GAME.BIN
FUN_00033f50,212816,2744,0,0,0,GAME.BIN
FUN_0000df30,57136,2524,0,0,0,GAME.BIN
FUN_000438fc,276732,2468,0,0,0,GAME.BIN
FUN_00038748,231240,2172,0,0,0,GAME.BIN
FUN_00046a34,289332,2064,0,0,0,GAME.BIN
FUN_0002ffac,196524,1980,0,0,0,GAME.BIN
FUN_00031b38,203576,1956,0,0,0,GAME.BIN
FUN_00044f80,282496,1912,0,0,0,GAME.BIN
FUN_000475dc,292316,1808,0,0,0,GAME.BIN
FUN_00035cc0,220352,1792,0,0,0,GAME.BIN
FUN_000211b0,135600,1764,0,0,0,GAME.BIN
FUN_00029c24,171044,1708,0,0,0,GAME.BIN
FUN_0003df28,253736,1684,0,0,0,GAME.BIN
FUN_0000ebe8,60392,1628,0,0,0,GAME.BIN
FUN_00015f0c,89868,1616,0,0,0,GAME.BIN
FUN_0002f988,194952,1572,0,0,0,GAME.BIN
FUN_00017378,95096,1560,0,0,0,GAME.BIN
FUN_0002380c,145420,1556,0,0,0,GAME.BIN
FUN_0003b264,242276,1556,0,0,0,GAME.BIN
FUN_0003fbb0,261040,1508,0,0,0,GAME.BIN
FUN_000489a8,297384,1400,0,0,0,GAME.BIN
FUN_00044a14,281108,1388,0,0,0,GAME.BIN
FUN_000119cc,72140,1356,0,0,0,GAME.BIN
