name,ea,size,in_degree,out_degree,degree,binary
FUN_00009e3c,40508,2332,0,0,0,LEGGIT.EXE
FUN_00016a1c,92700,1456,0,0,0,LEGGIT.EXE
FUN_000145c8,83400,1324,0,0,0,LEGGIT.EXE
FUN_0000552c,21804,1320,0,0,0,LEGGIT.EXE
FUN_00007ae8,31464,1272,0,0,0,LEGGIT.EXE
FUN_0000dfb8,57272,1220,0,0,0,LEGGIT.EXE
FUN_00010b14,68372,1036,0,0,0,LEGGIT.EXE
FUN_00017a6c,96876,944,0,0,0,LEGGIT.EXE
FUN_00017e54,97876,844,0,0,0,LEGGIT.EXE
FUN_0001084c,67660,712,0,0,0,LEGGIT.EXE
FUN_00006778,26488,708,0,0,0,LEGGIT.EXE
FUN_0000ead8,60120,708,0,0,0,LEGGIT.EXE
FUN_00008cbc,36028,640,0,0,0,LEGGIT.EXE
FUN_000105cc,67020,640,0,0,0,LEGGIT.EXE
FUN_00012e88,77448,640,0,0,0,LEGGIT.EXE
FUN_000159e8,88552,636,0,0,0,LEGGIT.EXE
FUN_00017510,95504,636,0,0,0,LEGGIT.EXE
FUN_0001161c,71196,628,0,0,0,LEGGIT.EXE
FUN_000082fc,33532,624,0,0,0,LEGGIT.EXE
FUN_00015db0,89520,620,0,0,0,LEGGIT.EXE
FUN_000092e4,37604,608,0,0,0,LEGGIT.EXE
FUN_000177fc,96252,584,0,0,0,LEGGIT.EXE
FUN_000153a0,86944,580,0,0,0,LEGGIT.EXE
FUN_00008a80,35456,572,0,0,0,LEGGIT.EXE
FUN_00008850,34896,560,0,0,0,LEGGIT.EXE
FUN_000157c4,88004,548,0,0,0,LEGGIT.EXE
FUN_00008104,33028,504,0,0,0,LEGGIT.EXE
FUN_00006ae0,27360,496,0,0,0,LEGGIT.EXE
FUN_00011960,72032,488,0,0,0,LEGGIT.EXE
FUN_000111b8,70072,480,0,0,0,LEGGIT.EXE
FUN_0000d564,54628,464,0,0,0,LEGGIT.EXE
FUN_0000a784,42884,424,0,0,0,LEGGIT.EXE
FUN_00011b48,72520,416,0,0,0,LEGGIT.EXE
FUN_0000edf8,60920,404,0,0,0,LEGGIT.EXE
FUN_00015210,86544,400,0,0,0,LEGGIT.EXE
FUN_00013b14,80660,384,0,0,0,LEGGIT.EXE
FUN_00011398,70552,360,0,0,0,LEGGIT.EXE
FUN_00005dac,23980,356,0,0,0,LEGGIT.EXE
FUN_00005f10,24336,352,0,0,0,LEGGIT.EXE
FUN_0000f548,62792,340,0,0,0,LEGGIT.EXE
FUN_0000ba4c,47692,332,0,0,0,LEGGIT.EXE
FUN_0000d734,55092,328,0,0,0,LEGGIT.EXE
FUN_000097f0,38896,324,0,0,0,LEGGIT.EXE
FUN_00009544,38212,316,0,0,0,LEGGIT.EXE
FUN_0000b7dc,47068,316,0,0,0,LEGGIT.EXE
FUN_00005bbc,23484,308,0,0,0,LEGGIT.EXE
FUN_0000b918,47384,308,0,0,0,LEGGIT.EXE
FUN_0000d0f8,53496,300,0,0,0,LEGGIT.EXE
FUN_00018550,99664,296,0,0,0,LEGGIT.EXE
FUN_00007320,29472,284,0,0,0,LEGGIT.EXE
FUN_00016900,92416,284,0,0,0,LEGGIT.EXE
FUN_0000bf30,48944,280,0,0,0,LEGGIT.EXE
FUN_00017118,94488,280,0,0,0,LEGGIT.EXE
FUN_000172a4,94884,280,0,0,0,LEGGIT.EXE
FUN_00006f3c,28476,272,0,0,0,LEGGIT.EXE
FUN_0000b60c,46604,260,0,0,0,LEGGIT.EXE
FUN_00011e84,73348,260,0,0,0,LEGGIT.EXE
FUN_00018418,99352,252,0,0,0,LEGGIT.EXE
FUN_0000f328,62248,248,0,0,0,LEGGIT.EXE
FUN_000156d4,87764,240,0,0,0,LEGGIT.EXE
FUN_0000f0c8,61640,232,0,0,0,LEGGIT.EXE
FUN_00011ce8,72936,228,0,0,0,LEGGIT.EXE
FUN_00008770,34672,224,0,0,0,LEGGIT.EXE
FUN_000079dc,31196,216,0,0,0,LEGGIT.EXE
FUN_0000d48c,54412,216,0,0,0,LEGGIT.EXE
FUN_0001150c,70924,216,0,0,0,LEGGIT.EXE
FUN_0000abec,44012,212,0,0,0,LEGGIT.EXE
FUN_0000b4fc,46332,212,0,0,0,LEGGIT.EXE
FUN_00016058,90200,212,0,0,0,LEGGIT.EXE
FUN_00011890,71824,208,0,0,0,LEGGIT.EXE
FUN_0000f478,62584,204,0,0,0,LEGGIT.EXE
FUN_0000f6a8,63144,204,0,0,0,LEGGIT.EXE
FUN_0000791c,31004,192,0,0,0,LEGGIT.EXE
FUN_000132c8,78536,188,0,0,0,LEGGIT.EXE
FUN_00007624,30244,184,0,0,0,LEGGIT.EXE
FUN_0000da78,55928,180,0,0,0,LEGGIT.EXE
FUN_00016854,92244,172,0,0,0,LEGGIT.EXE
FUN_00009680,38528,168,0,0,0,LEGGIT.EXE
FUN_00013384,78724,168,0,0,0,LEGGIT.EXE
FUN_0001612c,90412,168,0,0,0,LEGGIT.EXE
FUN_00006a3c,27196,164,0,0,0,LEGGIT.EXE
FUN_0000710c,28940,164,0,0,0,LEGGIT.EXE
FUN_0000f278,62072,164,0,0,0,LEGGIT.EXE
FUN_0000fc28,64552,164,0,0,0,LEGGIT.EXE
FUN_0000d87c,55420,160,0,0,0,LEGGIT.EXE
FUN_00007220,29216,152,0,0,0,LEGGIT.EXE
FUN_000074cc,29900,152,0,0,0,LEGGIT.EXE
FUN_0000a9ec,43500,152,0,0,0,LEGGIT.EXE
FUN_0000bdd4,48596,152,0,0,0,LEGGIT.EXE
FUN_0000adf8,44536,148,0,0,0,LEGGIT.EXE
FUN_0000ae8c,44684,148,0,0,0,LEGGIT.EXE
FUN_0000618c,24972,144,0,0,0,LEGGIT.EXE
FUN_0000743c,29756,144,0,0,0,LEGGIT.EXE
FUN_0000acdc,44252,144,0,0,0,LEGGIT.EXE
FUN_0000fab8,64184,144,0,0,0,LEGGIT.EXE
FUN_00015c64,89188,144,0,0,0,LEGGIT.EXE
FUN_00017018,94232,144,0,0,0,LEGGIT.EXE
FUN_00018934,100660,144,0,0,0,LEGGIT.EXE
FUN_000189c4,100804,144,0,0,0,LEGGIT.EXE
FUN_0000ad6c,44396,140,0,0,0,LEGGIT.EXE
FUN_0000b03c,45116,132,0,0,0,LEGGIT.EXE
FUN_0000b46c,46188,132,0,0,0,LEGGIT.EXE
FUN_000136ac,79532,132,0,0,0,LEGGIT.EXE
FUN_00015d2c,89388,132,0,0,0,LEGGIT.EXE
FUN_00005aa4,23204,128,0,0,0,LEGGIT.EXE
FUN_00008044,32836,128,0,0,0,LEGGIT.EXE
FUN_0000afbc,44988,128,0,0,0,LEGGIT.EXE
FUN_0000aa84,43652,124,0,0,0,LEGGIT.EXE
FUN_0000af38,44856,124,0,0,0,LEGGIT.EXE
FUN_0000ef98,61336,124,0,0,0,LEGGIT.EXE
FUN_0000f7b8,63416,124,0,0,0,LEGGIT.EXE
FUN_0000d91c,55580,120,0,0,0,LEGGIT.EXE
FUN_00018a84,100996,120,0,0,0,LEGGIT.EXE
FUN_000139c8,80328,112,0,0,0,LEGGIT.EXE
FUN_00013f70,81776,112,0,0,0,LEGGIT.EXE
FUN_00012550,75088,108,0,0,0,LEGGIT.EXE
FUN_00006d7c,28028,104,0,0,0,LEGGIT.EXE
FUN_00018afc,101116,104,0,0,0,LEGGIT.EXE
FUN_00006128,24872,100,0,0,0,LEGGIT.EXE
FUN_0000becc,48844,100,0,0,0,LEGGIT.EXE
FUN_0000cdd0,52688,100,0,0,0,LEGGIT.EXE
FUN_0000ce40,52800,100,0,0,0,LEGGIT.EXE
FUN_00013730,79664,100,0,0,0,LEGGIT.EXE
FUN_000071c0,29120,96,0,0,0,LEGGIT.EXE
FUN_00007564,30052,96,0,0,0,LEGGIT.EXE
FUN_000075c4,30148,96,0,0,0,LEGGIT.EXE
FUN_00009bac,39852,96,0,0,0,LEGGIT.EXE
FUN_00012498,74904,96,0,0,0,LEGGIT.EXE
FUN_00006df0,28144,92,0,0,0,LEGGIT.EXE
FUN_000070b0,28848,92,0,0,0,LEGGIT.EXE
FUN_00007850,30800,92,0,0,0,LEGGIT.EXE
FUN_0000dd58,56664,92,0,0,0,LEGGIT.EXE
FUN_0000e498,58520,92,0,0,0,LEGGIT.EXE
FUN_000099d4,39380,88,0,0,0,LEGGIT.EXE
FUN_00009ac0,39616,88,0,0,0,LEGGIT.EXE
FUN_00012084,73860,88,0,0,0,LEGGIT.EXE
FUN_000124f8,75000,88,0,0,0,LEGGIT.EXE
FUN_00005b24,23332,84,0,0,0,LEGGIT.EXE
FUN_00012618,75288,84,0,0,0,LEGGIT.EXE
FUN_0000eda8,60840,76,0,0,0,LEGGIT.EXE
FUN_0001116c,69996,76,0,0,0,LEGGIT.EXE
FUN_0000ab5c,43868,72,0,0,0,LEGGIT.EXE
FUN_00016734,91956,72,0,0,0,LEGGIT.EXE
FUN_000170a8,94376,72,0,0,0,LEGGIT.EXE
FUN_0000f774,63348,68,0,0,0,LEGGIT.EXE
FUN_00006070,24688,64,0,0,0,LEGGIT.EXE
FUN_000060b0,24752,64,0,0,0,LEGGIT.EXE
FUN_000080c4,32964,64,0,0,0,LEGGIT.EXE
FUN_0000ab20,43808,60,0,0,0,LEGGIT.EXE
FUN_0000c04c,49228,60,0,0,0,LEGGIT.EXE
FUN_0000fb48,64328,60,0,0,0,LEGGIT.EXE
FUN_00018514,99604,60,0,0,0,LEGGIT.EXE
FUN_000060f0,24816,56,0,0,0,LEGGIT.EXE
FUN_00007ab4,31412,52,0,0,0,LEGGIT.EXE
FUN_00007fe0,32736,52,0,0,0,LEGGIT.EXE
FUN_00009034,36916,52,0,0,0,LEGGIT.EXE
FUN_000097bc,38844,52,0,0,0,LEGGIT.EXE
FUN_0000a92c,43308,52,0,0,0,LEGGIT.EXE
FUN_0000d388,54152,52,0,0,0,LEGGIT.EXE
FUN_0000f1d8,61912,52,0,0,0,LEGGIT.EXE
FUN_000115e8,71144,52,0,0,0,LEGGIT.EXE
FUN_00008014,32788,48,0,0,0,LEGGIT.EXE
FUN_0000d2f8,54008,48,0,0,0,LEGGIT.EXE
FUN_0000d328,54056,48,0,0,0,LEGGIT.EXE
FUN_0000d358,54104,48,0,0,0,LEGGIT.EXE
FUN_0000d3bc,54204,48,0,0,0,LEGGIT.EXE
FUN_0000d3ec,54252,48,0,0,0,LEGGIT.EXE
FUN_0000d41c,54300,48,0,0,0,LEGGIT.EXE
FUN_0000e8a8,59560,48,0,0,0,LEGGIT.EXE
FUN_0000f428,62504,48,0,0,0,LEGGIT.EXE
FUN_00018a54,100948,48,0,0,0,LEGGIT.EXE
FUN_000062c8,25288,44,0,0,0,LEGGIT.EXE
FUN_0000b5dc,46556,44,0,0,0,LEGGIT.EXE
FUN_00009dec,40428,40,0,0,0,LEGGIT.EXE
FUN_0000d088,53384,40,0,0,0,LEGGIT.EXE
FUN_0000f834,63540,40,0,0,0,LEGGIT.EXE
FUN_0000fb84,64388,40,0,0,0,LEGGIT.EXE
FUN_0000fbac,64428,40,0,0,0,LEGGIT.EXE
FUN_0000fbd4,64468,40,0,0,0,LEGGIT.EXE
FUN_000170f0,94448,40,0,0,0,LEGGIT.EXE
FUN_00009010,36880,36,0,0,0,LEGGIT.EXE
FUN_0000aba4,43940,36,0,0,0,LEGGIT.EXE
FUN_0000abc8,43976,36,0,0,0,LEGGIT.EXE
FUN_0000c4fc,50428,36,0,0,0,LEGGIT.EXE
FUN_0000f098,61592,36,0,0,0,LEGGIT.EXE
FUN_000120e8,73960,36,0,0,0,LEGGIT.EXE
FUN_00012138,74040,36,0,0,0,LEGGIT.EXE
FUN_00006758,26456,32,0,0,0,LEGGIT.EXE
FUN_0000ab00,43776,32,0,0,0,LEGGIT.EXE
FUN_0000b0c0,45248,32,0,0,0,LEGGIT.EXE
FUN_0000e4f8,58616,32,0,0,0,LEGGIT.EXE
FUN_0000f1b8,61880,32,0,0,0,LEGGIT.EXE
FUN_0000f258,62040,32,0,0,0,LEGGIT.EXE
FUN_0000f458,62552,32,0,0,0,LEGGIT.EXE
FUN_0000fa98,64152,32,0,0,0,LEGGIT.EXE
FUN_000183a8,99240,32,0,0,0,LEGGIT.EXE
FUN_000183e8,99304,32,0,0,0,LEGGIT.EXE
FUN_00013960,80224,20,0,0,0,LEGGIT.EXE
