name,ea,size,in_degree,out_degree,degree,binary
FUN_0001cc58,117848,16,51,0,51,MAIN.EXE
thunk_FUN_0001f5d4,128448,8,32,0,32,MAIN.EXE
FUN_000090e0,37088,1104,0,31,31,MAIN.EXE
FUN_0001f5e8,128488,40,22,0,22,MAIN.EXE
FUN_0001d600,120320,284,18,2,20,MAIN.EXE
FUN_00008528,34088,1884,0,18,18,MAIN.EXE
FUN_0002273c,141116,2388,1,16,17,MAIN.EXE
FUN_0000a944,43332,456,0,14,14,MAIN.EXE
FUN_0000af3c,44860,3080,0,13,13,MAIN.EXE
FUN_00018a0c,100876,564,0,13,13,MAIN.EXE
FUN_00018dac,101804,404,2,11,13,MAIN.EXE
FUN_00035554,218452,1,13,0,13,MAIN.EXE
FUN_000235d4,144852,840,1,10,11,MAIN.EXE
FUN_0001a804,108548,616,0,11,11,MAIN.EXE
FUN_00008ce4,36068,368,0,11,11,MAIN.EXE
FUN_0000c1b0,49584,308,0,11,11,MAIN.EXE
FUN_000099ac,39340,244,0,11,11,MAIN.EXE
FUN_00009708,38664,608,0,10,10,MAIN.EXE
FUN_00019ec0,106176,468,5,5,10,MAIN.EXE
FUN_0000d208,53768,368,0,10,10,MAIN.EXE
FUN_0002db70,187248,20,10,0,10,MAIN.EXE
FUN_00023390,144272,16,9,1,10,MAIN.EXE
FUN_000246d8,149208,4,10,0,10,MAIN.EXE
FUN_0001003c,65596,1372,0,9,9,MAIN.EXE
FUN_0001fab8,129720,764,1,8,9,MAIN.EXE
FUN_000171fc,94716,712,0,9,9,MAIN.EXE
FUN_0000c490,50320,704,0,9,9,MAIN.EXE
FUN_0000e820,59424,384,0,9,9,MAIN.EXE
FUN_000083ac,33708,332,0,9,9,MAIN.EXE
FUN_00008ff0,36848,240,0,9,9,MAIN.EXE
FUN_0000cd04,52484,140,0,9,9,MAIN.EXE
FUN_0002db84,187268,20,9,0,9,MAIN.EXE
FUN_000174c4,95428,1036,0,8,8,MAIN.EXE
FUN_00016f7c,94076,648,0,8,8,MAIN.EXE
FUN_00005f78,24440,216,0,8,8,MAIN.EXE
FUN_00018fbc,102332,132,1,7,8,MAIN.EXE
FUN_0001cb60,117600,24,8,0,8,MAIN.EXE
FUN_0001cc08,117768,16,8,0,8,MAIN.EXE
FUN_0001dca4,122020,12,8,0,8,MAIN.EXE
FUN_000139a0,80288,1220,0,7,7,MAIN.EXE
FUN_0000e1a8,57768,624,0,7,7,MAIN.EXE
FUN_00020c14,134164,496,0,7,7,MAIN.EXE
FUN_00017b68,97128,480,0,7,7,MAIN.EXE
FUN_0001deb4,122548,332,0,7,7,MAIN.EXE
FUN_0000a34c,41804,280,0,7,7,MAIN.EXE
FUN_00008ebc,36540,256,0,7,7,MAIN.EXE
FUN_0002233c,140092,252,4,3,7,MAIN.EXE
FUN_0001fdb4,130484,204,0,7,7,MAIN.EXE
FUN_0002f158,192856,188,5,2,7,MAIN.EXE
FUN_00019218,102936,128,0,7,7,MAIN.EXE
FUN_000188b4,100532,40,6,1,7,MAIN.EXE
FUN_0001dd04,122116,40,6,1,7,MAIN.EXE
FUN_0002ddf4,187892,36,7,0,7,MAIN.EXE
FUN_0002df80,188288,24,7,0,7,MAIN.EXE
