name,ea,size,in_degree,out_degree,degree,binary
FUN_000018c8,6344,1048,0,0,0,PSX.EXE
FUN_0000327c,12924,1036,0,0,0,PSX.EXE
FUN_00002fb4,12212,712,0,0,0,PSX.EXE
FUN_00001640,5696,648,0,0,0,PSX.EXE
FUN_00002d34,11572,640,0,0,0,PSX.EXE
FUN_00003e54,15956,632,0,0,0,PSX.EXE
FUN_000041a0,16800,488,0,0,0,PSX.EXE
FUN_00003920,14624,480,0,0,0,PSX.EXE
FUN_00000c08,3080,464,0,0,0,PSX.EXE
FUN_00001280,4736,384,0,0,0,PSX.EXE
FUN_00001cf4,7412,368,0,0,0,PSX.EXE
FUN_00003b00,15104,360,0,0,0,PSX.EXE
FUN_000023ac,9132,332,0,0,0,PSX.EXE
FUN_00000dd8,3544,328,0,0,0,PSX.EXE
FUN_0000213c,8508,316,0,0,0,PSX.EXE
FUN_00002278,8824,308,0,0,0,PSX.EXE
FUN_00000b30,2864,216,0,0,0,PSX.EXE
FUN_00002c5c,11356,216,0,0,0,PSX.EXE
FUN_000040cc,16588,212,0,0,0,PSX.EXE
FUN_00004488,17544,200,0,0,0,PSX.EXE
FUN_00000f20,3872,160,0,0,0,PSX.EXE
FUN_00001f24,7972,144,0,0,0,PSX.EXE
FUN_00000fc0,4032,120,0,0,0,PSX.EXE
FUN_00001160,4448,108,0,0,0,PSX.EXE
FUN_00001fe0,8160,108,0,0,0,PSX.EXE
FUN_00002700,9984,108,0,0,0,PSX.EXE
FUN_00001228,4648,88,0,0,0,PSX.EXE
FUN_00004388,17288,88,0,0,0,PSX.EXE
FUN_000014d4,5332,76,0,0,0,PSX.EXE
FUN_000038d4,14548,76,0,0,0,PSX.EXE
FUN_000010ec,4332,52,0,0,0,PSX.EXE
FUN_0000105c,4188,48,0,0,0,PSX.EXE
FUN_0000108c,4236,48,0,0,0,PSX.EXE
FUN_000010bc,4284,48,0,0,0,PSX.EXE
FUN_00001120,4384,48,0,0,0,PSX.EXE
FUN_00001ea0,7840,40,0,0,0,PSX.EXE
FUN_00001ec8,7880,40,0,0,0,PSX.EXE
FUN_00001ef0,7920,40,0,0,0,PSX.EXE
FUN_00002538,9528,36,0,0,0,PSX.EXE
FUN_0000204c,8268,32,0,0,0,PSX.EXE
FUN_000020d4,8404,32,0,0,0,PSX.EXE
FUN_000020f4,8436,32,0,0,0,PSX.EXE
FUN_000024f8,9464,32,0,0,0,PSX.EXE
FUN_00002518,9496,32,0,0,0,PSX.EXE
FUN_0000255c,9564,32,0,0,0,PSX.EXE
