name,ea,size,in_degree,out_degree,degree,binary
FUN_00002724,10020,3220,0,0,0,ROT.BIN
FUN_00001650,5712,1156,0,0,0,ROT.BIN
FUN_00008198,33176,1040,0,0,0,ROT.BIN
FUN_00000e04,3588,1016,0,0,0,ROT.BIN
FUN_00007bb8,31672,984,0,0,0,ROT.BIN
FUN_000002f4,756,900,0,0,0,ROT.BIN
FUN_00001ff4,8180,876,0,0,0,ROT.BIN
FUN_000097f8,38904,816,0,0,0,ROT.BIN
FUN_00008824,34852,744,0,0,0,ROT.BIN
FUN_00007818,30744,668,0,0,0,ROT.BIN
FUN_00002360,9056,652,0,0,0,ROT.BIN
FUN_00009dfc,40444,632,0,0,0,ROT.BIN
FUN_00005e70,24176,616,0,0,0,ROT.BIN
FUN_00004a70,19056,604,0,0,0,ROT.BIN
FUN_0000451c,17692,600,0,0,0,ROT.BIN
FUN_00008ed4,36564,588,0,0,0,ROT.BIN
FUN_00001288,4744,560,0,0,0,ROT.BIN
FUN_000034dc,13532,552,0,0,0,ROT.BIN
FUN_000095d8,38360,544,0,0,0,ROT.BIN
FUN_000042f8,17144,540,0,0,0,ROT.BIN
FUN_00007f90,32656,520,0,0,0,ROT.BIN
FUN_0000745c,29788,496,0,0,0,ROT.BIN
FUN_000057cc,22476,480,0,0,0,ROT.BIN
FUN_000006dc,1756,476,0,0,0,ROT.BIN
FUN_000093fc,37884,476,0,0,0,ROT.BIN
FUN_00001ad4,6868,460,0,0,0,ROT.BIN
FUN_0000a300,41728,456,0,0,0,ROT.BIN
FUN_0000a4c8,42184,444,0,0,0,ROT.BIN
FUN_000048c8,18632,424,0,0,0,ROT.BIN
FUN_000072b4,29364,424,0,0,0,ROT.BIN
FUN_00007034,28724,412,0,0,0,ROT.BIN
FUN_000014b8,5304,408,0,0,0,ROT.BIN
FUN_00003da8,15784,408,0,0,0,ROT.BIN
FUN_00004168,16744,400,0,0,0,ROT.BIN
FUN_0000652c,25900,396,0,0,0,ROT.BIN
FUN_00000b00,2816,388,0,0,0,ROT.BIN
FUN_00000c84,3204,384,0,0,0,ROT.BIN
FUN_00004fcc,20428,372,0,0,0,ROT.BIN
FUN_00005b2c,23340,368,0,0,0,ROT.BIN
FUN_000063c4,25540,360,0,0,0,ROT.BIN
FUN_00004ccc,19660,340,0,0,0,ROT.BIN
FUN_0000867c,34428,324,0,0,0,ROT.BIN
FUN_000025ec,9708,312,0,0,0,ROT.BIN
FUN_00005c9c,23708,312,0,0,0,ROT.BIN
FUN_00008b0c,35596,312,0,0,0,ROT.BIN
FUN_0000a074,41076,272,0,0,0,ROT.BIN
FUN_00007ab4,31412,260,0,0,0,ROT.BIN
FUN_00003964,14692,256,0,0,0,ROT.BIN
FUN_00003f60,16224,244,0,0,0,ROT.BIN
FUN_00003784,14212,240,0,0,0,ROT.BIN
FUN_00003874,14452,240,0,0,0,ROT.BIN
FUN_00003be8,15336,240,0,0,0,ROT.BIN
FUN_000056dc,22236,240,0,0,0,ROT.BIN
FUN_0000764c,30284,240,0,0,0,ROT.BIN
FUN_00004e20,20000,228,0,0,0,ROT.BIN
FUN_00008df0,36336,228,0,0,0,ROT.BIN
FUN_000062e4,25316,224,0,0,0,ROT.BIN
FUN_0000773c,30524,220,0,0,0,ROT.BIN
FUN_00009288,37512,220,0,0,0,ROT.BIN
FUN_000085a8,34216,212,0,0,0,ROT.BIN
FUN_000033b8,13240,204,0,0,0,ROT.BIN
FUN_0000528c,21132,192,0,0,0,ROT.BIN
FUN_00006224,25124,192,0,0,0,ROT.BIN
FUN_000059f4,23028,176,0,0,0,ROT.BIN
FUN_00006ec4,28356,176,0,0,0,ROT.BIN
FUN_00008d4c,36172,164,0,0,0,ROT.BIN
FUN_00000a64,2660,156,0,0,0,ROT.BIN
FUN_000053dc,21468,156,0,0,0,ROT.BIN
FUN_00009364,37732,152,0,0,0,ROT.BIN
FUN_00003af0,15088,148,0,0,0,ROT.BIN
FUN_00009178,37240,148,0,0,0,ROT.BIN
FUN_0000534c,21324,144,0,0,0,ROT.BIN
FUN_00008cbc,36028,144,0,0,0,ROT.BIN
FUN_000011fc,4604,140,0,0,0,ROT.BIN
FUN_00003a64,14948,140,0,0,0,ROT.BIN
FUN_00005de4,24036,140,0,0,0,ROT.BIN
FUN_00006d1c,27932,136,0,0,0,ROT.BIN
FUN_0000920c,37388,124,0,0,0,ROT.BIN
FUN_00004f54,20308,120,0,0,0,ROT.BIN
FUN_00006fbc,28604,120,0,0,0,ROT.BIN
FUN_00008c44,35908,120,0,0,0,ROT.BIN
FUN_00006cac,27820,112,0,0,0,ROT.BIN
FUN_0000485c,18524,108,0,0,0,ROT.BIN
FUN_000051f0,20976,108,0,0,0,ROT.BIN
FUN_00006188,24968,108,0,0,0,ROT.BIN
FUN_00000678,1656,100,0,0,0,ROT.BIN
FUN_00003b84,15236,100,0,0,0,ROT.BIN
FUN_00000900,2304,96,0,0,0,ROT.BIN
FUN_00007258,29272,92,0,0,0,ROT.BIN
FUN_00009120,37152,88,0,0,0,ROT.BIN
FUN_00005140,20800,76,0,0,0,ROT.BIN
FUN_000060d8,24792,76,0,0,0,ROT.BIN
FUN_000087c0,34752,60,0,0,0,ROT.BIN
FUN_00000a30,2608,52,0,0,0,ROT.BIN
FUN_0000029c,668,40,0,0,0,ROT.BIN
FUN_0000518c,20876,40,0,0,0,ROT.BIN
FUN_00005264,21092,40,0,0,0,ROT.BIN
FUN_00005b04,23300,40,0,0,0,ROT.BIN
FUN_00006124,24868,40,0,0,0,ROT.BIN
FUN_000061fc,25084,40,0,0,0,ROT.BIN
FUN_000087fc,34812,40,0,0,0,ROT.BIN
FUN_00004f04,20228,36,0,0,0,ROT.BIN
FUN_00004f28,20264,36,0,0,0,ROT.BIN
FUN_00005aa4,23204,36,0,0,0,ROT.BIN
FUN_00005ac8,23240,36,0,0,0,ROT.BIN
FUN_00006f74,28532,36,0,0,0,ROT.BIN
FUN_00006f98,28568,36,0,0,0,ROT.BIN
FUN_00003f40,16192,32,0,0,0,ROT.BIN
