name,ea,size,in_degree,out_degree,degree,binary
FUN_00009510,38160,1908,0,0,0,SYS.BIN
FUN_00005c9c,23708,1764,0,0,0,SYS.BIN
FUN_00007c64,31844,1484,0,0,0,SYS.BIN
FUN_000030b0,12464,1264,0,0,0,SYS.BIN
FUN_00006a04,27140,1060,0,0,0,SYS.BIN
FUN_00002b10,11024,1004,0,0,0,SYS.BIN
FUN_0000a2b8,41656,924,0,0,0,SYS.BIN
FUN_00008d48,36168,788,0,0,0,SYS.BIN
FUN_00002258,8792,760,0,0,0,SYS.BIN
FUN_00006f74,28532,760,0,0,0,SYS.BIN
FUN_000088b8,35000,740,0,0,0,SYS.BIN
FUN_00001998,6552,624,0,0,0,SYS.BIN
FUN_0000377c,14204,616,0,0,0,SYS.BIN
FUN_000055e8,21992,600,0,0,0,SYS.BIN
FUN_0000a8e0,43232,564,0,0,0,SYS.BIN
FUN_00008694,34452,548,0,0,0,SYS.BIN
FUN_0000772c,30508,536,0,0,0,SYS.BIN
FUN_00004d74,19828,464,0,0,0,SYS.BIN
FUN_00006570,25968,460,0,0,0,SYS.BIN
FUN_00009c84,40068,448,0,0,0,SYS.BIN
FUN_000073bc,29628,444,0,0,0,SYS.BIN
FUN_00009e44,40516,440,0,0,0,SYS.BIN
FUN_00001c38,7224,428,0,0,0,SYS.BIN
FUN_0000276c,10092,400,0,0,0,SYS.BIN
FUN_0000673c,26428,392,0,0,0,SYS.BIN
FUN_000075cc,30156,352,0,0,0,SYS.BIN
FUN_00001f9c,8092,340,0,0,0,SYS.BIN
FUN_000058b8,22712,336,0,0,0,SYS.BIN
FUN_00001604,5636,328,0,0,0,SYS.BIN
FUN_00008464,33892,324,0,0,0,SYS.BIN
FUN_000068c4,26820,320,0,0,0,SYS.BIN
FUN_0000a768,42856,312,0,0,0,SYS.BIN
FUN_00003e94,16020,300,0,0,0,SYS.BIN
FUN_000020fc,8444,288,0,0,0,SYS.BIN
FUN_0000174c,5964,280,0,0,0,SYS.BIN
FUN_000049c0,18880,272,0,0,0,SYS.BIN
FUN_0000921c,37404,264,0,0,0,SYS.BIN
FUN_00009324,37668,264,0,0,0,SYS.BIN
FUN_00002550,9552,256,0,0,0,SYS.BIN
FUN_00003cd0,15568,248,0,0,0,SYS.BIN
FUN_00003688,13960,244,0,0,0,SYS.BIN
FUN_00009088,37000,244,0,0,0,SYS.BIN
FUN_000041c8,16840,236,0,0,0,SYS.BIN
FUN_00002fcc,12236,228,0,0,0,SYS.BIN
FUN_00008c64,35940,228,0,0,0,SYS.BIN
FUN_000042b4,17076,220,0,0,0,SYS.BIN
FUN_00005b24,23332,216,0,0,0,SYS.BIN
FUN_00004af4,19188,208,0,0,0,SYS.BIN
FUN_000085a8,34216,204,0,0,0,SYS.BIN
FUN_00007b9c,31644,200,0,0,0,SYS.BIN
FUN_000052b8,21176,192,0,0,0,SYS.BIN
FUN_000082ec,33516,192,0,0,0,SYS.BIN
FUN_00008230,33328,188,0,0,0,SYS.BIN
FUN_00001864,6244,184,0,0,0,SYS.BIN
FUN_00003b90,15248,184,0,0,0,SYS.BIN
FUN_00004390,17296,164,0,0,0,SYS.BIN
FUN_00003df4,15860,160,0,0,0,SYS.BIN
FUN_0000917c,37244,160,0,0,0,SYS.BIN
FUN_00007a60,31328,156,0,0,0,SYS.BIN
FUN_00004434,17460,152,0,0,0,SYS.BIN
FUN_000029f8,10744,144,0,0,0,SYS.BIN
FUN_0000726c,29292,140,0,0,0,SYS.BIN
FUN_00002a88,10888,136,0,0,0,SYS.BIN
FUN_0000a688,42632,136,0,0,0,SYS.BIN
FUN_00004080,16512,132,0,0,0,SYS.BIN
FUN_00005a4c,23116,132,0,0,0,SYS.BIN
FUN_000026b4,9908,128,0,0,0,SYS.BIN
FUN_00003fc0,16320,128,0,0,0,SYS.BIN
FUN_0000191c,6428,124,0,0,0,SYS.BIN
FUN_0000414c,16716,124,0,0,0,SYS.BIN
FUN_0000520c,21004,120,0,0,0,SYS.BIN
FUN_00005840,22592,120,0,0,0,SYS.BIN
FUN_000083ac,33708,120,0,0,0,SYS.BIN
FUN_00001e1c,7708,116,0,0,0,SYS.BIN
FUN_00003b0c,15116,116,0,0,0,SYS.BIN
FUN_00005bfc,23548,116,0,0,0,SYS.BIN
FUN_000044cc,17612,112,0,0,0,SYS.BIN
FUN_000014d0,5328,108,0,0,0,SYS.BIN
FUN_00003a4c,14924,108,0,0,0,SYS.BIN
FUN_00006f08,28424,108,0,0,0,SYS.BIN
FUN_0000153c,5436,104,0,0,0,SYS.BIN
FUN_00004ca4,19620,104,0,0,0,SYS.BIN
FUN_00004d0c,19724,104,0,0,0,SYS.BIN
FUN_000072f8,29432,104,0,0,0,SYS.BIN
FUN_00002650,9808,100,0,0,0,SYS.BIN
FUN_000035a0,13728,100,0,0,0,SYS.BIN
FUN_00004bc4,19396,100,0,0,0,SYS.BIN
FUN_00007360,29536,92,0,0,0,SYS.BIN
FUN_000015ac,5548,88,0,0,0,SYS.BIN
FUN_0000477c,18300,88,0,0,0,SYS.BIN
FUN_000063dc,25564,88,0,0,0,SYS.BIN
FUN_00003604,13828,84,0,0,0,SYS.BIN
FUN_00003ab8,15032,84,0,0,0,SYS.BIN
FUN_00005ad0,23248,84,0,0,0,SYS.BIN
FUN_00006434,25652,84,0,0,0,SYS.BIN
FUN_00003c80,15488,80,0,0,0,SYS.BIN
FUN_00001484,5252,76,0,0,0,SYS.BIN
FUN_00001f58,8024,68,0,0,0,SYS.BIN
FUN_00003a08,14856,68,0,0,0,SYS.BIN
FUN_0000556c,21868,68,0,0,0,SYS.BIN
FUN_000054d4,21716,64,0,0,0,SYS.BIN
FUN_00002734,10036,56,0,0,0,SYS.BIN
FUN_00005464,21604,56,0,0,0,SYS.BIN
FUN_0000549c,21660,56,0,0,0,SYS.BIN
FUN_00005534,21812,56,0,0,0,SYS.BIN
FUN_000055b0,21936,56,0,0,0,SYS.BIN
FUN_00005a08,23048,52,0,0,0,SYS.BIN
FUN_0000a654,42580,52,0,0,0,SYS.BIN
FUN_00001dec,7660,48,0,0,0,SYS.BIN
FUN_00003658,13912,48,0,0,0,SYS.BIN
FUN_00001c08,7176,40,0,0,0,SYS.BIN
FUN_00008674,34420,32,0,0,0,SYS.BIN
