crate_index,crate_label,slot_count,value_a_total,value_b_total,combined_total,dominant_domain,dominant_domain_hint,table_ACTION.BIN,table_ATTITUDE.BIN,table_BUDDIES.BIN,table_PERCEPT.BIN,table_POWERUP.BIN,table_PROJECTILES.BIN,table_STATICS.BIN,table_TOYS.BIN,table_VEHICLES.BIN,table_WEAPONS.BIN,domain_ai,domain_combat,domain_engine,domain_other,domain_render,domain_support
0,PARK_AREA,6,1470,613,2083,ai,AI behaviour (libgte-assisted decision data),328,166,156,680,3,122,196,103,235,94,1002,94,328,0,553,106
1,PLAINS_AREA,6,1470,613,2083,ai,AI behaviour (libgte-assisted decision data),328,166,156,680,3,122,196,103,235,94,1002,94,328,0,553,106
2,DESERT_AREA,6,950,94,1044,ai,AI behaviour (libgte-assisted decision data),128,84,114,324,3,58,125,39,96,73,522,73,128,0,279,42
3,WOODS_AREA,6,287,121,408,ai,AI behaviour (libgte-assisted decision data),72,17,85,60,2,22,33,18,43,56,162,56,72,0,98,20
4,ICE_AREA,6,1658,1437,3095,ai,AI behaviour (libgte-assisted decision data),438,255,358,835,20,213,284,149,428,115,1448,115,438,0,925,169
5,ORIENTAL_AREA,6,157,414,571,ai,AI behaviour (libgte-assisted decision data),113,24,45,142,0,66,56,24,31,70,211,70,113,0,153,24
6,JUNGLE_AREA,6,308,404,712,ai,AI behaviour (libgte-assisted decision data),99,34,106,147,2,77,78,24,65,80,287,80,99,0,220,26
7,MOON_AREA,6,383,132,515,ai,AI behaviour (libgte-assisted decision data),64,106,70,94,0,31,34,16,39,61,270,61,64,0,104,16
8,,6,517,76,593,ai,AI behaviour (libgte-assisted decision data),64,116,95,85,2,39,51,12,68,61,296,61,64,0,158,14
9,,6,173,90,263,ai,AI behaviour (libgte-assisted decision data),38,22,53,45,0,16,14,6,25,44,120,44,38,0,55,6
10,ALL_FLAME_WEAPONS,6,273,66,339,ai,AI behaviour (libgte-assisted decision data),45,34,74,33,2,26,30,6,51,38,141,38,45,0,107,8
11,LIGHTNING_WEAPONS,6,314,251,565,ai,AI behaviour (libgte-assisted decision data),78,25,162,94,2,26,38,23,51,66,281,66,78,0,115,25
12,ALL_GRENADES_1,6,257,66,323,ai,AI behaviour (libgte-assisted decision data),33,19,86,36,2,19,28,7,43,50,141,50,33,0,90,9
13,ALL_GRENADES_2,6,257,74,331,ai,AI behaviour (libgte-assisted decision data),34,18,86,45,2,19,30,7,40,50,149,50,34,0,89,9
14,ALL_HEAVY_WEAPONS_1,6,377,227,604,ai,AI behaviour (libgte-assisted decision data),36,36,189,44,6,48,74,6,102,63,269,63,36,0,224,12
15,ALL_HEAVY_WEAPONS_2,6,237,108,345,ai,AI behaviour (libgte-assisted decision data),55,61,41,39,0,10,21,10,37,71,141,71,55,0,68,10
16,ALL_ROCKET_WEAPONS,6,415,111,526,ai,AI behaviour (libgte-assisted decision data),56,72,99,39,2,27,60,10,90,71,210,71,56,0,177,12
17,ALL_MISSILE_WEAPONS,6,260,86,346,ai,AI behaviour (libgte-assisted decision data),64,65,31,43,0,13,20,14,27,69,139,69,64,0,60,14
18,ALL_SPECIAL_WEAPONS,6,368,72,440,ai,AI behaviour (libgte-assisted decision data),43,71,85,41,2,24,37,11,61,65,197,65,43,0,122,13
19,FLYING_1,6,262,43,305,ai,AI behaviour (libgte-assisted decision data),34,23,77,39,2,16,34,12,43,25,139,25,34,0,93,14
20,FLYING_2,6,241,91,332,ai,AI behaviour (libgte-assisted decision data),49,22,79,29,2,16,28,12,61,34,130,34,49,0,105,14
21,FLYING_3,6,302,126,428,ai,AI behaviour (libgte-assisted decision data),86,121,55,39,0,23,9,20,23,52,215,52,86,0,55,20
22,FLYING_4,6,58,202,260,ai,AI behaviour (libgte-assisted decision data),26,17,70,21,2,19,30,6,42,27,108,27,26,0,91,8
23,STEALTH_1,6,114,55,169,ai,AI behaviour (libgte-assisted decision data),43,8,13,41,0,7,7,14,6,30,62,30,43,0,20,14
24,STEALTH_2,6,449,222,671,ai,AI behaviour (libgte-assisted decision data),71,24,200,120,6,44,57,31,45,73,344,73,71,0,146,37
25,SPACE,6,417,47,464,ai,AI behaviour (libgte-assisted decision data),35,126,82,59,2,19,29,13,38,61,267,61,35,0,86,15
26,BIKES,6,122,82,204,ai,AI behaviour (libgte-assisted decision data),41,8,24,38,0,10,8,14,17,44,70,44,41,0,35,14
27,,6,950,94,1044,ai,AI behaviour (libgte-assisted decision data),128,84,114,324,3,58,125,39,96,73,522,73,128,0,279,42
28,,6,333,58,391,ai,AI behaviour (libgte-assisted decision data),37,123,50,51,0,18,10,21,24,57,224,57,37,0,52,21
29,,6,180,73,253,ai,AI behaviour (libgte-assisted decision data),50,14,38,47,0,20,8,21,22,33,99,33,50,0,50,21
