crate_index,both_domain_ai,both_domain_combat,both_domain_engine,both_domain_render,both_domain_support,both_total,crate_label,value_a_domain_ai,value_a_domain_combat,value_a_domain_engine,value_a_domain_render,value_a_domain_support,value_a_total,value_b_domain_ai,value_b_domain_combat,value_b_domain_engine,value_b_domain_render,value_b_total
0,9,1,3,1,,14,PARK_AREA,7,,,,,7,2,1,3,1,7
1,9,1,3,1,,14,PLAINS_AREA,7,,,,,7,2,1,3,1,7
2,9,1,3,1,,14,DESERT_AREA,7,,,,,7,2,1,3,1,7
3,7,34,2,,11,54,WOODS_AREA,5,11,,,11,27,2,23,2,,27
4,9,11,3,11,,34,ICE_AREA,6,,,11,,17,3,11,3,,17
5,8,33,1,1,11,54,ORIENTAL_AREA,5,11,,,11,27,3,22,1,1,27
6,8,34,,1,11,54,JUNGLE_AREA,5,11,,,11,27,3,23,,1,27
7,7,11,3,1,,22,MOON_AREA,4,4,3,,,11,3,7,,1,11
8,7,12,3,,,22,,4,4,3,,,11,3,8,,,11
9,6,12,3,1,,22,,3,5,3,,,11,3,7,,1,11
10,4,12,6,,,22,ALL_FLAME_WEAPONS,3,4,4,,,11,1,8,2,,11
11,9,6,2,1,,18,LIGHTNING_WEAPONS,6,1,2,,,9,3,5,,1,9
12,7,7,3,1,,18,ALL_GRENADES_1,5,1,3,,,9,2,6,,1,9
13,8,7,3,,,18,ALL_GRENADES_2,5,1,3,,,9,3,6,,,9
14,3,28,8,1,,40,ALL_HEAVY_WEAPONS_1,2,11,6,1,,20,1,17,2,,20
15,8,5,2,9,,24,ALL_HEAVY_WEAPONS_2,7,1,,4,,12,1,4,2,5,12
16,8,5,2,9,,24,ALL_ROCKET_WEAPONS,7,,,5,,12,1,5,2,4,12
17,8,5,2,9,,24,ALL_MISSILE_WEAPONS,7,1,,4,,12,1,4,2,5,12
18,8,6,2,8,,24,ALL_SPECIAL_WEAPONS,7,,1,4,,12,1,6,1,4,12
19,5,3,4,2,,14,FLYING_1,5,,2,,,7,0,3,2,2,7
20,4,3,5,2,,14,FLYING_2,4,,3,,,7,0,3,2,2,7
21,6,2,5,1,,14,FLYING_3,5,,2,,,7,1,2,3,1,7
22,3,3,7,1,,14,FLYING_4,2,2,3,,,7,1,1,4,1,7
23,7,7,5,1,,20,STEALTH_1,6,,3,1,,10,1,7,2,0,10
24,8,8,4,,,20,STEALTH_2,7,,3,,,10,1,8,1,,10
25,9,7,4,,,20,SPACE,7,,3,,,10,2,7,1,,10
26,6,7,5,2,,20,BIKES,6,,3,1,,10,,7,2,1,10
27,9,1,3,1,,14,,7,,,,,7,2,1,3,1,7
28,11,1,5,3,,20,,10,,,,,10,1,1,5,3,10
29,10,1,6,3,,20,,10,,,,,10,,1,6,3,10
30,7,1,9,3,,20,,5,1,4,,,10,2,0,5,3,10
31,10,1,5,4,,20,,10,,,,,10,,1,5,4,10
32,9,1,3,1,,14,,7,,,,,7,2,1,3,1,7
33,9,1,3,1,,14,,7,,,,,7,2,1,3,1,7
34,10,3,,3,,16,,8,,,,,8,2,3,,3,8
35,9,1,3,1,,14,,7,,,,,7,2,1,3,1,7
36,9,1,3,1,,14,,7,,,,,7,2,1,3,1,7
37,9,1,3,1,,14,,7,,,,,7,2,1,3,1,7
38,9,1,3,1,,14,,7,,,,,7,2,1,3,1,7
39,9,1,3,1,,14,,7,,,,,7,2,1,3,1,7
40,9,1,3,1,,14,,7,,,,,7,2,1,3,1,7
