container_i,bind_off,base,entry_i,name,rel_off,abs_off,size
0,12288,file,58,\UNICRATE.TIM,77912,90200,2272
1,159744,file,58,\UNICRATE.TIM,77912,237656,2272
2,307200,file,58,\UNICRATE.TIM,77912,385112,2272
142,159612928,file,21,\CRATES.TIM,261928,159874856,13984
288,169592832,file,10,0_CRATECONTENTS.BIN,115852,169708684,28
288,169592832,file,11,1_CRATECONTENTS.BIN,115884,169708716,28
288,169592832,file,12,2_CRATECONTENTS.BIN,115916,169708748,28
288,169592832,file,13,3_CRATECONTENTS.BIN,115948,169708780,28
288,169592832,file,14,4_CRATECONTENTS.BIN,115980,169708812,28
288,169592832,file,15,5_CRATECONTENTS.BIN,116012,169708844,28
288,169592832,file,16,6_CRATECONTENTS.BIN,116044,169708876,28
288,169592832,file,17,7_CRATECONTENTS.BIN,116076,169708908,28
288,169592832,file,18,8_CRATECONTENTS.BIN,116108,169708940,28
288,169592832,file,19,9_CRATECONTENTS.BIN,116140,169708972,28
288,169592832,file,20,10_CRATECONTENTS.BIN,116172,169709004,28
288,169592832,file,21,11_CRATECONTENTS.BIN,116204,169709036,28
288,169592832,file,22,12_CRATECONTENTS.BIN,116236,169709068,28
288,169592832,file,23,13_CRATECONTENTS.BIN,116268,169709100,28
288,169592832,file,24,14_CRATECONTENTS.BIN,116300,169709132,28
288,169592832,file,25,15_CRATECONTENTS.BIN,116332,169709164,28
288,169592832,file,26,16_CRATECONTENTS.BIN,116364,169709196,28
288,169592832,file,27,17_CRATECONTENTS.BIN,116396,169709228,28
288,169592832,file,28,18_CRATECONTENTS.BIN,116428,169709260,28
288,169592832,file,29,19_CRATECONTENTS.BIN,116460,169709292,28
288,169592832,file,30,20_CRATECONTENTS.BIN,116492,169709324,28
288,169592832,file,31,21_CRATECONTENTS.BIN,116524,169709356,28
288,169592832,file,32,22_CRATECONTENTS.BIN,116556,169709388,28
288,169592832,file,33,23_CRATECONTENTS.BIN,116588,169709420,28
288,169592832,file,34,24_CRATECONTENTS.BIN,116620,169709452,28
288,169592832,file,35,25_CRATECONTENTS.BIN,116652,169709484,28
288,169592832,file,36,26_CRATECONTENTS.BIN,116684,169709516,28
288,169592832,file,37,27_CRATECONTENTS.BIN,116716,169709548,28
288,169592832,file,38,28_CRATECONTENTS.BIN,116748,169709580,28
288,169592832,file,39,29_CRATECONTENTS.BIN,116780,169709612,28
288,169592832,file,40,30_CRATECONTENTS.BIN,116812,169709644,28
288,169592832,file,41,31_CRATECONTENTS.BIN,116844,169709676,28
288,169592832,file,42,32_CRATECONTENTS.BIN,116876,169709708,28
288,169592832,file,43,33_CRATECONTENTS.BIN,116908,169709740,28
288,169592832,file,44,34_CRATECONTENTS.BIN,116940,169709772,28
288,169592832,file,45,35_CRATECONTENTS.BIN,116972,169709804,28
288,169592832,file,46,36_CRATECONTENTS.BIN,117004,169709836,28
288,169592832,file,47,37_CRATECONTENTS.BIN,117036,169709868,28
288,169592832,file,48,38_CRATECONTENTS.BIN,117068,169709900,28
288,169592832,file,49,39_CRATECONTENTS.BIN,117100,169709932,28
288,169592832,file,50,40_CRATECONTENTS.BIN,117132,169709964,28
586,181309440,file,4,\UNICRATE.TIM,5288,181314728,2176
586,181309440,file,6,\HO_CRATE.TIM,9584,181319024,2112
587,181483520,file,2,\DATA\CRATE.BIN,240,181483760,1540
