value,table,record_idx,field_pos
2,ACTION.BIN,26,12
2,ACTION.BIN,115,4
2,ACTION.BIN,119,12
2,ACTION.BIN,121,0
2,ACTION.BIN,128,4
2,ACTION.BIN,129,0
2,ACTION.BIN,130,20
2,ACTION.BIN,131,16
2,ACTION.BIN,132,12
2,ACTION.BIN,133,8
2,ACTION.BIN,134,4
2,ACTION.BIN,135,0
2,ACTION.BIN,138,12
2,ACTION.BIN,139,8
2,ACTION.BIN,140,4
2,ACTION.BIN,143,16
2,ACTION.BIN,147,0
2,ACTION.BIN,148,20
2,ACTION.BIN,149,16
2,ACTION.BIN,151,8
2,ACTION.BIN,153,0
2,ACTION.BIN,153,24
2,ACTION.BIN,154,20
2,ACTION.BIN,156,12
2,ACTION.BIN,161,4
2,ACTION.BIN,165,24
2,ACTION.BIN,174,12
2,ACTION.BIN,175,8
2,ACTION.BIN,176,4
2,ACTION.BIN,195,0
2,ACTION.BIN,196,20
2,ACTION.BIN,197,16
2,ACTION.BIN,200,4
2,ACTION.BIN,209,16
2,ACTION.BIN,221,16
2,ACTION.BIN,240,12
2,ACTION.BIN,250,20
2,ACTION.BIN,260,4
2,ACTION.BIN,279,0
2,ACTION.BIN,279,24
2,ACTION.BIN,281,16
2,ACTION.BIN,291,24
2,ACTION.BIN,293,16
2,ACTION.BIN,295,8
2,ACTION.BIN,297,0
2,ACTION.BIN,297,24
2,ACTION.BIN,298,20
2,ACTION.BIN,317,16
2,ACTION.BIN,340,20
2,ACTION.BIN,354,12
2,ACTION.BIN,356,4
2,ACTION.BIN,357,0
2,ACTION.BIN,357,24
2,ACTION.BIN,362,4
2,ACTION.BIN,363,0
2,ACTION.BIN,364,20
2,ACTION.BIN,365,16
2,ACTION.BIN,367,8
2,ACTION.BIN,368,4
2,ACTION.BIN,370,20
2,ACTION.BIN,372,12
2,ACTION.BIN,373,8
2,ACTION.BIN,375,0
2,ACTION.BIN,375,24
2,ACTION.BIN,377,16
2,ACTION.BIN,378,12
2,ACTION.BIN,379,8
2,ACTION.BIN,380,4
2,ACTION.BIN,381,24
2,ACTION.BIN,382,20
2,ACTION.BIN,383,16
2,ACTION.BIN,385,8
2,ACTION.BIN,387,0
2,ACTION.BIN,387,24
2,ACTION.BIN,389,16
2,ACTION.BIN,395,16
2,ACTION.BIN,396,12
2,ACTION.BIN,398,4
2,ACTION.BIN,399,24
2,ACTION.BIN,400,20
2,ACTION.BIN,401,16
2,ACTION.BIN,402,12
2,ACTION.BIN,403,8
2,ACTION.BIN,404,4
2,ACTION.BIN,405,0
2,ACTION.BIN,406,20
2,ACTION.BIN,409,8
2,ACTION.BIN,411,0
2,ACTION.BIN,411,24
2,ACTION.BIN,412,20
2,ACTION.BIN,418,20
2,ACTION.BIN,419,16
2,ACTION.BIN,421,8
2,ACTION.BIN,422,4
2,ACTION.BIN,425,16
2,ACTION.BIN,426,12
2,ACTION.BIN,429,0
2,ACTION.BIN,430,20
2,ACTION.BIN,431,16
2,ACTION.BIN,433,8
2,ACTION.BIN,434,4
2,ACTION.BIN,435,0
2,ACTION.BIN,435,24
2,ACTION.BIN,437,16
2,ACTION.BIN,438,12
2,ACTION.BIN,439,8
2,ACTION.BIN,441,0
2,ACTION.BIN,441,24
2,ACTION.BIN,442,20
2,ACTION.BIN,444,12
2,ACTION.BIN,446,4
2,ACTION.BIN,447,0
2,ACTION.BIN,449,16
2,ACTION.BIN,451,8
2,ACTION.BIN,452,4
2,ACTION.BIN,453,24
2,ACTION.BIN,454,20
2,ACTION.BIN,455,16
2,ACTION.BIN,462,12
2,ACTION.BIN,464,4
2,ACTION.BIN,465,0
2,ACTION.BIN,469,8
2,ACTION.BIN,470,4
2,ACTION.BIN,471,0
2,ACTION.BIN,483,0
2,ACTION.BIN,483,24
2,ACTION.BIN,484,20
2,ACTION.BIN,485,16
2,ACTION.BIN,487,8
2,ACTION.BIN,489,0
2,ACTION.BIN,494,10
2,ACTION.BIN,499,8
2,ACTION.BIN,501,24
2,ACTION.BIN,502,20
2,ACTION.BIN,503,16
2,ACTION.BIN,504,12
2,ACTION.BIN,505,8
2,ACTION.BIN,507,24
2,ACTION.BIN,510,12
2,ACTION.BIN,513,0
2,ACTION.BIN,514,20
2,ACTION.BIN,515,16
2,ACTION.BIN,516,12
2,ACTION.BIN,517,8
2,ACTION.BIN,519,0
2,ACTION.BIN,519,24
2,ACTION.BIN,524,4
2,ACTION.BIN,525,0
2,ACTION.BIN,525,24
2,ACTION.BIN,526,20
2,ACTION.BIN,527,16
2,ACTION.BIN,528,12
2,ACTION.BIN,529,8
2,ACTION.BIN,530,4
2,ACTION.BIN,531,24
2,ACTION.BIN,534,12
2,ACTION.BIN,535,8
2,ACTION.BIN,538,0
