value,type,occurrences
2,value_a,12
3,value_a,2
5,value_a,2
7,value_a,1
12,value_a,1
14,value_a,1
15,value_a,1
16,value_a,1
18,value_a,1
26,value_a,3
28,value_a,17
29,value_a,5
30,value_a,29
32,value_a,8
33,value_a,10
34,value_a,6
35,value_a,3
37,value_a,4
38,value_a,13
39,value_a,12
40,value_a,14
42,value_a,5
43,value_a,3
46,value_a,3
47,value_a,4
48,value_a,3
52,value_a,4
53,value_a,4
54,value_a,3
56,value_a,4
57,value_a,4
58,value_a,3
59,value_a,4
60,value_a,4
106,value_a,3
114,value_a,1
117,value_a,1
118,value_a,4
120,value_a,4
124,value_a,4
126,value_a,3
129,value_a,4
133,value_a,4
136,value_a,1
137,value_a,4
144,value_a,3
146,value_a,1
149,value_a,1
150,value_a,1
151,value_a,1
152,value_a,1
159,value_a,1
160,value_a,1
166,value_a,1
167,value_a,1
168,value_a,1
169,value_a,1
170,value_a,1
174,value_a,1
177,value_a,1
178,value_a,2
2,value_b,2
3,value_b,9
4,value_b,2
5,value_b,1
7,value_b,1
10,value_b,1
16,value_b,1
19,value_b,1
22,value_b,1
30,value_b,5
46,value_b,1
104,value_b,17
105,value_b,6
106,value_b,28
107,value_b,9
108,value_b,9
109,value_b,3
110,value_b,5
112,value_b,13
113,value_b,12
114,value_b,15
115,value_b,3
116,value_b,3
117,value_b,5
119,value_b,4
121,value_b,4
122,value_b,4
123,value_b,4
125,value_b,3
127,value_b,3
128,value_b,4
130,value_b,4
131,value_b,5
132,value_b,3
134,value_b,3
135,value_b,5
136,value_b,5
138,value_b,4
139,value_b,4
140,value_b,4
141,value_b,4
142,value_b,4
144,value_b,2
145,value_b,1
153,value_b,1
154,value_b,1
155,value_b,1
156,value_b,1
157,value_b,2
158,value_b,1
161,value_b,1
162,value_b,1
163,value_b,1
164,value_b,1
165,value_b,1
168,value_b,1
169,value_b,1
174,value_b,1
178,value_b,1
179,value_b,3
