value,kind,total_hits,dominant_domain,dominant_domain_hint,crate_slot_count,crate_slots,domain_ai,domain_combat,domain_engine,domain_other,domain_render,domain_support,table_ACTION.BIN,table_ATTITUDE.BIN,table_BUDDIES.BIN,table_PERCEPT.BIN,table_POWERUP.BIN,table_PROJECTILES.BIN,table_STATICS.BIN,table_TOYS.BIN,table_VEHICLES.BIN,table_WEAPONS.BIN
2,value_a+value_b,1062,ai,AI behaviour (libgte vectors),12,0:PARK_AREA:5 | 1:PLAINS_AREA:5 | 32:INDEX_32:5 | 33:INDEX_33:5 | 34:INDEX_34:5 | 35:INDEX_35:5 | 36:INDEX_36:5 | 37:INDEX_37:5 | 38:INDEX_38:5 | 39:INDEX_39:5 | 40:INDEX_40:5 | 4:ICE_AREA:5,499,22,203,0,274,64,203,82,42,375,,64,71,64,139,22
3,value_a+value_b,542,ai,AI behaviour (libgte vectors),11,0:PARK_AREA:5 | 1:PLAINS_AREA:5 | 27:INDEX_27:5 | 2:DESERT_AREA:5 | 33:INDEX_33:5 | 35:INDEX_35:5 | 36:INDEX_36:5 | 37:INDEX_37:5 | 38:INDEX_38:5 | 39:INDEX_39:5 | 40:INDEX_40:5,284,29,94,0,111,24,94,26,9,249,,24,55,24,32,29
4,value_b,296,render,Rendering & geometry (libgpu/libgte),2,5:ORIENTAL_AREA:5 | 6:JUNGLE_AREA:5,101,19,52,0,118,6,52,18,8,75,,51,46,6,21,19
5,value_a+value_b,225,ai,AI behaviour (libgte vectors),3,34:INDEX_34:5 | 7:MOON_AREA:5 | 8:INDEX_08:5,130,17,30,0,42,6,30,83,8,39,,9,20,6,13,17
7,value_a+value_b,191,ai,AI behaviour (libgte vectors),2,11:LIGHTNING_WEAPONS:5 | 24:STEALTH_2:5,117,9,41,0,11,13,41,7,66,44,,5,2,13,4,9
10,value_b,181,ai,AI behaviour (libgte vectors),1,24:STEALTH_2:5,93,24,4,0,52,8,4,,60,33,4,21,27,4,4,24
12,value_a,54,ai,AI behaviour (libgte vectors),1,11:LIGHTNING_WEAPONS:5,19,10,8,0,13,4,8,1,4,14,,2,3,4,8,10
14,value_a,38,combat,Combat runtime (libgte/libgpu),1,17:ALL_MISSILE_WEAPONS:5,11,18,4,0,1,4,4,5,1,5,,,,4,1,18
15,value_a,84,render,Rendering & geometry (libgpu/libgte),1,4:ICE_AREA:1,26,3,5,0,35,15,5,1,4,21,11,18,16,4,1,3
16,value_a+value_b,34,ai,AI behaviour (libgte vectors),1,30:INDEX_30:5,20,2,4,0,4,4,4,1,1,18,,2,1,4,1,2
18,value_a,61,ai,AI behaviour (libgte vectors),1,21:FLYING_3:5,33,2,2,0,20,4,2,,24,9,,19,,4,1,2
19,value_b,54,engine,Core state machines,1,21:FLYING_3:5,4,2,41,0,3,4,41,,2,2,,1,1,4,1,2
22,value_b,63,ai,AI behaviour (libgte vectors),1,7:MOON_AREA:5,39,8,2,0,10,4,2,1,26,12,,6,,4,4,8
26,value_a,45,ai,AI behaviour (libgte vectors),3,28:INDEX_28:5 | 29:INDEX_29:5 | 31:INDEX_31:5,31,6,2,0,4,2,2,,17,14,,1,,2,3,6
28,value_a,35,ai,AI behaviour (libgte vectors),17,0:PARK_AREA:2 | 1:PLAINS_AREA:2 | 27:INDEX_27:2 | 2:DESERT_AREA:2 | 32:INDEX_32:2 | 33:INDEX_33:2 | 35:INDEX_35:2 | 36:INDEX_36:2 | 37:INDEX_37:2 | 38:INDEX_38:2 | 39:INDEX_39:2 | 40:INDEX_40:2 | 5:ORIENTAL_AREA:2 | 6:JUNGLE_AREA:2 | 7:MOON_AREA:2 | 8:INDEX_08:2 | 9:INDEX_09:2,18,8,2,0,5,2,2,,1,17,,1,,2,4,8
29,value_a,15,ai,AI behaviour (libgte vectors),5,15:ALL_HEAVY_WEAPONS_2:4 | 16:ALL_ROCKET_WEAPONS:4 | 20:FLYING_2:4 | 21:FLYING_3:2 | 26:BIKES:2,7,3,2,0,1,2,2,,4,3,,1,,2,,3
