crate,slot,crate_label,priority,focus_score,focus_hint,domains,section,name,address,refs,origin,log_path
4,0,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,engine",matches,FUN_000006dc,000006dc,0,CallMap/mapping/mapping_ROT.BIN.md,exports/field_truth_logs/crate4_slot0_focus1023.log
4,0,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,engine",matches,FUN_00000900,00000900,0,CallMap/mapping/mapping_ROT.BIN.md,exports/field_truth_logs/crate4_slot0_focus1023.log
4,0,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,engine",matches,FUN_00001868,00001868,0,CallMap/mapping/mapping_MNU.BIN.md,exports/field_truth_logs/crate4_slot0_focus1023.log
4,0,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,engine",matches,FUN_00001948,00001948,0,CallMap/mapping/mapping_MNU.BIN.md,exports/field_truth_logs/crate4_slot0_focus1023.log
4,0,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,engine",matches,FUN_00001ad4,00001ad4,0,CallMap/mapping/mapping_ROT.BIN.md,exports/field_truth_logs/crate4_slot0_focus1023.log
4,0,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,engine",matches,FUN_0000276c,0000276c,0,CallMap/mapping/mapping_SYS.BIN.md,exports/field_truth_logs/crate4_slot0_focus1023.log
4,0,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,engine",matches,FUN_00002b10,00002b10,0,CallMap/mapping/mapping_SYS.BIN.md,exports/field_truth_logs/crate4_slot0_focus1023.log
4,0,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,engine",matches,FUN_000031d8,000031d8,0,CallMap/mapping/mapping_MNU.BIN.md,exports/field_truth_logs/crate4_slot0_focus1023.log
4,0,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,engine",matches,FUN_0000377c,0000377c,0,CallMap/mapping/mapping_SYS.BIN.md,exports/field_truth_logs/crate4_slot0_focus1023.log
4,0,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,engine",matches,FUN_000053dc,000053dc,0,CallMap/mapping/mapping_ROT.BIN.md,exports/field_truth_logs/crate4_slot0_focus1023.log
4,0,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,engine",fallback,ram (00000000),00000000,0,MemoryBlock,exports/field_truth_logs/crate4_slot0_focus1023.log
4,1,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"render,combat",matches,FUN_000006dc,000006dc,0,CallMap/mapping/mapping_ROT.BIN.md,exports/field_truth_logs/crate4_slot1_focus1023.log
4,1,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"render,combat",matches,FUN_00000900,00000900,0,CallMap/mapping/mapping_ROT.BIN.md,exports/field_truth_logs/crate4_slot1_focus1023.log
4,1,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"render,combat",matches,FUN_00001868,00001868,0,CallMap/mapping/mapping_MNU.BIN.md,exports/field_truth_logs/crate4_slot1_focus1023.log
4,1,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"render,combat",matches,FUN_00001948,00001948,0,CallMap/mapping/mapping_MNU.BIN.md,exports/field_truth_logs/crate4_slot1_focus1023.log
4,1,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"render,combat",matches,FUN_00001ad4,00001ad4,0,CallMap/mapping/mapping_ROT.BIN.md,exports/field_truth_logs/crate4_slot1_focus1023.log
4,1,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"render,combat",matches,FUN_0000276c,0000276c,0,CallMap/mapping/mapping_SYS.BIN.md,exports/field_truth_logs/crate4_slot1_focus1023.log
4,1,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"render,combat",matches,FUN_00002b10,00002b10,0,CallMap/mapping/mapping_SYS.BIN.md,exports/field_truth_logs/crate4_slot1_focus1023.log
4,1,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"render,combat",matches,FUN_000031d8,000031d8,0,CallMap/mapping/mapping_MNU.BIN.md,exports/field_truth_logs/crate4_slot1_focus1023.log
4,1,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"render,combat",matches,FUN_0000377c,0000377c,0,CallMap/mapping/mapping_SYS.BIN.md,exports/field_truth_logs/crate4_slot1_focus1023.log
4,1,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"render,combat",matches,FUN_000053dc,000053dc,0,CallMap/mapping/mapping_ROT.BIN.md,exports/field_truth_logs/crate4_slot1_focus1023.log
4,1,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"render,combat",fallback,ram (00000000),00000000,0,MemoryBlock,exports/field_truth_logs/crate4_slot1_focus1023.log
4,2,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,ai",matches,FUN_000006dc,000006dc,0,CallMap/mapping/mapping_ROT.BIN.md,exports/field_truth_logs/crate4_slot2_focus1023.log
4,2,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,ai",matches,FUN_00000900,00000900,0,CallMap/mapping/mapping_ROT.BIN.md,exports/field_truth_logs/crate4_slot2_focus1023.log
4,2,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,ai",matches,FUN_00001868,00001868,0,CallMap/mapping/mapping_MNU.BIN.md,exports/field_truth_logs/crate4_slot2_focus1023.log
4,2,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,ai",matches,FUN_00001948,00001948,0,CallMap/mapping/mapping_MNU.BIN.md,exports/field_truth_logs/crate4_slot2_focus1023.log
4,2,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,ai",matches,FUN_00001ad4,00001ad4,0,CallMap/mapping/mapping_ROT.BIN.md,exports/field_truth_logs/crate4_slot2_focus1023.log
4,2,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,ai",matches,FUN_0000276c,0000276c,0,CallMap/mapping/mapping_SYS.BIN.md,exports/field_truth_logs/crate4_slot2_focus1023.log
4,2,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,ai",matches,FUN_00002b10,00002b10,0,CallMap/mapping/mapping_SYS.BIN.md,exports/field_truth_logs/crate4_slot2_focus1023.log
4,2,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,ai",matches,FUN_000031d8,000031d8,0,CallMap/mapping/mapping_MNU.BIN.md,exports/field_truth_logs/crate4_slot2_focus1023.log
4,2,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,ai",matches,FUN_0000377c,0000377c,0,CallMap/mapping/mapping_SYS.BIN.md,exports/field_truth_logs/crate4_slot2_focus1023.log
4,2,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,ai",matches,FUN_000053dc,000053dc,0,CallMap/mapping/mapping_ROT.BIN.md,exports/field_truth_logs/crate4_slot2_focus1023.log
4,2,,high,1023,libgpu geometry + libgte transforms + libgte/libgpu combat loops,"ai,ai",fallback,ram (00000000),00000000,0,MemoryBlock,exports/field_truth_logs/crate4_slot2_focus1023.log
