function,address,source_file,category,context,tags,attributes
FUN_000002f4,0x000002f4,exports/mapping_ROT.BIN.md,mapping,Mapping for ROT.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""900""}"
FUN_00000408,0x00000408,exports/mapping_TUTO.BIN.md,mapping,Mapping for TUTO.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""364""}"
FUN_00000408,0x408,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""1""}"
FUN_00000408,0x408,exports/vertical_consumer_functions.md,vertical,Vertical Consumer Functions (refined),,"{""AmpRefs"": ""0"", ""CoreHits"": ""1"", ""Families"": ""toggles""}"
FUN_00000428,0x00000428,exports/mapping_MNU.BIN.md,mapping,Mapping for MNU.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""816""}"
FUN_00000574,0x00000574,exports/mapping_MPLR.BIN.md,mapping,Mapping for MPLR.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""928""}"
FUN_00000574,0x574,exports/vertical_bank_population.md,vertical,Candidate bank population writes into low offsets (4/8/0xC/0x10),,"{""Count"": ""4""}"
FUN_000006dc,0x000006dc,exports/mapping_ROT.BIN.md,mapping,Mapping for ROT.BIN / Top hubs (degree-ranked),"physics, gpu","{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""476""}"
FUN_00000804,0x00000804,exports/mapping_TUTO.BIN.md,mapping,Mapping for TUTO.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""268""}"
FUN_00000900,0x00000900,exports/mapping_ROT.BIN.md,mapping,Mapping for ROT.BIN / Seed neighborhoods (2 hops) / FUN_00000900,"physics, gpu","{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""96""}"
FUN_00000910,0x00000910,exports/mapping_TUTO.BIN.md,mapping,Mapping for TUTO.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""200""}"
FUN_00000914,0x00000914,exports/mapping_MPLR.BIN.md,mapping,Mapping for MPLR.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""188""}"
FUN_000009d0,0x000009d0,exports/mapping_MPLR.BIN.md,mapping,Mapping for MPLR.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""108""}"
FUN_000009d8,0x000009d8,exports/mapping_MAIN.EXE.md,mapping,Mapping for MAIN.EXE / Seed neighborhoods (2 hops) / FUN_0001f344,,"{""degree"": ""1"", ""in"": ""0"", ""out"": ""1"", ""size"": ""252""}"
FUN_000009d8,0x000009d8,exports/mapping_TUTO.BIN.md,mapping,Mapping for TUTO.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""64""}"
FUN_00000a18,0x00000a18,exports/mapping_TUTO.BIN.md,mapping,Mapping for TUTO.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""48""}"
FUN_00000a2c,0x00000a2c,exports/mapping_MNU.BIN.md,mapping,Mapping for MNU.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""632""}"
FUN_00000a2c,0xa2c,exports/vertical_amplitude_consumers.md,vertical,Potential amplitude field consumers (reads/writes outside core writers),,"{""Class"": ""read"", ""Code"": ""`func_0x0002080c(iVar1 + *(int *)(iVar1 + 0x50));`"", ""Line"": ""28""}"
FUN_00000a2c,0xa2c,exports/vertical_consumer_functions.md,vertical,Vertical Consumer Functions (refined),,"{""AmpRefs"": ""1"", ""CoreHits"": ""0""}"
FUN_00000a3c,0x00000a3c,exports/mapping_MPLR.BIN.md,mapping,Mapping for MPLR.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""64""}"
FUN_00000a48,0x00000a48,exports/mapping_TUTO.BIN.md,mapping,Mapping for TUTO.BIN / Top hubs (degree-ranked),,"{""degree"": ""0"", ""in"": ""0"", ""out"": ""0"", ""size"": ""112""}"
FUN_00000ad4,0x00000ad4,exports/mapping_MAIN.EXE.md,mapping,Mapping for MAIN.EXE / Seed neighborhoods (2 hops) / FUN_0001ef54,,"{""degree"": ""2"", ""in"": ""0"", ""out"": ""2"", ""size"": ""100""}"
