name,ea,size,callers_n,callees_n,ctrl_hit,phys_hit,binary
FUN_00004298,17048,436,0,0,0,0,GAME.BIN
FUN_0000444c,17484,624,0,0,0,0,GAME.BIN
FUN_000046bc,18108,852,0,0,0,0,GAME.BIN
FUN_00004a10,18960,120,0,0,0,0,GAME.BIN
FUN_00005710,22288,300,0,0,0,0,GAME.BIN
FUN_0000583c,22588,92,0,0,0,0,GAME.BIN
FUN_000058a8,22696,68,0,0,0,0,GAME.BIN
FUN_00005a3c,23100,120,0,0,0,0,GAME.BIN
FUN_00005abc,23228,44,0,0,0,0,GAME.BIN
FUN_00005ae8,23272,60,0,0,0,0,GAME.BIN
FUN_00005b24,23332,252,0,0,0,0,GAME.BIN
FUN_00005c20,23584,104,0,0,0,0,GAME.BIN
FUN_00005ca0,23712,116,0,0,0,0,GAME.BIN
FUN_00005d14,23828,156,0,0,0,0,GAME.BIN
FUN_00005db0,23984,100,0,0,0,0,GAME.BIN
FUN_00005e14,24084,60,0,0,0,0,GAME.BIN
FUN_00005e50,24144,148,0,0,0,0,GAME.BIN
FUN_00005ee4,24292,56,0,0,0,0,GAME.BIN
FUN_00005f1c,24348,44,0,0,0,0,GAME.BIN
FUN_00005f48,24392,60,0,0,0,0,GAME.BIN
FUN_00005f84,24452,232,0,0,0,0,GAME.BIN
FUN_0000606c,24684,144,0,0,0,0,GAME.BIN
FUN_000060fc,24828,116,0,0,0,0,GAME.BIN
FUN_00006170,24944,80,0,0,0,0,GAME.BIN
FUN_000061c0,25024,76,0,0,0,0,GAME.BIN
FUN_0000620c,25100,52,0,0,0,0,GAME.BIN
FUN_00006240,25152,52,0,0,0,0,GAME.BIN
FUN_00006274,25204,84,0,0,0,0,GAME.BIN
FUN_000062c8,25288,84,0,0,0,0,GAME.BIN
FUN_0000631c,25372,72,0,0,0,0,GAME.BIN
FUN_00006364,25444,72,0,0,0,0,GAME.BIN
FUN_000063ac,25516,72,0,0,0,0,GAME.BIN
FUN_000063f4,25588,52,0,0,0,0,GAME.BIN
FUN_00006428,25640,60,0,0,0,0,GAME.BIN
FUN_00006464,25700,88,0,0,0,0,GAME.BIN
FUN_000064bc,25788,76,0,0,0,0,GAME.BIN
FUN_00006508,25864,136,0,0,0,0,GAME.BIN
FUN_000065c8,26056,88,0,0,0,0,GAME.BIN
FUN_00006620,26144,60,0,0,0,0,GAME.BIN
FUN_0000665c,26204,76,0,0,0,0,GAME.BIN
FUN_000066a8,26280,68,0,0,0,0,GAME.BIN
FUN_000066ec,26348,68,0,0,0,0,GAME.BIN
FUN_00006730,26416,104,0,0,0,0,GAME.BIN
FUN_00006798,26520,52,0,0,0,0,GAME.BIN
FUN_000067cc,26572,52,0,0,0,0,GAME.BIN
FUN_00006800,26624,96,0,0,0,0,GAME.BIN
FUN_00006860,26720,152,0,0,0,1,GAME.BIN
FUN_00006958,26968,152,0,0,0,1,GAME.BIN
FUN_00006a50,27216,152,0,0,0,1,GAME.BIN
FUN_00006b48,27464,140,0,0,0,0,GAME.BIN
FUN_00006bd4,27604,68,0,0,0,0,GAME.BIN
FUN_00006c18,27672,84,0,0,0,0,GAME.BIN
FUN_00006c6c,27756,76,0,0,0,0,GAME.BIN
FUN_00006cb8,27832,280,0,0,0,0,GAME.BIN
FUN_00006dd0,28112,168,0,0,0,0,GAME.BIN
FUN_00006e78,28280,144,0,0,0,0,GAME.BIN
FUN_00006f08,28424,136,0,0,0,0,GAME.BIN
FUN_00006f90,28560,148,0,0,0,0,GAME.BIN
FUN_00007024,28708,96,0,0,0,0,GAME.BIN
FUN_00007084,28804,144,0,0,0,0,GAME.BIN
FUN_00007114,28948,36,0,0,0,0,GAME.BIN
FUN_00007138,28984,88,0,0,0,0,GAME.BIN
FUN_000071b8,29112,52,0,0,0,0,GAME.BIN
FUN_000071ec,29164,292,0,0,0,0,GAME.BIN
FUN_00007310,29456,220,0,0,0,0,GAME.BIN
FUN_000073ec,29676,48,0,0,0,0,GAME.BIN
FUN_0000741c,29724,36,0,0,0,0,GAME.BIN
FUN_00007440,29760,36,0,0,0,0,GAME.BIN
FUN_00007464,29796,36,0,0,0,0,GAME.BIN
FUN_00007488,29832,36,0,0,0,0,GAME.BIN
FUN_000074ac,29868,40,0,0,0,0,GAME.BIN
FUN_000074d4,29908,68,0,0,0,0,GAME.BIN
FUN_00007518,29976,92,0,0,0,0,GAME.BIN
FUN_00007574,30068,36,0,0,0,0,GAME.BIN
FUN_00007598,30104,72,0,0,0,0,GAME.BIN
FUN_000075e0,30176,40,0,0,0,0,GAME.BIN
FUN_00007608,30216,36,0,0,0,0,GAME.BIN
FUN_0000762c,30252,84,0,0,0,0,GAME.BIN
FUN_00007680,30336,144,0,0,0,0,GAME.BIN
FUN_00007710,30480,116,0,0,0,0,GAME.BIN
FUN_00007784,30596,116,0,0,0,0,GAME.BIN
FUN_000077f8,30712,48,0,0,0,0,GAME.BIN
