score,name,disp,ea,size,lvl,masks,edges,kws,outdeg,indeg
24,FUN_000119cc,FUN_000119cc,0x000119cc,1356,-1,8,0,0,0,0
24,FUN_00038748,FUN_00038748,0x00038748,2172,-1,8,0,0,0,0
21,FUN_0003baf8,FUN_0003baf8,0x0003baf8,3004,-1,7,0,0,0,0
18,FUN_0002380c,FUN_0002380c,0x0002380c,1556,-1,6,0,0,0,0
15,FUN_0001f75c,FUN_0001f75c,0x0001f75c,992,-1,5,0,0,0,0
9,FUN_00023364,FUN_00023364,0x00023364,292,-1,3,0,0,0,0
9,FUN_0002c0bc,FUN_0002c0bc,0x0002c0bc,784,-1,3,0,0,0,0
9,FUN_00037f88,FUN_00037f88,0x00037f88,856,-1,3,0,0,0,0
9,FUN_0003991c,FUN_0003991c,0x0003991c,628,-1,3,0,0,0,0
7,FUN_00007518,FUN_00007518,0x00007518,92,-1,2,0,0,0,0
6,FUN_0000f8e4,phys_FUN_0000f8e4,0x0000f8e4,1156,-1,2,0,0,0,0
6,FUN_00020598,FUN_00020598,0x00020598,308,-1,2,0,0,0,0
6,FUN_000220b4,phys_FUN_000220b4,0x000220b4,448,-1,2,0,0,0,0
6,FUN_00026c68,FUN_00026c68,0x00026c68,484,-1,2,0,0,0,0
6,FUN_0002b2b8,FUN_0002b2b8,0x0002b2b8,848,-1,2,0,0,0,0
6,FUN_0002cd00,FUN_0002cd00,0x0002cd00,520,-1,2,0,0,0,0
6,FUN_0003b9b4,FUN_0003b9b4,0x0003b9b4,324,-1,2,0,0,0,0
4,FUN_00007da4,FUN_00007da4,0x00007da4,104,-1,1,0,0,0,0
4,FUN_0000e90c,FUN_0000e90c,0x0000e90c,192,-1,1,0,0,0,0
4,FUN_00012cc0,FUN_00012cc0,0x00012cc0,248,-1,1,0,0,0,0
4,FUN_000206cc,FUN_000206cc,0x000206cc,220,-1,1,0,0,0,0
4,FUN_000225f8,FUN_000225f8,0x000225f8,104,-1,1,0,0,0,0
4,FUN_0002c964,FUN_0002c964,0x0002c964,924,-1,0,1,0,0,0
4,FUN_000480a4,FUN_000480a4,0x000480a4,172,-1,1,0,0,0,0
3,FUN_0000c2e8,FUN_0000c2e8,0x0000c2e8,388,-1,1,0,0,0,0
3,FUN_0000cce0,FUN_0000cce0,0x0000cce0,944,-1,1,0,0,0,0
3,FUN_0000d398,FUN_0000d398,0x0000d398,384,-1,1,0,0,0,0
3,FUN_000108bc,FUN_000108bc,0x000108bc,864,-1,1,0,0,0,0
3,FUN_000122ec,FUN_000122ec,0x000122ec,1304,-1,1,0,0,0,0
3,FUN_00015064,FUN_00015064,0x00015064,472,-1,1,0,0,0,0
3,FUN_000171a0,FUN_000171a0,0x000171a0,412,-1,1,0,0,0,0
3,FUN_0001cbb4,FUN_0001cbb4,0x0001cbb4,388,-1,1,0,0,0,0
3,FUN_000211b0,FUN_000211b0,0x000211b0,1764,-1,1,0,0,0,0
3,FUN_00021c74,FUN_00021c74,0x00021c74,1088,-1,1,0,0,0,0
3,FUN_00023488,FUN_00023488,0x00023488,528,-1,1,0,0,0,1
3,FUN_00024454,FUN_00024454,0x00024454,260,-1,1,0,0,0,0
3,FUN_00024558,FUN_00024558,0x00024558,1020,-1,1,0,0,0,0
3,FUN_000249e4,FUN_000249e4,0x000249e4,696,-1,1,0,0,0,0
3,FUN_00027304,FUN_00027304,0x00027304,528,-1,1,0,0,0,0
