score,name,disp,ea,size,lvl,masks,edges,kws,outdeg,indeg
49,FUN_00023534,FUN_00023534,0x00023534,16,-1,16,0,0,0,1
49,FUN_00023544,FUN_00023544,0x00023544,68,-1,16,0,0,0,1
49,FUN_00023588,FUN_00023588,0x00023588,76,-1,16,0,0,0,1
48,FUN_00008528,suspect_FUN_00008528,0x00008528,1884,-1,16,0,0,18,0
48,FUN_000235d4,suspect_FUN_000235d4,0x000235d4,840,-1,16,0,0,10,1
36,FUN_00014f80,phys_FUN_00014f80,0x00014f80,1324,-1,12,0,0,5,0
12,FUN_00002f34,FUN_00002f34,0x00002f34,1272,-1,4,0,0,5,0
12,FUN_00008158,FUN_00008158,0x00008158,332,-1,4,0,0,3,0
12,FUN_0000bdd4,FUN_0000bdd4,0x0000bdd4,692,-1,4,0,0,6,0
12,FUN_0000e1a8,suspect_FUN_0000e1a8,0x0000e1a8,624,-1,4,0,0,7,0
12,FUN_00010944,FUN_00010944,0x00010944,1408,-1,0,3,0,1,0
12,FUN_00014520,FUN_00014520,0x00014520,316,-1,4,0,0,1,0
12,FUN_0001a804,suspect_FUN_0001a804,0x0001a804,616,-1,4,0,0,11,0
12,FUN_000204e4,FUN_000204e4,0x000204e4,336,-1,4,0,0,2,1
11,FUN_0000f85c,FUN_0000f85c,0x0000f85c,1156,-1,1,2,0,5,0
9,FUN_0000d8d4,FUN_0000d8d4,0x0000d8d4,580,-1,3,0,0,4,0
7,FUN_0001912c,FUN_0001912c,0x0001912c,8,-1,2,0,0,0,1
7,FUN_00019134,FUN_00019134,0x00019134,132,-1,2,0,0,4,0
7,FUN_0001b220,FUN_0001b220,0x0001b220,68,-1,2,0,0,0,0
7,FUN_0001b264,FUN_0001b264,0x0001b264,256,-1,2,0,0,1,1
7,FUN_0001b364,FUN_0001b364,0x0001b364,256,-1,2,0,0,5,1
7,FUN_0001caf0,FUN_0001caf0,0x0001caf0,12,1,0,0,0,0,1
7,FUN_0001cbb8,phys_FUN_0001cbb8,0x0001cbb8,32,1,0,0,0,1,2
7,FUN_0001cc38,FUN_0001cc38,0x0001cc38,12,1,0,0,0,1,6
7,FUN_0001cc58,suspect_FUN_0001cc58,0x0001cc58,16,1,0,0,0,0,51
7,FUN_0001f610,FUN_0001f610,0x0001f610,144,1,0,0,0,1,3
7,FUN_000211ac,FUN_000211ac,0x000211ac,92,1,0,0,0,2,2
7,FUN_00021318,FUN_00021318,0x00021318,28,1,0,0,0,0,1
7,FUN_00021478,FUN_00021478,0x00021478,36,1,0,0,0,1,1
7,FUN_00021ef4,FUN_00021ef4,0x00021ef4,112,1,0,0,0,1,1
7,FUN_00022144,FUN_00022144,0x00022144,240,1,0,0,0,1,2
7,FUN_0002233c,suspect_FUN_0002233c,0x0002233c,252,1,0,0,0,3,4
7,FUN_00031978,FUN_00031978,0x00031978,20,1,0,0,0,0,2
7,FUN_00031c7c,FUN_00031c7c,0x00031c7c,12,1,0,0,0,0,2
7,FUN_00032278,FUN_00032278,0x00032278,200,1,0,0,0,0,2
7,thunk_FUN_0001f5d4,suspect_thunk_FUN_0001f5d4,0x0001f5c0,8,1,0,0,0,0,32
7,thunk_FUN_00034460,thunk_FUN_00034460,0x0001cc48,8,1,0,0,0,0,1
6,FUN_00003a64,FUN_00003a64,0x00003a64,280,-1,2,0,0,3,0
6,FUN_000139a0,suspect_FUN_000139a0,0x000139a0,1220,-1,2,0,0,7,0
6,FUN_0001b72c,FUN_0001b72c,0x0001b72c,568,-1,2,0,0,2,0
6,FUN_0001d600,suspect_FUN_0001d600,0x0001d600,284,1,0,0,0,2,18
6,FUN_0001fab8,suspect_FUN_0001fab8,0x0001fab8,764,1,0,0,0,8,1
6,FUN_00024b78,FUN_00024b78,0x00024b78,4,1,0,0,0,0,1
6,FUN_00031a48,FUN_00031a48,0x00031a48,1,1,0,0,0,0,1
6,FUN_00035324,FUN_00035324,0x00035324,1,1,0,0,0,0,5
6,FUN_00035360,FUN_00035360,0x00035360,4,1,0,0,0,0,6
6,FUN_00035464,FUN_00035464,0x00035464,1,1,0,0,0,0,6
6,FUN_000354f0,FUN_000354f0,0x000354f0,4,1,0,0,0,0,2
6,FUN_00035554,suspect_FUN_00035554,0x00035554,1,1,0,0,0,0,13
6,FUN_000356b4,FUN_000356b4,0x000356b4,1,1,0,0,0,0,2
6,FUN_00035800,FUN_00035800,0x00035800,4,1,0,0,0,0,3
6,FUN_00035914,FUN_00035914,0x00035914,1,1,0,0,0,0,2
6,FUN_00036754,FUN_00036754,0x00036754,1,1,0,0,0,0,1
6,FUN_00036f34,FUN_00036f34,0x00036f34,1,1,0,0,0,0,1
