name,ea,size,in,out,score
FUN_00022e5c,0x00022e5c,420,19,0,51
FUN_000209dc,0x000209dc,108,25,0,48
FUN_0003d44c,0x0003d44c,604,17,0,47
FUN_00023000,0x00023000,272,15,0,43
FUN_00023180,0x00023180,144,15,0,38
FUN_0004033c,0x0004033c,236,7,0,27
FUN_000402e0,0x000402e0,92,9,0,26
FUN_0003e4b4,0x0003e4b4,148,8,0,24
FUN_000401ec,0x000401ec,136,7,0,22
FUN_000431e4,0x000431e4,356,4,0,21
FUN_00023110,0x00023110,112,6,0,20
FUN_00023210,0x00023210,216,3,0,19
FUN_0003e494,0x0003e494,32,5,0,18
FUN_00054518,0x00054518,12,8,0,16
FUN_00040a98,0x00040a98,1628,1,0,15
FUN_000430a4,0x000430a4,320,1,0,15
FUN_00004298,0x00004298,436,0,0,13
FUN_0000444c,0x0000444c,624,0,0,13
FUN_000046bc,0x000046bc,852,0,0,13
FUN_00005710,0x00005710,300,0,0,13
FUN_00007b44,0x00007b44,212,0,0,13
FUN_00008220,0x00008220,204,0,0,13
FUN_0000852c,0x0000852c,228,0,0,13
FUN_00008610,0x00008610,244,0,0,13
FUN_00008704,0x00008704,264,0,0,13
FUN_000089a4,0x000089a4,372,0,0,13
FUN_00009f6c,0x00009f6c,676,0,0,13
FUN_0000a8d4,0x0000a8d4,384,0,0,13
FUN_0000d1f4,0x0000d1f4,216,0,0,13
FUN_0000d398,0x0000d398,384,0,0,13
FUN_0000dcd4,0x0000dcd4,256,0,0,13
FUN_0000ddd4,0x0000ddd4,272,0,0,13
FUN_0001003c,0x0001003c,764,0,0,13
FUN_000103a8,0x000103a8,288,0,0,13
FUN_000104c8,0x000104c8,444,0,0,13
FUN_000119cc,0x000119cc,1356,0,0,13
FUN_00011f18,0x00011f18,268,0,0,13
FUN_000133e4,0x000133e4,300,0,0,13
FUN_00013510,0x00013510,464,0,0,13
FUN_0001573c,0x0001573c,436,0,0,13
FUN_000159e0,0x000159e0,372,0,0,13
FUN_00015c94,0x00015c94,324,0,0,13
FUN_000184f8,0x000184f8,336,0,0,13
FUN_00018e98,0x00018e98,348,0,0,13
FUN_00018ff4,0x00018ff4,728,0,0,13
FUN_000193a0,0x000193a0,336,0,0,13
FUN_0001a064,0x0001a064,348,0,0,13
FUN_0001a1c0,0x0001a1c0,936,0,0,13
FUN_0001a958,0x0001a958,208,0,0,13
FUN_0001adb8,0x0001adb8,236,0,0,13
FUN_0001aea4,0x0001aea4,224,0,0,13
FUN_0001af84,0x0001af84,452,0,0,13
FUN_0001ba34,0x0001ba34,372,0,0,13
FUN_0001bba8,0x0001bba8,372,0,0,13
FUN_0001cff0,0x0001cff0,228,0,0,13
FUN_0001d254,0x0001d254,336,0,0,13
FUN_0001d4f4,0x0001d4f4,272,0,0,13
FUN_0001e978,0x0001e978,772,0,0,13
FUN_0001f218,0x0001f218,504,0,0,13
FUN_0001f75c,0x0001f75c,992,0,0,13
FUN_0001fca4,0x0001fca4,380,0,0,13
FUN_0001fe20,0x0001fe20,464,0,0,13
FUN_0001fff0,0x0001fff0,548,0,0,13
FUN_00020284,0x00020284,640,0,0,13
FUN_00020598,0x00020598,308,0,0,13
FUN_000206cc,0x000206cc,220,0,0,13
FUN_000207a8,0x000207a8,448,0,0,13
FUN_00020a68,0x00020a68,288,0,0,13
FUN_00020b88,0x00020b88,332,0,0,13
FUN_00020dcc,0x00020dcc,732,0,0,13
FUN_000211b0,0x000211b0,1764,0,0,13
FUN_00021894,0x00021894,652,0,0,13
FUN_0002380c,0x0002380c,1556,0,0,13
FUN_000249e4,0x000249e4,696,0,0,13
FUN_00025284,0x00025284,544,0,0,13
FUN_000254a4,0x000254a4,456,0,0,13
FUN_0002566c,0x0002566c,540,0,0,13
FUN_00025c18,0x00025c18,624,0,0,13
FUN_00025eb0,0x00025eb0,356,0,0,13
FUN_0002609c,0x0002609c,400,0,0,13
FUN_0002685c,0x0002685c,1036,0,0,13
FUN_00026e4c,0x00026e4c,252,0,0,13
FUN_00026f48,0x00026f48,232,0,0,13
FUN_00027160,0x00027160,420,0,0,13
FUN_00027d1c,0x00027d1c,312,0,0,13
FUN_000280a0,0x000280a0,532,0,0,13
FUN_000283f8,0x000283f8,492,0,0,13
FUN_00028724,0x00028724,620,0,0,13
FUN_00028fc4,0x00028fc4,460,0,0,13
FUN_00029538,0x00029538,268,0,0,13
FUN_000296e8,0x000296e8,340,0,0,13
FUN_0002983c,0x0002983c,212,0,0,13
FUN_00029910,0x00029910,264,0,0,13
FUN_00029c24,0x00029c24,1708,0,0,13
FUN_0002a2d0,0x0002a2d0,312,0,0,13
FUN_0002a498,0x0002a498,348,0,0,13
FUN_0002a5f4,0x0002a5f4,248,0,0,13
FUN_0002a7c4,0x0002a7c4,260,0,0,13
FUN_0002a8c8,0x0002a8c8,952,0,0,13
FUN_0002ac80,0x0002ac80,224,0,0,13
