name,ea,size,in,out,score
FUN_0000552c,0x0000552c,1320,0,0,13
FUN_00006778,0x00006778,708,0,0,13
FUN_00008770,0x00008770,224,0,0,13
FUN_00008a80,0x00008a80,572,0,0,13
FUN_00008cbc,0x00008cbc,640,0,0,13
FUN_000092e4,0x000092e4,608,0,0,13
FUN_00009e3c,0x00009e3c,2332,0,0,13
FUN_0000a784,0x0000a784,424,0,0,13
FUN_0000b7dc,0x0000b7dc,316,0,0,13
FUN_0000b918,0x0000b918,308,0,0,13
FUN_0000ba4c,0x0000ba4c,332,0,0,13
FUN_0000d0f8,0x0000d0f8,300,0,0,13
FUN_0000d564,0x0000d564,464,0,0,13
FUN_0000dfb8,0x0000dfb8,1220,0,0,13
FUN_0000ead8,0x0000ead8,708,0,0,13
FUN_0000edf8,0x0000edf8,404,0,0,13
FUN_0000f548,0x0000f548,340,0,0,13
FUN_000105cc,0x000105cc,640,0,0,13
FUN_0001084c,0x0001084c,712,0,0,13
FUN_00010b14,0x00010b14,1036,0,0,13
FUN_000111b8,0x000111b8,480,0,0,13
FUN_00011398,0x00011398,360,0,0,13
FUN_0001150c,0x0001150c,216,0,0,13
FUN_00011b48,0x00011b48,416,0,0,13
FUN_00011ce8,0x00011ce8,228,0,0,13
FUN_00011e84,0x00011e84,260,0,0,13
FUN_00012e88,0x00012e88,640,0,0,13
FUN_00013b14,0x00013b14,384,0,0,13
FUN_000145c8,0x000145c8,1324,0,0,13
FUN_00015210,0x00015210,400,0,0,13
FUN_000153a0,0x000153a0,580,0,0,13
FUN_000157c4,0x000157c4,548,0,0,13
FUN_000159e8,0x000159e8,636,0,0,13
FUN_00016a1c,0x00016a1c,1456,0,0,13
FUN_00017510,0x00017510,636,0,0,13
FUN_000177fc,0x000177fc,584,0,0,13
FUN_00017a6c,0x00017a6c,944,0,0,13
FUN_00017e54,0x00017e54,844,0,0,13
FUN_00005aa4,0x00005aa4,128,0,0,8
FUN_00005b24,0x00005b24,84,0,0,8
FUN_00006a3c,0x00006a3c,164,0,0,8
FUN_00006df0,0x00006df0,92,0,0,8
FUN_0000a9ec,0x0000a9ec,152,0,0,8
FUN_0000adf8,0x0000adf8,148,0,0,8
FUN_0000ae8c,0x0000ae8c,148,0,0,8
FUN_0000bdd4,0x0000bdd4,152,0,0,8
FUN_0000ef98,0x0000ef98,124,0,0,8
FUN_0000f278,0x0000f278,164,0,0,8
FUN_0000fab8,0x0000fab8,144,0,0,8
FUN_0000fc28,0x0000fc28,164,0,0,8
FUN_00012550,0x00012550,108,0,0,8
FUN_00012618,0x00012618,84,0,0,8
FUN_000132c8,0x000132c8,188,0,0,8
FUN_00015c64,0x00015c64,144,0,0,8
FUN_00018afc,0x00018afc,104,0,0,8
FUN_00005bbc,0x00005bbc,308,0,0,5
FUN_00005dac,0x00005dac,356,0,0,5
FUN_00005f10,0x00005f10,352,0,0,5
FUN_00006ae0,0x00006ae0,496,0,0,5
FUN_00006f3c,0x00006f3c,272,0,0,5
FUN_00007320,0x00007320,284,0,0,5
FUN_000079dc,0x000079dc,216,0,0,5
FUN_00007ae8,0x00007ae8,1272,0,0,5
FUN_00008104,0x00008104,504,0,0,5
FUN_000082fc,0x000082fc,624,0,0,5
FUN_00008850,0x00008850,560,0,0,5
FUN_00009544,0x00009544,316,0,0,5
FUN_000097f0,0x000097f0,324,0,0,5
FUN_0000abec,0x0000abec,212,0,0,5
FUN_0000b4fc,0x0000b4fc,212,0,0,5
FUN_0000b60c,0x0000b60c,260,0,0,5
FUN_0000bf30,0x0000bf30,280,0,0,5
FUN_0000d48c,0x0000d48c,216,0,0,5
FUN_0000d734,0x0000d734,328,0,0,5
FUN_0000f0c8,0x0000f0c8,232,0,0,5
FUN_0000f328,0x0000f328,248,0,0,5
FUN_0000f478,0x0000f478,204,0,0,5
FUN_0000f6a8,0x0000f6a8,204,0,0,5
FUN_0001161c,0x0001161c,628,0,0,5
FUN_00011890,0x00011890,208,0,0,5
FUN_00011960,0x00011960,488,0,0,5
FUN_000156d4,0x000156d4,240,0,0,5
FUN_00015db0,0x00015db0,620,0,0,5
FUN_00016058,0x00016058,212,0,0,5
FUN_00016900,0x00016900,284,0,0,5
FUN_00017118,0x00017118,280,0,0,5
FUN_000172a4,0x000172a4,280,0,0,5
FUN_00018418,0x00018418,252,0,0,5
FUN_00018550,0x00018550,296,0,0,5
FUN_00006070,0x00006070,64,0,0,0
FUN_000060b0,0x000060b0,64,0,0,0
FUN_000060f0,0x000060f0,56,0,0,0
FUN_00006128,0x00006128,100,0,0,0
FUN_0000618c,0x0000618c,144,0,0,0
FUN_000062c8,0x000062c8,44,0,0,0
FUN_00006758,0x00006758,32,0,0,0
FUN_00006d7c,0x00006d7c,104,0,0,0
FUN_000070b0,0x000070b0,92,0,0,0
FUN_0000710c,0x0000710c,164,0,0,0
FUN_000071c0,0x000071c0,96,0,0,0
