name,ea,size,in,out,score
thunk_FUN_0001f5d4,0x0001f5c0,8,32,0,48
FUN_0001f5e8,0x0001f5e8,40,22,0,48
FUN_000090e0,0x000090e0,1104,0,31,44
FUN_0001d600,0x0001d600,284,18,2,43
FUN_0001cc58,0x0001cc58,16,51,0,40
FUN_00023390,0x00023390,16,9,1,27
FUN_0000af3c,0x0000af3c,3080,0,13,26
FUN_00035554,0x00035554,1,13,0,26
FUN_000235d4,0x000235d4,840,1,10,25
FUN_0000c1b0,0x0000c1b0,308,0,11,24
FUN_0001a804,0x0001a804,616,0,11,24
FUN_00008528,0x00008528,1884,0,18,23
FUN_00009708,0x00009708,608,0,10,23
FUN_0002273c,0x0002273c,2388,1,16,23
FUN_0000e820,0x0000e820,384,0,9,22
FUN_0001003c,0x0001003c,1372,0,9,22
FUN_000171fc,0x000171fc,712,0,9,22
FUN_000240a0,0x000240a0,260,3,3,22
FUN_00016f7c,0x00016f7c,648,0,8,21
FUN_000174c4,0x000174c4,1036,0,8,21
FUN_00008ebc,0x00008ebc,256,0,7,20
FUN_0000a34c,0x0000a34c,280,0,7,20
FUN_0000e1a8,0x0000e1a8,624,0,7,20
FUN_000139a0,0x000139a0,1220,0,7,20
FUN_00017b68,0x00017b68,480,0,7,20
FUN_00018dac,0x00018dac,404,2,11,20
FUN_00019ec0,0x00019ec0,468,5,5,20
FUN_0001b364,0x0001b364,256,1,5,20
FUN_0001c85c,0x0001c85c,64,6,0,20
FUN_0001deb4,0x0001deb4,332,0,7,20
FUN_0001fdb4,0x0001fdb4,204,0,7,20
FUN_00020c14,0x00020c14,496,0,7,20
FUN_000246d8,0x000246d8,4,10,0,20
FUN_0002db70,0x0002db70,20,10,0,20
FUN_00009f08,0x00009f08,360,0,6,19
FUN_0000a4f0,0x0000a4f0,252,0,6,19
FUN_0000a6f4,0x0000a6f4,224,0,6,19
FUN_0000a944,0x0000a944,456,0,14,19
FUN_0000d058,0x0000d058,252,0,6,19
FUN_0001c7fc,0x0001c7fc,64,5,1,19
FUN_0001f7cc,0x0001f7cc,748,3,0,19
FUN_00023f50,0x00023f50,336,2,2,19
FUN_00002f34,0x00002f34,1272,0,5,18
FUN_00003454,0x00003454,504,0,5,18
FUN_0000a234,0x0000a234,280,0,5,18
FUN_0000f85c,0x0000f85c,1156,0,5,18
FUN_0000fcec,0x0000fcec,836,0,5,18
FUN_00014f80,0x00014f80,1324,0,5,18
FUN_000180bc,0x000180bc,536,0,5,18
FUN_00018a0c,0x00018a0c,564,0,13,18
FUN_00020a54,0x00020a54,448,0,5,18
FUN_00023d74,0x00023d74,476,0,5,18
FUN_0002db84,0x0002db84,20,9,0,18
FUN_00001b90,0x00001b90,640,0,4,17
FUN_00012cb0,0x00012cb0,232,0,4,17
FUN_000132c0,0x000132c0,708,0,4,17
FUN_00014380,0x00014380,404,0,4,17
FUN_00017d48,0x00017d48,360,0,4,17
FUN_000197bc,0x000197bc,1756,0,4,17
FUN_0001c89c,0x0001c89c,48,3,3,17
FUN_0001e7b4,0x0001e7b4,592,1,2,17
FUN_00000edc,0x00000edc,232,0,3,16
FUN_00002434,0x00002434,336,0,3,16
FUN_00003a64,0x00003a64,280,0,3,16
FUN_00003cf0,0x00003cf0,4716,0,3,16
FUN_00006050,0x00006050,464,0,3,16
FUN_00008ce4,0x00008ce4,368,0,11,16
FUN_000099ac,0x000099ac,244,0,11,16
FUN_0000a628,0x0000a628,204,0,3,16
FUN_0000c750,0x0000c750,336,0,3,16
FUN_0000c8a0,0x0000c8a0,336,0,3,16
FUN_0000d7d8,0x0000d7d8,252,0,3,16
FUN_000114a4,0x000114a4,1412,0,3,16
FUN_0001245c,0x0001245c,640,0,3,16
FUN_00015e80,0x00015e80,548,0,3,16
FUN_000165f4,0x000165f4,332,0,3,16
FUN_0001b264,0x0001b264,256,1,1,16
FUN_0001c5d8,0x0001c5d8,432,0,3,16
FUN_0001cb60,0x0001cb60,24,8,0,16
FUN_0001cc08,0x0001cc08,16,8,0,16
FUN_0001cfcc,0x0001cfcc,636,0,3,16
FUN_0001d2a4,0x0001d2a4,352,0,3,16
FUN_0001dca4,0x0001dca4,12,8,0,16
FUN_000200b4,0x000200b4,828,0,3,16
FUN_0002233c,0x0002233c,252,4,3,16
FUN_00001644,0x00001644,224,0,2,15
FUN_00001954,0x00001954,572,0,2,15
FUN_000021d4,0x000021d4,608,0,2,15
FUN_0000a070,0x0000a070,204,0,2,15
FUN_0000d208,0x0000d208,368,0,10,15
FUN_0000eb10,0x0000eb10,384,0,2,15
FUN_00011cdc,0x00011cdc,984,0,2,15
FUN_000182d4,0x000182d4,100,3,1,15
FUN_0001aaec,0x0001aaec,144,1,5,15
FUN_0001ad84,0x0001ad84,364,0,2,15
FUN_0001b554,0x0001b554,472,0,2,15
FUN_0001b72c,0x0001b72c,568,0,2,15
FUN_0001c83c,0x0001c83c,32,2,3,15
FUN_0001f610,0x0001f610,144,3,1,15
FUN_0001fab8,0x0001fab8,764,1,8,15
