name,ea,size,in,out,score
FUN_00000b00,0x00000b00,388,0,0,13
FUN_00000c84,0x00000c84,384,0,0,13
FUN_00000e04,0x00000e04,1016,0,0,13
FUN_00001650,0x00001650,1156,0,0,13
FUN_00001ff4,0x00001ff4,876,0,0,13
FUN_00002724,0x00002724,3220,0,0,13
FUN_000033b8,0x000033b8,204,0,0,13
FUN_000034dc,0x000034dc,552,0,0,13
FUN_00003784,0x00003784,240,0,0,13
FUN_00003874,0x00003874,240,0,0,13
FUN_00003964,0x00003964,256,0,0,13
FUN_00003f60,0x00003f60,244,0,0,13
FUN_000042f8,0x000042f8,540,0,0,13
FUN_000048c8,0x000048c8,424,0,0,13
FUN_00004a70,0x00004a70,604,0,0,13
FUN_00004ccc,0x00004ccc,340,0,0,13
FUN_00004e20,0x00004e20,228,0,0,13
FUN_00004fcc,0x00004fcc,372,0,0,13
FUN_000057cc,0x000057cc,480,0,0,13
FUN_00005b2c,0x00005b2c,368,0,0,13
FUN_00005c9c,0x00005c9c,312,0,0,13
FUN_000062e4,0x000062e4,224,0,0,13
FUN_00007034,0x00007034,412,0,0,13
FUN_0000764c,0x0000764c,240,0,0,13
FUN_00007818,0x00007818,668,0,0,13
FUN_00007f90,0x00007f90,520,0,0,13
FUN_00008198,0x00008198,1040,0,0,13
FUN_00008824,0x00008824,744,0,0,13
FUN_00008ed4,0x00008ed4,588,0,0,13
FUN_00009288,0x00009288,220,0,0,13
FUN_000095d8,0x000095d8,544,0,0,13
FUN_000097f8,0x000097f8,816,0,0,13
FUN_00009dfc,0x00009dfc,632,0,0,13
FUN_0000a4c8,0x0000a4c8,444,0,0,13
FUN_00003a64,0x00003a64,140,0,0,8
FUN_00003af0,0x00003af0,148,0,0,8
FUN_0000485c,0x0000485c,108,0,0,8
FUN_0000528c,0x0000528c,192,0,0,8
FUN_0000534c,0x0000534c,144,0,0,8
FUN_000059f4,0x000059f4,176,0,0,8
FUN_00006224,0x00006224,192,0,0,8
FUN_00006ec4,0x00006ec4,176,0,0,8
FUN_00006fbc,0x00006fbc,120,0,0,8
FUN_00007258,0x00007258,92,0,0,8
FUN_00008cbc,0x00008cbc,144,0,0,8
FUN_000002f4,0x000002f4,900,0,0,5
FUN_000006dc,0x000006dc,476,0,0,5
FUN_00001288,0x00001288,560,0,0,5
FUN_000014b8,0x000014b8,408,0,0,5
FUN_00001ad4,0x00001ad4,460,0,0,5
FUN_00002360,0x00002360,652,0,0,5
FUN_000025ec,0x000025ec,312,0,0,5
FUN_00003be8,0x00003be8,240,0,0,5
FUN_00003da8,0x00003da8,408,0,0,5
FUN_00004168,0x00004168,400,0,0,5
FUN_0000451c,0x0000451c,600,0,0,5
FUN_000056dc,0x000056dc,240,0,0,5
FUN_00005e70,0x00005e70,616,0,0,5
FUN_000063c4,0x000063c4,360,0,0,5
FUN_0000652c,0x0000652c,396,0,0,5
FUN_000072b4,0x000072b4,424,0,0,5
FUN_0000745c,0x0000745c,496,0,0,5
FUN_0000773c,0x0000773c,220,0,0,5
FUN_00007ab4,0x00007ab4,260,0,0,5
FUN_00007bb8,0x00007bb8,984,0,0,5
FUN_000085a8,0x000085a8,212,0,0,5
FUN_0000867c,0x0000867c,324,0,0,5
FUN_00008b0c,0x00008b0c,312,0,0,5
FUN_00008df0,0x00008df0,228,0,0,5
FUN_000093fc,0x000093fc,476,0,0,5
FUN_0000a074,0x0000a074,272,0,0,5
FUN_0000a300,0x0000a300,456,0,0,5
FUN_0000029c,0x0000029c,40,0,0,0
FUN_00000678,0x00000678,100,0,0,0
FUN_00000900,0x00000900,96,0,0,0
FUN_00000a30,0x00000a30,52,0,0,0
FUN_00000a64,0x00000a64,156,0,0,0
FUN_000011fc,0x000011fc,140,0,0,0
FUN_00003b84,0x00003b84,100,0,0,0
FUN_00003f40,0x00003f40,32,0,0,0
FUN_00004f04,0x00004f04,36,0,0,0
FUN_00004f28,0x00004f28,36,0,0,0
FUN_00004f54,0x00004f54,120,0,0,0
FUN_00005140,0x00005140,76,0,0,0
FUN_0000518c,0x0000518c,40,0,0,0
FUN_000051f0,0x000051f0,108,0,0,0
FUN_00005264,0x00005264,40,0,0,0
FUN_000053dc,0x000053dc,156,0,0,0
FUN_00005aa4,0x00005aa4,36,0,0,0
FUN_00005ac8,0x00005ac8,36,0,0,0
FUN_00005b04,0x00005b04,40,0,0,0
FUN_00005de4,0x00005de4,140,0,0,0
FUN_000060d8,0x000060d8,76,0,0,0
FUN_00006124,0x00006124,40,0,0,0
FUN_00006188,0x00006188,108,0,0,0
FUN_000061fc,0x000061fc,40,0,0,0
FUN_00006cac,0x00006cac,112,0,0,0
FUN_00006d1c,0x00006d1c,136,0,0,0
FUN_00006f74,0x00006f74,36,0,0,0
FUN_00006f98,0x00006f98,36,0,0,0
