name,ea,size,in,out,score
FUN_00001604,0x00001604,328,0,0,13
FUN_00001998,0x00001998,624,0,0,13
FUN_00001f9c,0x00001f9c,340,0,0,13
FUN_00002258,0x00002258,760,0,0,13
FUN_0000276c,0x0000276c,400,0,0,13
FUN_00002b10,0x00002b10,1004,0,0,13
FUN_000030b0,0x000030b0,1264,0,0,13
FUN_00003cd0,0x00003cd0,248,0,0,13
FUN_00003e94,0x00003e94,300,0,0,13
FUN_000041c8,0x000041c8,236,0,0,13
FUN_000049c0,0x000049c0,272,0,0,13
FUN_00004af4,0x00004af4,208,0,0,13
FUN_00004d74,0x00004d74,464,0,0,13
FUN_000058b8,0x000058b8,336,0,0,13
FUN_00005b24,0x00005b24,216,0,0,13
FUN_00005c9c,0x00005c9c,1764,0,0,13
FUN_00006570,0x00006570,460,0,0,13
FUN_0000673c,0x0000673c,392,0,0,13
FUN_000068c4,0x000068c4,320,0,0,13
FUN_00006a04,0x00006a04,1060,0,0,13
FUN_000073bc,0x000073bc,444,0,0,13
FUN_000075cc,0x000075cc,352,0,0,13
FUN_0000772c,0x0000772c,536,0,0,13
FUN_00008694,0x00008694,548,0,0,13
FUN_00008c64,0x00008c64,228,0,0,13
FUN_00008d48,0x00008d48,788,0,0,13
FUN_0000921c,0x0000921c,264,0,0,13
FUN_00009510,0x00009510,1908,0,0,13
FUN_00009c84,0x00009c84,448,0,0,13
FUN_00009e44,0x00009e44,440,0,0,13
FUN_0000a2b8,0x0000a2b8,924,0,0,13
FUN_0000a8e0,0x0000a8e0,564,0,0,13
FUN_00001864,0x00001864,184,0,0,8
FUN_0000191c,0x0000191c,124,0,0,8
FUN_00001dec,0x00001dec,48,0,0,8
FUN_00001f58,0x00001f58,68,0,0,8
FUN_00003ab8,0x00003ab8,84,0,0,8
FUN_00003df4,0x00003df4,160,0,0,8
FUN_00004080,0x00004080,132,0,0,8
FUN_00004bc4,0x00004bc4,100,0,0,8
FUN_00004ca4,0x00004ca4,104,0,0,8
FUN_0000520c,0x0000520c,120,0,0,8
FUN_000052b8,0x000052b8,192,0,0,8
FUN_00005ad0,0x00005ad0,84,0,0,8
FUN_00005bfc,0x00005bfc,116,0,0,8
FUN_000063dc,0x000063dc,88,0,0,8
FUN_00006434,0x00006434,84,0,0,8
FUN_00007b9c,0x00007b9c,200,0,0,8
FUN_000082ec,0x000082ec,192,0,0,8
FUN_000083ac,0x000083ac,120,0,0,8
FUN_0000174c,0x0000174c,280,0,0,5
FUN_00001c38,0x00001c38,428,0,0,5
FUN_000020fc,0x000020fc,288,0,0,5
FUN_00002550,0x00002550,256,0,0,5
FUN_00002fcc,0x00002fcc,228,0,0,5
FUN_00003688,0x00003688,244,0,0,5
FUN_0000377c,0x0000377c,616,0,0,5
FUN_000042b4,0x000042b4,220,0,0,5
FUN_000055e8,0x000055e8,600,0,0,5
FUN_00006f74,0x00006f74,760,0,0,5
FUN_00007c64,0x00007c64,1484,0,0,5
FUN_00008464,0x00008464,324,0,0,5
FUN_000085a8,0x000085a8,204,0,0,5
FUN_000088b8,0x000088b8,740,0,0,5
FUN_00009088,0x00009088,244,0,0,5
FUN_00009324,0x00009324,264,0,0,5
FUN_0000a768,0x0000a768,312,0,0,5
FUN_00001484,0x00001484,76,0,0,0
FUN_000014d0,0x000014d0,108,0,0,0
FUN_0000153c,0x0000153c,104,0,0,0
FUN_000015ac,0x000015ac,88,0,0,0
FUN_00001c08,0x00001c08,40,0,0,0
FUN_00001e1c,0x00001e1c,116,0,0,0
FUN_00002650,0x00002650,100,0,0,0
FUN_000026b4,0x000026b4,128,0,0,0
FUN_00002734,0x00002734,56,0,0,0
FUN_000029f8,0x000029f8,144,0,0,0
FUN_00002a88,0x00002a88,136,0,0,0
FUN_000035a0,0x000035a0,100,0,0,0
FUN_00003604,0x00003604,84,0,0,0
FUN_00003658,0x00003658,48,0,0,0
FUN_00003a08,0x00003a08,68,0,0,0
FUN_00003a4c,0x00003a4c,108,0,0,0
FUN_00003b0c,0x00003b0c,116,0,0,0
FUN_00003b90,0x00003b90,184,0,0,0
FUN_00003c80,0x00003c80,80,0,0,0
FUN_00003fc0,0x00003fc0,128,0,0,0
FUN_0000414c,0x0000414c,124,0,0,0
FUN_00004390,0x00004390,164,0,0,0
FUN_00004434,0x00004434,152,0,0,0
FUN_000044cc,0x000044cc,112,0,0,0
FUN_0000477c,0x0000477c,88,0,0,0
FUN_00004d0c,0x00004d0c,104,0,0,0
FUN_00005464,0x00005464,56,0,0,0
FUN_0000549c,0x0000549c,56,0,0,0
FUN_000054d4,0x000054d4,64,0,0,0
FUN_00005534,0x00005534,56,0,0,0
FUN_0000556c,0x0000556c,68,0,0,0
FUN_000055b0,0x000055b0,56,0,0,0
FUN_00005840,0x00005840,120,0,0,0
