name,ea,size,in,out,proposed,confidence,reason
FUN_000406ac,0x000406ac,268,1,0,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_00040a98,0x00040a98,1628,1,0,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_00004a10,0x00004a10,120,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00005c20,0x00005c20,104,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00007024,0x00007024,96,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00008158,0x00008158,200,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000083ac,0x000083ac,192,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000846c,0x0000846c,192,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000852c,0x0000852c,228,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00009d20,0x00009d20,588,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000c2e8,0x0000c2e8,388,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000c7ac,0x0000c7ac,272,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000d090,0x0000d090,356,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000d1f4,0x0000d1f4,216,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000d398,0x0000d398,384,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000d5cc,0x0000d5cc,128,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000d9a0,0x0000d9a0,156,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000df30,0x0000df30,2524,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000e9cc,0x0000e9cc,124,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000ebe8,0x0000ebe8,1628,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000f464,0x0000f464,1152,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000fdd8,0x0000fdd8,612,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001003c,0x0001003c,764,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00010ef4,0x00010ef4,464,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
