name,ea,size,in,out,proposed,confidence,reason
FUN_0000552c,0x0000552c,1320,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00008850,0x00008850,560,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00008a80,0x00008a80,572,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00008cbc,0x00008cbc,640,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000097f0,0x000097f0,324,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000adf8,0x0000adf8,148,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000ae8c,0x0000ae8c,148,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000af38,0x0000af38,124,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000b7dc,0x0000b7dc,316,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000b918,0x0000b918,308,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000ba4c,0x0000ba4c,332,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000becc,0x0000becc,100,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000d0f8,0x0000d0f8,300,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000d91c,0x0000d91c,120,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000dd58,0x0000dd58,92,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000dfb8,0x0000dfb8,1220,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000eda8,0x0000eda8,76,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000edf8,0x0000edf8,404,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000f328,0x0000f328,248,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000fab8,0x0000fab8,144,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000fb48,0x0000fb48,60,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000fc28,0x0000fc28,164,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000105cc,0x000105cc,640,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001084c,0x0001084c,712,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00012e88,0x00012e88,640,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00015210,0x00015210,400,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000153a0,0x000153a0,580,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00015c64,0x00015c64,144,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00015db0,0x00015db0,620,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00016a1c,0x00016a1c,1456,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000170a8,0x000170a8,72,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000170f0,0x000170f0,40,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000177fc,0x000177fc,584,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00018afc,0x00018afc,104,0,0,ReturnZero,0.9,decomp returns constant 0; many callers=0
