name,ea,size,in,out,proposed,confidence,reason
FUN_00008528,0x00008528,1884,0,18,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000af3c,0x0000af3c,3080,0,13,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000171fc,0x000171fc,712,0,9,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00016f7c,0x00016f7c,648,0,8,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00008ebc,0x00008ebc,256,0,7,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000139a0,0x000139a0,1220,0,7,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000a4f0,0x0000a4f0,252,0,6,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001b364,0x0001b364,256,1,5,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_00001724,0x00001724,560,0,5,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00003454,0x00003454,504,0,5,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000db18,0x0000db18,940,0,5,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000026f4,0x000026f4,324,0,4,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00009dec,0x00009dec,88,0,4,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000caf8,0x0000caf8,88,0,4,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00014380,0x00014380,404,0,4,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001c89c,0x0001c89c,48,3,3,ReturnZero,0.9,decomp returns constant 0; many callers=3
FUN_000239b0,0x000239b0,236,3,3,ReturnZero,0.9,decomp returns constant 0; many callers=3
FUN_0001c83c,0x0001c83c,32,2,3,ReturnZero,0.9,decomp returns constant 0; many callers=2
FUN_0001d9f4,0x0001d9f4,220,1,3,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_00000edc,0x00000edc,232,0,3,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00003a64,0x00003a64,280,0,3,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00003cf0,0x00003cf0,4716,0,3,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001245c,0x0001245c,640,0,3,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00015e80,0x00015e80,548,0,3,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001616c,0x0001616c,144,0,3,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000165f4,0x000165f4,332,0,3,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0001c5d8,0x0001c5d8,432,0,3,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000200b4,0x000200b4,828,0,3,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_000187c4,0x000187c4,180,1,2,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001e7b4,0x0001e7b4,592,1,2,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_0001ec90,0x0001ec90,48,1,2,ReturnZero,0.9,decomp returns constant 0; many callers=1
FUN_00001954,0x00001954,572,0,2,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000364c,0x0000364c,88,0,2,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00004f98,0x00004f98,100,0,2,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_0000a070,0x0000a070,204,0,2,ReturnZero,0.9,decomp returns constant 0; many callers=0
FUN_00014880,0x00014880,92,0,2,ReturnZero,0.9,decomp returns constant 0; many callers=0
