bin,addr,name,pretty,distance,score,mask4,case2,nl_var_uses,nl_shift_and,str_hits,arrows,size
MAIN.EXE,0x235d4,FUN_000235d4,suspect_crate_crate_02,0,2,0,0,0,0,0,0,840
MAIN.EXE,0x9708,FUN_00009708,suspect_action_move_04_lvl0,1,2,0,0,0,0,0,0,608
MAIN.EXE,0xa34c,FUN_0000a34c,FUN_0000a34c,1,2,0,0,0,0,0,0,280
MAIN.EXE,0x3738,FUN_00003738,FUN_00003738,1,2,0,0,0,0,0,0,88
MAIN.EXE,0x9dec,FUN_00009dec,FUN_00009dec,1,2,0,0,0,0,0,0,88
MAIN.EXE,0x18a0c,FUN_00018a0c,FUN_00018a0c,1,2,0,0,0,0,0,0,564
MAIN.EXE,0x18fbc,FUN_00018fbc,FUN_00018fbc,1,2,0,0,0,0,0,0,132
MAIN.EXE,0x3824,FUN_00003824,FUN_00003824,1,2,0,0,0,0,0,0,96
MAIN.EXE,0x26c0,FUN_000026c0,FUN_000026c0,1,2,0,0,0,0,0,0,52
MAIN.EXE,0x171fc,FUN_000171fc,FUN_000171fc,1,2,0,0,0,0,0,0,712
MAIN.EXE,0x18dac,FUN_00018dac,FUN_00018dac,1,2,0,0,0,0,0,0,404
MAIN.EXE,0x90e0,FUN_000090e0,main_update,1,2,0,0,0,0,0,0,1104
MAIN.EXE,0x364c,FUN_0000364c,FUN_0000364c,1,2,0,0,0,0,0,0,88
MAIN.EXE,0x1a804,FUN_0001a804,suspect_crate_crate_03,1,2,0,0,0,0,0,0,616
MAIN.EXE,0x23588,FUN_00023588,action_order2,2,2,0,0,0,0,0,0,76
MAIN.EXE,0x21c64,FUN_00021c64,suspect_action_move_03_lvl1,2,2,0,0,0,0,0,0,108
MAIN.EXE,0x1724,FUN_00001724,FUN_00001724,2,2,0,0,0,0,0,0,560
MAIN.EXE,0x3454,FUN_00003454,FUN_00003454,2,2,0,0,0,0,0,0,504
MAIN.EXE,0x11d0,FUN_000011d0,FUN_000011d0,2,2,0,0,0,0,0,0,624
MAIN.EXE,0x1fab8,FUN_0001fab8,render_tick,2,2,0,0,0,0,0,0,764
MAIN.EXE,0x22144,FUN_00022144,FUN_00022144,2,2,0,0,0,0,0,0,240
MAIN.EXE,0x1f610,FUN_0001f610,FUN_0001f610,2,2,0,0,0,0,0,0,144
MAIN.EXE,0x21ef4,FUN_00021ef4,FUN_00021ef4,2,2,0,0,0,0,0,0,112
MAIN.EXE,0x32278,FUN_00032278,FUN_00032278,2,2,0,0,0,0,0,0,200
MAIN.EXE,0x2233c,FUN_0002233c,FUN_0002233c,2,2,0,0,0,0,0,0,252
MAIN.EXE,0x211ac,FUN_000211ac,FUN_000211ac,2,2,0,0,0,0,0,0,92
MAIN.EXE,0x1a348,FUN_0001a348,FUN_0001a348,2,2,0,0,0,0,0,0,104
MAIN.EXE,0x2245c,FUN_0002245c,FUN_0002245c,2,2,0,0,0,0,0,0,104
MAIN.EXE,0x1a734,FUN_0001a734,FUN_0001a734,2,2,0,0,0,0,0,0,96
MAIN.EXE,0x83ac,FUN_000083ac,FUN_000083ac,2,2,0,0,0,0,0,0,332
MAIN.EXE,0x1d9f4,FUN_0001d9f4,FUN_0001d9f4,2,2,0,0,0,0,0,0,220
MAIN.EXE,0x2391c,FUN_0002391c,FUN_0002391c,2,2,0,0,0,0,0,0,52
MAIN.EXE,0x8ce4,FUN_00008ce4,FUN_00008ce4,2,2,0,0,0,0,0,0,368
MAIN.EXE,0x1fdb4,FUN_0001fdb4,FUN_0001fdb4,2,2,0,0,0,0,0,0,204
MAIN.EXE,0xc9f0,FUN_0000c9f0,FUN_0000c9f0,2,2,0,0,0,0,0,0,64
MAIN.EXE,0xca30,FUN_0000ca30,FUN_0000ca30,2,2,0,0,0,0,0,0,60
MAIN.EXE,0x239b0,FUN_000239b0,FUN_000239b0,2,2,0,0,0,0,0,0,236
MAIN.EXE,0x204e4,FUN_000204e4,suspect_crate_crate_05,2,2,0,0,0,0,0,0,336
MAIN.EXE,0xb38,FUN_00000b38,FUN_00000b38,3,2,0,0,0,0,0,0,384
MAIN.EXE,0x1616c,FUN_0001616c,FUN_0001616c,3,2,0,0,0,0,0,0,144
MAIN.EXE,0x1f344,FUN_0001f344,FUN_0001f344,3,2,0,0,0,0,0,0,156
MAIN.EXE,0xa6f4,FUN_0000a6f4,FUN_0000a6f4,3,2,0,0,0,0,0,0,224
MAIN.EXE,0xae1c,FUN_0000ae1c,FUN_0000ae1c,3,2,0,0,0,0,0,0,288
MAIN.EXE,0x18338,FUN_00018338,FUN_00018338,3,2,0,0,0,0,0,0,72
MAIN.EXE,0x3b7c,FUN_00003b7c,FUN_00003b7c,3,2,0,0,0,0,0,0,372
MAIN.EXE,0x8158,FUN_00008158,suspect_crate_crate_06,3,2,0,0,0,0,0,0,332
MAIN.EXE,0x189d0,FUN_000189d0,FUN_000189d0,3,2,0,0,0,0,0,0,60
MAIN.EXE,0x182d4,FUN_000182d4,FUN_000182d4,3,2,0,0,0,0,0,0,100
MAIN.EXE,0x66b0,FUN_000066b0,FUN_000066b0,3,2,0,0,0,0,0,0,384
MAIN.EXE,0xcc00,FUN_0000cc00,FUN_0000cc00,3,2,0,0,0,0,0,0,60
MAIN.EXE,0x9d8,FUN_000009d8,FUN_000009d8,3,2,0,0,0,0,0,0,252
MAIN.EXE,0x8ebc,FUN_00008ebc,FUN_00008ebc,3,2,0,0,0,0,0,0,256
MAIN.EXE,0xa7d4,FUN_0000a7d4,FUN_0000a7d4,3,2,0,0,0,0,0,0,200
MAIN.EXE,0xad4,FUN_00000ad4,FUN_00000ad4,3,2,0,0,0,0,0,0,100
MAIN.EXE,0xc490,FUN_0000c490,FUN_0000c490,3,2,0,0,0,0,0,0,704
MAIN.EXE,0x158ec,FUN_000158ec,FUN_000158ec,3,2,0,0,0,0,0,0,124
MAIN.EXE,0x2252c,FUN_0002252c,FUN_0002252c,3,2,0,0,0,0,0,0,76
MAIN.EXE,0xa234,FUN_0000a234,FUN_0000a234,3,2,0,0,0,0,0,0,280
MAIN.EXE,0x9b18,FUN_00009b18,FUN_00009b18,3,2,0,0,0,0,0,0,152
MAIN.EXE,0x230a8,FUN_000230a8,FUN_000230a8,3,2,0,0,0,0,0,0,324
MAIN.EXE,0x80e8,FUN_000080e8,FUN_000080e8,3,2,0,0,0,0,0,0,112
MAIN.EXE,0x17b68,FUN_00017b68,FUN_00017b68,3,2,0,0,0,0,0,0,480
MAIN.EXE,0x6050,FUN_00006050,FUN_00006050,3,2,0,0,0,0,0,0,464
MAIN.EXE,0x292c,FUN_0000292c,FUN_0000292c,3,2,0,0,0,0,0,0,272
MAIN.EXE,0x3a64,FUN_00003a64,action_accel,3,2,0,0,0,0,0,0,280
MAIN.EXE,0xd208,FUN_0000d208,FUN_0000d208,3,2,0,0,0,0,0,0,368
MAIN.EXE,0x180bc,FUN_000180bc,FUN_000180bc,3,2,0,0,0,0,0,0,536
MAIN.EXE,0x1ef54,FUN_0001ef54,FUN_0001ef54,3,2,0,0,0,0,0,0,124
MAIN.EXE,0xcc3c,FUN_0000cc3c,FUN_0000cc3c,3,2,0,0,0,0,0,0,200
MAIN.EXE,0x7fcc,FUN_00007fcc,FUN_00007fcc,3,2,0,0,0,0,0,0,212
MAIN.EXE,0x1ee5c,FUN_0001ee5c,FUN_0001ee5c,3,2,0,0,0,0,0,0,108
MAIN.EXE,0x9f08,FUN_00009f08,FUN_00009f08,3,2,0,0,0,0,0,0,360
MAIN.EXE,0xbd88,FUN_0000bd88,FUN_0000bd88,3,2,0,0,0,0,0,0,76
MAIN.EXE,0x234b8,FUN_000234b8,FUN_000234b8,3,2,0,0,0,0,0,0,124
MAIN.EXE,0x8ff0,FUN_00008ff0,FUN_00008ff0,3,2,0,0,0,0,0,0,240
MAIN.EXE,0xa8c0,FUN_0000a8c0,FUN_0000a8c0,3,2,0,0,0,0,0,0,132
MAIN.EXE,0xad2c,FUN_0000ad2c,FUN_0000ad2c,3,2,0,0,0,0,0,0,76
MAIN.EXE,0x1eec8,FUN_0001eec8,FUN_0001eec8,3,2,0,0,0,0,0,0,140
MAIN.EXE,0x23438,FUN_00023438,FUN_00023438,3,2,0,0,0,0,0,0,112
MAIN.EXE,0xa5ec,FUN_0000a5ec,FUN_0000a5ec,3,2,0,0,0,0,0,0,60
MAIN.EXE,0xcb7c,FUN_0000cb7c,FUN_0000cb7c,3,2,0,0,0,0,0,0,132
MAIN.EXE,0xad78,FUN_0000ad78,FUN_0000ad78,3,2,0,0,0,0,0,0,164
MAIN.EXE,0x8e54,FUN_00008e54,FUN_00008e54,3,2,0,0,0,0,0,0,96
MAIN.EXE,0x8c84,FUN_00008c84,FUN_00008c84,3,2,0,0,0,0,0,0,96
MAIN.EXE,0xa174,FUN_0000a174,FUN_0000a174,3,2,0,0,0,0,0,0,56
MAIN.EXE,0x186c0,FUN_000186c0,FUN_000186c0,3,2,0,0,0,0,0,0,104
MAIN.EXE,0xca6c,FUN_0000ca6c,FUN_0000ca6c,3,2,0,0,0,0,0,0,140
MAIN.EXE,0x19134,FUN_00019134,suspect_crate_crate_01,3,2,0,0,0,0,0,0,132
MAIN.EXE,0xcaf8,FUN_0000caf8,FUN_0000caf8,3,2,0,0,0,0,0,0,88
MAIN.EXE,0xd058,FUN_0000d058,FUN_0000d058,3,2,0,0,0,0,0,0,252
MAIN.EXE,0x9d8c,FUN_00009d8c,FUN_00009d8c,3,2,0,0,0,0,0,0,96
MAIN.EXE,0x1aaec,FUN_0001aaec,FUN_0001aaec,3,2,0,0,0,0,0,0,144
MAIN.EXE,0x19324,FUN_00019324,FUN_00019324,3,2,0,0,0,0,0,0,88
MAIN.EXE,0x165f4,FUN_000165f4,FUN_000165f4,3,2,0,0,0,0,0,0,332
MAIN.EXE,0x5d68,FUN_00005d68,FUN_00005d68,3,2,0,0,0,0,0,0,152
MAIN.EXE,0x2ca0,FUN_00002ca0,FUN_00002ca0,3,2,0,0,0,0,0,0,184
MAIN.EXE,0x2bb0,FUN_00002bb0,FUN_00002bb0,3,2,0,0,0,0,0,0,144
MAIN.EXE,0x2c40,FUN_00002c40,FUN_00002c40,3,2,0,0,0,0,0,0,96
MAIN.EXE,0x18d58,FUN_00018d58,FUN_00018d58,3,2,0,0,0,0,0,0,56
MAIN.EXE,0x18c84,FUN_00018c84,FUN_00018c84,3,2,0,0,0,0,0,0,116
MAIN.EXE,0x19218,FUN_00019218,FUN_00019218,3,2,0,0,0,0,0,0,128
MAIN.EXE,0x9cd4,FUN_00009cd4,suspect_crate_crate_10,3,2,0,0,0,0,0,0,184
MAIN.EXE,0x1a4d0,FUN_0001a4d0,FUN_0001a4d0,3,2,0,0,0,0,0,0,88
MAIN.EXE,0x18cf8,FUN_00018cf8,FUN_00018cf8,3,2,0,0,0,0,0,0,96
MAIN.EXE,0x9e80,FUN_00009e80,FUN_00009e80,3,2,0,0,0,0,0,0,120
MAIN.EXE,0x196d0,FUN_000196d0,FUN_000196d0,3,2,0,0,0,0,0,0,84
MAIN.EXE,0xa4f0,FUN_0000a4f0,FUN_0000a4f0,3,2,0,0,0,0,0,0,252
MAIN.EXE,0x2230c,FUN_0002230c,FUN_0002230c,3,2,0,0,0,0,0,0,48
MAIN.EXE,0xa944,FUN_0000a944,FUN_0000a944,3,2,0,0,0,0,0,0,456
MAIN.EXE,0xa070,FUN_0000a070,FUN_0000a070,3,2,0,0,0,0,0,0,204
MAIN.EXE,0x22234,FUN_00022234,FUN_00022234,3,2,0,0,0,0,0,0,216
MAIN.EXE,0x99ac,FUN_000099ac,suspect_input_init_or_poll,3,2,0,0,0,0,0,0,244
MAIN.EXE,0x231ec,FUN_000231ec,FUN_000231ec,3,2,0,0,0,0,0,0,164
MAIN.EXE,0xbbdc,FUN_0000bbdc,FUN_0000bbdc,3,2,0,0,0,0,0,0,52
MAIN.EXE,0x22438,FUN_00022438,FUN_00022438,3,2,0,0,0,0,0,0,60
MAIN.EXE,0x1deb4,FUN_0001deb4,FUN_0001deb4,3,2,0,0,0,0,0,0,332
MAIN.EXE,0x22578,FUN_00022578,FUN_00022578,3,2,0,0,0,0,0,0,164
MAIN.EXE,0x2269c,FUN_0002269c,FUN_0002269c,3,2,0,0,0,0,0,0,80
MAIN.EXE,0x23f50,FUN_00023f50,FUN_00023f50,3,2,0,0,0,0,0,0,336
MAIN.EXE,0x21ff4,FUN_00021ff4,FUN_00021ff4,3,2,0,0,0,0,0,0,296
MAIN.EXE,0x23d74,FUN_00023d74,FUN_00023d74,3,2,0,0,0,0,0,0,476
MAIN.EXE,0x240a0,FUN_000240a0,FUN_000240a0,3,2,0,0,0,0,0,0,260
MAIN.EXE,0xc1b0,FUN_0000c1b0,FUN_0000c1b0,3,2,0,0,0,0,0,0,308
MAIN.EXE,0x1db9c,FUN_0001db9c,FUN_0001db9c,3,2,0,0,0,0,0,0,200
MAIN.EXE,0x23bd8,FUN_00023bd8,FUN_00023bd8,3,2,0,0,0,0,0,0,84
MAIN.EXE,0x23af4,FUN_00023af4,FUN_00023af4,3,2,0,0,0,0,0,0,68
MAIN.EXE,0x84f8,FUN_000084f8,FUN_000084f8,3,2,0,0,0,0,0,0,48
MAIN.EXE,0x233dc,FUN_000233dc,FUN_000233dc,3,2,0,0,0,0,0,0,52
MAIN.EXE,0x2105c,FUN_0002105c,FUN_0002105c,3,2,0,0,0,0,0,0,328
MAIN.EXE,0x1a558,FUN_0001a558,FUN_0001a558,3,2,0,0,0,0,0,0,188
MAIN.EXE,0x21dec,FUN_00021dec,FUN_00021dec,3,2,0,0,0,0,0,0,52
MAIN.EXE,0x1dae8,FUN_0001dae8,FUN_0001dae8,3,2,0,0,0,0,0,0,60
MAIN.EXE,0x80a0,FUN_000080a0,FUN_000080a0,3,2,0,0,0,0,0,0,72
MAIN.EXE,0x1f734,FUN_0001f734,FUN_0001f734,3,2,0,0,0,0,0,0,152
MAIN.EXE,0xbba0,FUN_0000bba0,FUN_0000bba0,3,2,0,0,0,0,0,0,60
MAIN.EXE,0x20484,FUN_00020484,FUN_00020484,3,2,0,0,0,0,0,0,64
MAIN.EXE,0x20654,FUN_00020654,FUN_00020654,3,2,0,0,0,0,0,0,56
MAIN.EXE,0xc750,FUN_0000c750,FUN_0000c750,3,2,0,0,0,0,0,0,336
MAIN.EXE,0xc144,FUN_0000c144,FUN_0000c144,3,2,0,0,0,0,0,0,108
MAIN.EXE,0xc8a0,FUN_0000c8a0,FUN_0000c8a0,3,2,0,0,0,0,0,0,336
MAIN.EXE,0x21334,FUN_00021334,FUN_00021334,3,2,0,0,0,0,0,0,292
MAIN.EXE,0x20f08,FUN_00020f08,FUN_00020f08,3,2,0,0,0,0,0,0,56
MAIN.EXE,0x2e74,FUN_00002e74,FUN_00002e74,4,2,0,0,0,0,0,0,192
MAIN.EXE,0x212a0,FUN_000212a0,FUN_000212a0,4,2,0,0,0,0,0,0,120
MAIN.EXE,0x207f0,FUN_000207f0,FUN_000207f0,4,2,0,0,0,0,0,0,48
MAIN.EXE,0x207bc,FUN_000207bc,FUN_000207bc,4,2,0,0,0,0,0,0,52
MAIN.EXE,0x21b4c,FUN_00021b4c,FUN_00021b4c,4,2,0,0,0,0,0,0,56
MAIN.EXE,0x1ed70,FUN_0001ed70,FUN_0001ed70,4,2,0,0,0,0,0,0,176
MAIN.EXE,0x1ea04,FUN_0001ea04,FUN_0001ea04,4,2,0,0,0,0,0,0,272
MAIN.EXE,0x1ed30,FUN_0001ed30,FUN_0001ed30,4,2,0,0,0,0,0,0,64
MAIN.EXE,0x1e674,FUN_0001e674,FUN_0001e674,4,2,0,0,0,0,0,0,220
MAIN.EXE,0xace0,FUN_0000ace0,FUN_0000ace0,4,2,0,0,0,0,0,0,76
MAIN.EXE,0x23c90,FUN_00023c90,FUN_00023c90,4,2,0,0,0,0,0,0,228
MAIN.EXE,0x2ecc4,FUN_0002ecc4,FUN_0002ecc4,4,2,0,0,0,0,0,0,352
MAIN.EXE,0x1b364,FUN_0001b364,FUN_0001b364,4,2,0,0,0,0,0,0,256
MAIN.EXE,0x6220,FUN_00006220,FUN_00006220,4,2,0,0,0,0,0,0,328
MAIN.EXE,0x2f34,FUN_00002f34,FUN_00002f34,4,2,0,0,0,0,0,0,1272
MAIN.EXE,0xbd44,FUN_0000bd44,FUN_0000bd44,4,2,0,0,0,0,0,0,68
MAIN.EXE,0x5f78,FUN_00005f78,FUN_00005f78,4,2,0,0,0,0,0,0,216
MAIN.EXE,0xbdd4,FUN_0000bdd4,FUN_0000bdd4,4,2,0,0,0,0,0,0,692
MAIN.EXE,0x2d62c,FUN_0002d62c,FUN_0002d62c,4,2,0,0,0,0,0,0,48
MAIN.EXE,0x21644,FUN_00021644,FUN_00021644,4,2,0,0,0,0,0,0,60
MAIN.EXE,0x1abfc,FUN_0001abfc,FUN_0001abfc,4,2,0,0,0,0,0,0,288
MAIN.EXE,0x1a1c4,FUN_0001a1c4,FUN_0001a1c4,4,2,0,0,0,0,0,0,132
MAIN.EXE,0x1de58,FUN_0001de58,FUN_0001de58,4,2,0,0,0,0,0,0,92
MAIN.EXE,0x21e28,FUN_00021e28,FUN_00021e28,4,2,0,0,0,0,0,0,152
MAIN.EXE,0x1a2b0,FUN_0001a2b0,FUN_0001a2b0,4,2,0,0,0,0,0,0,112
MAIN.EXE,0x1a3b0,FUN_0001a3b0,FUN_0001a3b0,4,2,0,0,0,0,0,0,144
MAIN.EXE,0x1a674,FUN_0001a674,FUN_0001a674,4,2,0,0,0,0,0,0,192
MAIN.EXE,0x23544,FUN_00023544,suspect_input_bits_b,4,2,0,0,0,0,0,0,68
MAIN.EXE,0x21974,FUN_00021974,FUN_00021974,4,2,0,0,0,0,0,0,48
