field,pair_type,score,a_bin,a_name,a_ea,a_dist,a_arrows,a_mask4,a_toks,b_bin,b_name,b_ea,b_dist,b_arrows,b_mask4,b_toks
+0x14,assign_nonzero_vs_zero,2,MAIN.EXE,FUN_000090e0,0x90e0,1,0,0,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0
+0x14,assign_nonzero_vs_zero,2,MAIN.EXE,FUN_000090e0,0x90e0,1,0,0,0,MAIN.EXE,FUN_00021424,0x21424,1,0,0,0
+0x14,assign_nonzero_vs_zero,2,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_00021424,0x21424,1,0,0,0
+0x1c,assign_nonzero_vs_zero,2,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_00021424,0x21424,1,0,0,0
+0x20,assign_nonzero_vs_zero,2,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_00021424,0x21424,1,0,0,0
+0xba,assign_nonzero_vs_zero,2,MAIN.EXE,FUN_0002233c,0x2233c,2,0,0,0,MAIN.EXE,FUN_000235d4,0x235d4,0,0,0,0
+0x10,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_000083ac,0x83ac,2,0,0,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0
+0x10,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_00023390,0x23390,2,0,0,0
+0x14,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_000011d0,0x11d0,2,0,0,0,MAIN.EXE,FUN_000090e0,0x90e0,1,0,0,0
+0x14,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_000011d0,0x11d0,2,0,0,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0
+0x14,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_00003454,0x3454,2,0,0,0,MAIN.EXE,FUN_000090e0,0x90e0,1,0,0,0
+0x14,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_00003454,0x3454,2,0,0,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0
+0x14,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_000090e0,0x90e0,1,0,0,0,MAIN.EXE,FUN_0001dd68,0x1dd68,2,0,0,0
+0x14,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_0001dd68,0x1dd68,2,0,0,0
+0x18,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x1c,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_000011d0,0x11d0,2,0,0,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0
+0x1c,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_00003454,0x3454,2,0,0,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0
+0x1c,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x1c,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_0001a734,0x1a734,2,0,0,0
+0x1c,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0,MAIN.EXE,FUN_00021424,0x21424,1,0,0,0
+0x20,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_000011d0,0x11d0,2,0,0,0,MAIN.EXE,FUN_00021424,0x21424,1,0,0,0
+0x20,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_00003454,0x3454,2,0,0,0,MAIN.EXE,FUN_00021424,0x21424,1,0,0,0
+0x20,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x24,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_000011d0,0x11d0,2,0,0,0,MAIN.EXE,FUN_00021424,0x21424,1,0,0,0
+0x24,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_00003454,0x3454,2,0,0,0,MAIN.EXE,FUN_00021424,0x21424,1,0,0,0
+0x44,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_000090e0,0x90e0,1,0,0,0,MAIN.EXE,FUN_00021ef4,0x21ef4,2,0,0,0
+0x44,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_0001a804,0x1a804,1,0,0,0,MAIN.EXE,FUN_00021ef4,0x21ef4,2,0,0,0
+0x34,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x3c,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_000090e0,0x90e0,1,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x40,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_000090e0,0x90e0,1,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x38,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_000090e0,0x90e0,1,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0xba,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_00022234,0x22234,3,0,0,0,MAIN.EXE,FUN_000235d4,0x235d4,0,0,0,0
+0xba,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_0002230c,0x2230c,3,0,0,0,MAIN.EXE,FUN_000235d4,0x235d4,0,0,0,0
+0xba,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_000235d4,0x235d4,0,0,0,0,MAIN.EXE,FUN_00023d74,0x23d74,3,0,0,0
+0xba,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_000235d4,0x235d4,0,0,0,0,MAIN.EXE,FUN_00023f50,0x23f50,3,0,0,0
+0xba,assign_nonzero_vs_zero,1,MAIN.EXE,FUN_000235d4,0x235d4,0,0,0,0,MAIN.EXE,FUN_000240a0,0x240a0,3,0,0,0
+0x10,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000011d0,0x11d0,2,0,0,0,MAIN.EXE,FUN_000083ac,0x83ac,2,0,0,0
+0x10,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000011d0,0x11d0,2,0,0,0,MAIN.EXE,FUN_00023390,0x23390,2,0,0,0
+0x10,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00003454,0x3454,2,0,0,0,MAIN.EXE,FUN_000083ac,0x83ac,2,0,0,0
+0x10,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00003454,0x3454,2,0,0,0,MAIN.EXE,FUN_00023390,0x23390,2,0,0,0
+0x10,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000083ac,0x83ac,2,0,0,0,MAIN.EXE,FUN_00023390,0x23390,2,0,0,0
+0x10,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_000233dc,0x233dc,3,0,0,0
+0x10,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_00023410,0x23410,3,0,0,0
+0x14,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000090e0,0x90e0,1,0,0,0,MAIN.EXE,FUN_0000a070,0xa070,3,0,0,0
+0x14,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000090e0,0x90e0,1,0,0,0,MAIN.EXE,FUN_00018c40,0x18c40,3,0,0,0
+0x14,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000090e0,0x90e0,1,0,0,0,MAIN.EXE,FUN_0001a28c,0x1a28c,3,0,0,0
+0x14,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000090e0,0x90e0,1,0,0,0,MAIN.EXE,FUN_0001db9c,0x1db9c,3,0,0,0
+0x14,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000090e0,0x90e0,1,0,0,0,MAIN.EXE,FUN_0001dcb0,0x1dcb0,3,0,0,0
+0x14,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000090e0,0x90e0,1,0,0,0,MAIN.EXE,FUN_0001deb4,0x1deb4,3,0,0,0
+0x14,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_0000a070,0xa070,3,0,0,0
+0x14,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_00018c40,0x18c40,3,0,0,0
+0x14,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_0001a28c,0x1a28c,3,0,0,0
+0x14,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_0001db9c,0x1db9c,3,0,0,0
+0x14,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_0001deb4,0x1deb4,3,0,0,0
+0x14,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_0001dcb0,0x1dcb0,3,0,0,0,MAIN.EXE,FUN_00021424,0x21424,1,0,0,0
+0x18,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000011d0,0x11d0,2,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x18,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00003454,0x3454,2,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x18,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_0001dcb0,0x1dcb0,3,0,0,0
+0x1c,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000011d0,0x11d0,2,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x1c,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00003454,0x3454,2,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x1c,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00003cf0,0x3cf0,3,0,0,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0
+0x1c,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0,MAIN.EXE,FUN_0001a734,0x1a734,2,0,0,0
+0x20,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000011d0,0x11d0,2,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x20,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00003454,0x3454,2,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x20,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_0000cc00,0xcc00,3,0,0,0
+0x20,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00009708,0x9708,1,0,0,0,MAIN.EXE,FUN_0000d058,0xd058,3,0,0,0
+0x24,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000011d0,0x11d0,2,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x24,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00003454,0x3454,2,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x24,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00009f08,0x9f08,3,0,0,0,MAIN.EXE,FUN_00021424,0x21424,1,0,0,0
+0x24,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_0001a558,0x1a558,3,0,0,0,MAIN.EXE,FUN_00021424,0x21424,1,0,0,0
+0x1,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_0000a4f0,0xa4f0,3,0,0,0,MAIN.EXE,FUN_0001a804,0x1a804,1,0,0,0
+0x44,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0,MAIN.EXE,FUN_00021ef4,0x21ef4,2,0,0,0
+0x8c,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000083ac,0x83ac,2,0,0,0,MAIN.EXE,FUN_00008528,0x8528,2,0,0,0
+0x8c,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000083ac,0x83ac,2,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x8c,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000083ac,0x83ac,2,0,0,0,MAIN.EXE,FUN_0002273c,0x2273c,2,0,0,0
+0x8c,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00008528,0x8528,2,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x8c,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00008528,0x8528,2,0,0,0,MAIN.EXE,FUN_0002273c,0x2273c,2,0,0,0
+0x90,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000083ac,0x83ac,2,0,0,0,MAIN.EXE,FUN_00008528,0x8528,2,0,0,0
+0x90,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000083ac,0x83ac,2,0,0,0,MAIN.EXE,FUN_00008ce4,0x8ce4,2,0,0,0
+0x90,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000083ac,0x83ac,2,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x90,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_000083ac,0x83ac,2,0,0,0,MAIN.EXE,FUN_0002273c,0x2273c,2,0,0,0
+0x90,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00008528,0x8528,2,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x90,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_00008ce4,0x8ce4,2,0,0,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0
+0x90,assign_nonzero_vs_zero,0,MAIN.EXE,FUN_0001a348,0x1a348,2,0,0,0,MAIN.EXE,FUN_0002273c,0x2273c,2,0,0,0
