index,w_0x00,w_0x14,w_0x18,w_0x1C,w_0x20,w_0x24,w_0x28,w_0x2C,w_0x40,w_0x48,w_0x4C,w_0x50,w_0x54,w_0x58,w_0x5C,w_0x64,w_0x68,w_0x6C,d_0x00,d_0x18,d_0x1C,d_0x20,d_0x24,d_0x28,d_0x2C,d_0x40,d_0x48,d_0x4C,d_0x58,d_0x64
0,15,0,1,0,3,65506,128,2304,181,1,0,0,0,10,1,65535,0,10,15,1,0,3,4294967266,128,2304,181,1,0,10,65535
1,0,1,0,3,65506,128,2560,0,341,0,0,1,30,1,50,1,3,0,0,0,3,4294967266,128,2560,0,341,0,0,1,1
2,0,2048,20,15,896,0,0,0,98,0,1,52,1,240,65535,17,0,40,0,20,15,896,0,0,0,98,0,1,240,17
3,0,30,36,1280,0,0,0,0,0,0,80,1,500,65535,0,1,0,0,0,36,1280,0,0,0,0,0,0,80,65535,1
4,8,65506,512,7168,2048,495,4,170,0,30,1,200,65535,4,65535,0,4096,0,8,512,7168,2048,495,4,170,0,30,1,4,0
5,0,64,1920,0,0,0,219,220,0,1,10,65535,0,4,3,0,0,29,0,1920,0,0,0,219,220,0,1,10,4,0
6,0,9600,0,0,0,197,198,213,20,300,65535,4,18,1,3686,0,0,0,0,0,0,0,197,198,213,20,300,65535,1,0
7,0,0,0,0,227,228,31,100,0,65535,0,0,9,0,0,91,0,0,0,0,0,227,228,31,100,0,65535,0,0,91
8,30,880,4,178,179,682,105,0,300,4,1,4,0,0,0,0,0,15,30,4,178,179,682,105,0,300,4,1,0,0
9,65506,0,172,173,221,97,0,0,65535,65535,18,0,0,0,0,0,8,65506,4294967266,172,173,221,97,0,0,65535,4294967295,18,0,0
10,192,223,224,383,1,1,0,1,0,72,0,0,0,0,0,3,65506,0,192,224,383,1,1,0,1,0,72,0,0,3
11,3840,210,2184,0,0,1,2,80,65535,0,0,0,0,0,0,65506,0,1280,3840,2184,0,0,1,2,80,4294967295,0,0,0,4294967266
12,0,0,0,1,0,1,65416,0,1,0,8,77,0,0,15,640,9600,2240,0,0,1,0,1,4294967176,0,1,0,8,0,640
13,495,120,0,0,1,20,1,200,0,0,0,1,0,5,65506,1536,0,0,495,0,0,1,20,1,200,0,0,0,5,1536
14,0,0,0,1,38,1,200,65535,0,0,1,0,4,65506,128,0,0,0,0,0,1,38,1,200,65535,0,0,1,4294967266,0
15,182,0,1,20,1,50,65535,0,0,1,0,3,65506,128,2560,0,0,184,182,1,20,1,50,65535,0,0,1,0,128,0
16,185,1,30,1,50,65535,1,15,0,0,1,65506,192,1536,0,0,217,218,185,30,1,50,65535,1,15,0,0,1,1536,0
17,277,30,1,100,65535,0,11,71,1,16,65506,64,4160,0,0,231,232,106,277,1,100,65535,0,11,71,1,16,4294967266,0,231
18,97,0,50,65535,0,65535,2,0,0,65506,1152,4096,960,82,150,238,136,0,97,50,65535,0,4294967295,2,0,0,4294967266,1152,82,238
