function,ea,binary,score,integrator,direct_pos,axes,pos_hits,angle_hits,basis_dest_hits,basis_src_hits,speed_hits,trig_hits,suggested_name,reason
FUN_00044f80,0x044f80,GAME.BIN,248,1,0,Z,20,16,24,104,32,0,orient_recompute_basis_candidate,"basis-src heavy; BS=104, BD=24, Spd=32"
FUN_00032c18,0x032c18,GAME.BIN,208,0,0,-,4,8,0,0,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=208, Ang=8"
FUN_0001e750,0x01e750,MAIN.EXE,144,0,0,-,16,24,0,0,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=144, Ang=24"
FUN_0001e7b4,0x01e7b4,MAIN.EXE,144,0,0,-,16,24,0,0,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=144, Ang=24"
FUN_00033f50,0x033f50,GAME.BIN,144,0,0,-,0,24,0,0,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=144, Ang=24"
FUN_00044a14,0x044a14,GAME.BIN,136,1,0,Z,12,12,92,24,28,0,orient_normalize_basis_candidate,"basis-dest heavy; BD=92, BS=24, Spd=28"
FUN_000475dc,0x0475dc,GAME.BIN,124,0,0,-,24,0,16,96,16,0,orient_recompute_basis_candidate,"basis-src heavy; BS=96, BD=16, Spd=16"
FUN_0003baf8,0x03baf8,GAME.BIN,104,0,0,-,0,28,60,0,0,0,orient_normalize_basis_candidate,"basis-dest heavy; BD=60, BS=0, Spd=0"
FUN_00040a4c,0x040a4c,GAME.BIN,100,0,0,-,12,16,0,20,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=100, Ang=16"
FUN_00040a98,0x040a98,GAME.BIN,100,0,0,-,12,16,0,20,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=100, Ang=16"
FUN_000489a8,0x0489a8,GAME.BIN,100,0,0,-,8,0,20,32,4,0,orient_recompute_basis_candidate,"basis-src heavy; BS=32, BD=20, Spd=4"
FUN_00046024,0x046024,GAME.BIN,96,1,0,Z,12,40,24,48,8,0,orient_recompute_basis_candidate,"basis-src heavy; BS=48, BD=24, Spd=8"
FUN_00001ad4,0x001ad4,ROT.BIN,88,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=88, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_0001003c,0x01003c,GAME.BIN,88,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=88, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_0002ffac,0x02ffac,GAME.BIN,88,0,0,-,24,44,4,0,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=88, Ang=44"
FUN_00048150,0x048150,GAME.BIN,88,0,0,-,20,0,4,44,0,0,orient_recompute_basis_candidate,"basis-src heavy; BS=44, BD=4, Spd=0"
FUN_00023000,0x023000,GAME.BIN,84,1,1,Z,32,0,32,0,0,0,phys_integrate_pos_z_candidate,"integrator+direct Z; Pxyz=32, BD=32"
FUN_00023698,0x023698,GAME.BIN,84,1,0,Z,16,0,4,0,0,0,q12_candidate,"WScore=84, Pxyz=16, Ang=0, BD=4, BS=0, Spd=0"
FUN_00026c68,0x026c68,GAME.BIN,84,0,0,-,0,0,32,0,0,0,q12_candidate,"WScore=84, Pxyz=0, Ang=0, BD=32, BS=0, Spd=0"
FUN_00042904,0x042904,GAME.BIN,84,0,0,-,4,8,0,0,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=84, Ang=8"
FUN_0002f988,0x02f988,GAME.BIN,80,0,0,-,24,48,0,0,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=80, Ang=48"
FUN_00037f88,0x037f88,GAME.BIN,80,0,0,-,0,8,0,0,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=80, Ang=8"
FUN_0003b264,0x03b264,GAME.BIN,80,0,0,-,8,0,16,72,0,0,orient_recompute_basis_candidate,"basis-src heavy; BS=72, BD=16, Spd=0"
FUN_000468fc,0x0468fc,GAME.BIN,80,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=80, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_00022dc8,0x022dc8,GAME.BIN,76,1,1,Z,40,8,32,0,0,0,phys_integrate_pos_z_candidate,"integrator+direct Z; Pxyz=40, BD=32"
FUN_0004a058,0x04a058,GAME.BIN,76,0,0,-,4,0,24,12,16,0,orient_normalize_basis_candidate,"basis-dest heavy; BD=24, BS=12, Spd=16"
FUN_00022e5c,0x022e5c,GAME.BIN,72,1,1,Z,48,0,32,0,0,0,phys_integrate_pos_z_candidate,"integrator+direct Z; Pxyz=48, BD=32"
FUN_0001ea04,0x01ea04,MAIN.EXE,68,0,0,-,16,24,0,0,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=68, Ang=24"
FUN_00023110,0x023110,GAME.BIN,68,1,1,Z,32,0,16,0,0,0,phys_integrate_pos_z_candidate,"integrator+direct Z; Pxyz=32, BD=16"
FUN_00023180,0x023180,GAME.BIN,68,1,1,Z,32,0,8,0,0,0,phys_integrate_pos_z_candidate,"integrator+direct Z; Pxyz=32, BD=8"
FUN_00035088,0x035088,GAME.BIN,64,0,0,-,0,4,20,0,4,0,orientation_update_candidate,"angles+Q12 heavy; WScore=64, Ang=4"
FUN_000456f8,0x0456f8,GAME.BIN,64,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=64, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_00001c84,0x001c84,TUTO.BIN,60,0,0,-,68,4,0,0,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=60, Ang=4"
FUN_00047f54,0x047f54,GAME.BIN,60,0,0,-,4,0,0,12,4,0,q12_candidate,"WScore=60, Pxyz=4, Ang=0, BD=0, BS=12, Spd=4"
FUN_00019a88,0x019a88,GAME.BIN,56,0,0,-,4,12,0,0,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=56, Ang=12"
FUN_0002685c,0x02685c,GAME.BIN,56,0,0,-,12,0,0,0,0,0,q12_candidate,"WScore=56, Pxyz=12, Ang=0, BD=0, BS=0, Spd=0"
FUN_00035cc0,0x035cc0,GAME.BIN,56,1,0,Z,32,4,48,0,12,0,orient_normalize_basis_candidate,"basis-dest heavy; BD=48, BS=0, Spd=12"
FUN_00046a34,0x046a34,GAME.BIN,56,0,0,-,28,20,4,8,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=56, Ang=20"
FUN_0002e8f4,0x02e8f4,GAME.BIN,52,0,0,-,12,8,8,0,4,0,orientation_update_candidate,"angles+Q12 heavy; WScore=52, Ang=8"
FUN_00038748,0x038748,GAME.BIN,52,0,0,-,0,12,56,0,0,0,orient_normalize_basis_candidate,"basis-dest heavy; BD=56, BS=0, Spd=0"
FUN_000438fc,0x0438fc,GAME.BIN,52,0,0,-,20,24,20,16,4,0,orient_normalize_basis_candidate,"basis-dest heavy; BD=20, BS=16, Spd=4"
FUN_0000df30,0x00df30,GAME.BIN,48,0,0,-,20,40,0,0,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=48, Ang=40"
FUN_0002380c,0x02380c,GAME.BIN,48,0,0,-,28,0,4,0,8,0,q12_candidate,"WScore=48, Pxyz=28, Ang=0, BD=4, BS=0, Spd=8"
FUN_00037114,0x037114,GAME.BIN,48,0,0,-,0,8,0,0,0,0,orientation_update_candidate,"angles+Q12 heavy; WScore=48, Ang=8"
FUN_00038370,0x038370,GAME.BIN,48,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=48, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_00045a80,0x045a80,GAME.BIN,44,0,0,-,0,0,32,12,0,0,orient_normalize_basis_candidate,"basis-dest heavy; BD=32, BS=12, Spd=0"
FUN_00009f6c,0x009f6c,GAME.BIN,40,0,0,-,8,0,0,0,0,0,q12_candidate,"WScore=40, Pxyz=8, Ang=0, BD=0, BS=0, Spd=0"
FUN_0000a210,0x00a210,GAME.BIN,40,0,0,-,8,0,0,0,0,0,q12_candidate,"WScore=40, Pxyz=8, Ang=0, BD=0, BS=0, Spd=0"
FUN_00023210,0x023210,GAME.BIN,40,1,1,Z,20,0,8,0,0,0,phys_integrate_pos_z_candidate,"integrator+direct Z; Pxyz=20, BD=8"
FUN_000316c8,0x0316c8,GAME.BIN,40,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=40, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_000122ec,0x0122ec,GAME.BIN,36,0,0,-,4,68,4,0,4,0,q12_candidate,"WScore=36, Pxyz=4, Ang=68, BD=4, BS=0, Spd=4"
FUN_00000428,0x000428,MNU.BIN,32,0,0,-,4,4,0,0,0,0,q12_candidate,"WScore=32, Pxyz=4, Ang=4, BD=0, BS=0, Spd=0"
FUN_00001650,0x001650,ROT.BIN,32,0,0,-,16,0,0,0,0,0,q12_candidate,"WScore=32, Pxyz=16, Ang=0, BD=0, BS=0, Spd=0"
FUN_000097f8,0x0097f8,ROT.BIN,32,0,0,-,4,4,0,0,0,0,q12_candidate,"WScore=32, Pxyz=4, Ang=4, BD=0, BS=0, Spd=0"
FUN_0000af3c,0x00af3c,MAIN.EXE,32,0,0,-,32,36,4,0,0,0,q12_candidate,"WScore=32, Pxyz=32, Ang=36, BD=4, BS=0, Spd=0"
FUN_000249e4,0x0249e4,GAME.BIN,32,0,0,-,4,0,4,4,4,0,q12_candidate,"WScore=32, Pxyz=4, Ang=0, BD=4, BS=4, Spd=4"
FUN_00033c20,0x033c20,GAME.BIN,32,0,0,-,0,16,0,0,0,0,q12_candidate,"WScore=32, Pxyz=0, Ang=16, BD=0, BS=0, Spd=0"
FUN_00004328,0x004328,MNU.BIN,28,0,0,-,4,0,0,0,0,0,q12_candidate,"WScore=28, Pxyz=4, Ang=0, BD=0, BS=0, Spd=0"
FUN_0001ec7c,0x01ec7c,GAME.BIN,28,0,0,-,8,4,16,4,0,0,q12_candidate,"WScore=28, Pxyz=8, Ang=4, BD=16, BS=4, Spd=0"
FUN_00024558,0x024558,GAME.BIN,28,0,0,-,8,0,0,0,0,0,q12_candidate,"WScore=28, Pxyz=8, Ang=0, BD=0, BS=0, Spd=0"
FUN_00025c18,0x025c18,GAME.BIN,28,1,0,Z,12,8,4,0,0,0,q12_candidate,"WScore=28, Pxyz=12, Ang=8, BD=4, BS=0, Spd=0"
FUN_0002c0bc,0x02c0bc,GAME.BIN,28,0,0,-,20,0,0,0,0,0,q12_candidate,"WScore=28, Pxyz=20, Ang=0, BD=0, BS=0, Spd=0"
FUN_00030850,0x030850,GAME.BIN,28,0,0,-,4,8,4,0,0,0,q12_candidate,"WScore=28, Pxyz=4, Ang=8, BD=4, BS=0, Spd=0"
FUN_0003d984,0x03d984,GAME.BIN,28,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=28, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_00044754,0x044754,GAME.BIN,28,0,0,-,4,0,0,12,0,0,q12_candidate,"WScore=28, Pxyz=4, Ang=0, BD=0, BS=12, Spd=0"
FUN_000464fc,0x0464fc,GAME.BIN,28,0,0,-,0,0,0,0,0,0,q12_candidate,"WScore=28, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0"
FUN_0004915c,0x04915c,GAME.BIN,28,0,0,-,16,4,12,12,0,0,q12_candidate,"WScore=28, Pxyz=16, Ang=4, BD=12, BS=12, Spd=0"
