binary,function,ea_hex,new_name,suggested_name,reason,pos_hits,basis_dest_hits,basis_src_hits,speed_hits,integrator,direct_pos_write,axes,weighted_score,apply
GAME.BIN,FUN_0001ec7c,0x1EC7C,phys_FUN_0001ec7c,q12_candidate,"WScore=28, Pxyz=8, Ang=4, BD=16, BS=4, Spd=0",8,16,4,0,0,0,,0,0
GAME.BIN,FUN_00040a4c,0x40A4C,phys_FUN_00040a4c,orientation_update_candidate,"angles+Q12 heavy; WScore=100, Ang=16",12,0,20,0,0,0,,0,1
GAME.BIN,FUN_00040a98,0x40A98,phys_FUN_00040a98,orientation_update_candidate,"angles+Q12 heavy; WScore=100, Ang=16",12,0,20,0,0,0,,0,1
GAME.BIN,FUN_000475dc,0x475DC,phys_FUN_000475dc,orient_recompute_basis_candidate,"basis-src heavy; BS=96, BD=16, Spd=16",24,16,96,16,0,0,,0,1
GAME.BIN,FUN_00048150,0x48150,phys_FUN_00048150,orient_recompute_basis_candidate,"basis-src heavy; BS=44, BD=4, Spd=0",20,4,44,0,0,0,,0,1
LEGGIT.EXE,FUN_00005dac,0x5DAC,suspect_FUN_00005dac,q12_candidate,"WScore=12, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0",0,0,0,0,0,0,,0,0
LEGGIT.EXE,FUN_00007ae8,0x7AE8,suspect_FUN_00007ae8,q12_candidate,"WScore=20, Pxyz=20, Ang=0, BD=0, BS=0, Spd=0",20,0,0,0,0,0,,0,0
LEGGIT.EXE,FUN_00009544,0x9544,suspect_FUN_00009544,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=0, BS=0, Spd=0",0,0,0,0,0,0,,0,0
LEGGIT.EXE,FUN_00009e3c,0x9E3C,suspect_FUN_00009e3c,q12_candidate,"WScore=12, Pxyz=0, Ang=8, BD=0, BS=0, Spd=0",0,0,0,0,0,0,,0,0
LEGGIT.EXE,FUN_000145c8,0x145C8,phys_FUN_000145c8,q12_candidate,"WScore=8, Pxyz=0, Ang=0, BD=8, BS=0, Spd=0",0,8,0,0,0,0,,0,0
