name,ea,size,callers_n,callees_n,ctrl_hit,phys_hit,binary
FUN_000402e0,262880,92,9,0,0,1,GAME.BIN
FUN_000402e0,262880,92,9,0,0,1,GAME.BIN
FUN_0001cc08,117768,16,8,0,0,1,MAIN.EXE
FUN_0001cc08,117768,16,8,0,0,1,MAIN.EXE
FUN_0004033c,262972,236,7,0,0,1,GAME.BIN
FUN_0004033c,262972,236,7,0,0,1,GAME.BIN
FUN_00014f80,85888,1324,0,5,0,1,MAIN.EXE
FUN_00021c64,138340,108,3,1,0,1,MAIN.EXE
FUN_00021b4c,138060,56,3,1,0,1,MAIN.EXE
FUN_0001cba8,117672,16,4,0,0,1,MAIN.EXE
FUN_0001cba8,117672,16,4,0,0,1,MAIN.EXE
FUN_00021c64,138340,108,3,0,0,1,MAIN.EXE
FUN_00021b4c,138060,56,3,0,0,1,MAIN.EXE
FUN_0001cbb8,117688,32,2,1,0,1,MAIN.EXE
FUN_0001f340,127808,4,3,0,0,1,MAIN.EXE
FUN_0001f340,127808,4,3,0,0,1,MAIN.EXE
FUN_0001ef54,126804,124,0,2,0,1,MAIN.EXE
FUN_000219ac,137644,40,1,1,0,1,MAIN.EXE
FUN_0001cbd8,117720,32,2,0,0,1,MAIN.EXE
FUN_0001cbb8,117688,32,2,0,0,1,MAIN.EXE
FUN_0001cbd8,117720,32,2,0,0,1,MAIN.EXE
FUN_0001cbf8,117752,16,2,0,0,1,MAIN.EXE
FUN_0001cbf8,117752,16,2,0,0,1,MAIN.EXE
FUN_0001cc18,117784,8,2,0,0,1,MAIN.EXE
FUN_0001cc18,117784,8,2,0,0,1,MAIN.EXE
FUN_00040a98,264856,1628,1,0,0,1,GAME.BIN
FUN_00040a98,264856,1628,1,0,0,1,GAME.BIN
FUN_000406ac,263852,268,1,0,0,1,GAME.BIN
FUN_000406ac,263852,268,1,0,0,1,GAME.BIN
FUN_0000edc8,60872,172,0,1,0,1,MAIN.EXE
FUN_0001f344,127812,156,0,1,0,1,MAIN.EXE
FUN_00021974,137588,48,1,0,0,1,MAIN.EXE
FUN_00021974,137588,48,1,0,0,1,MAIN.EXE
FUN_000219ac,137644,40,1,0,0,1,MAIN.EXE
FUN_0002193c,137532,32,1,0,0,1,MAIN.EXE
FUN_0002193c,137532,32,1,0,0,1,MAIN.EXE
FUN_00021a34,137780,16,1,0,0,1,MAIN.EXE
FUN_00021a34,137780,16,1,0,0,1,MAIN.EXE
FUN_00007420,29728,3688,0,0,0,1,MNU.BIN
FUN_00007420,29728,3688,0,0,0,1,MNU.BIN
FUN_000031d8,12760,2492,0,0,0,1,MNU.BIN
FUN_000031d8,12760,2492,0,0,0,1,MNU.BIN
FUN_00031b38,203576,1956,0,0,0,1,GAME.BIN
FUN_00031b38,203576,1956,0,0,0,1,GAME.BIN
FUN_000475dc,292316,1808,0,0,0,1,GAME.BIN
FUN_000475dc,292316,1808,0,0,0,1,GAME.BIN
FUN_00005c9c,23708,1764,0,0,0,1,SYS.BIN
FUN_00005c9c,23708,1764,0,0,0,1,SYS.BIN
FUN_000145c8,83400,1324,0,0,0,1,LEGGIT.EXE
FUN_000145c8,83400,1324,0,0,0,1,LEGGIT.EXE
