name,ea,size,callers_n,callees_n,ctrl_hit,phys_hit,binary
FUN_000402e0,262880,92,9,0,0,1,GAME.BIN
FUN_000402e0,262880,92,9,0,0,1,GAME.BIN
FUN_0004033c,262972,236,7,0,0,1,GAME.BIN
FUN_0004033c,262972,236,7,0,0,1,GAME.BIN
FUN_00040a98,264856,1628,1,0,0,1,GAME.BIN
FUN_00040a98,264856,1628,1,0,0,1,GAME.BIN
FUN_000406ac,263852,268,1,0,0,1,GAME.BIN
FUN_000406ac,263852,268,1,0,0,1,GAME.BIN
FUN_00031b38,203576,1956,0,0,0,1,GAME.BIN
FUN_00031b38,203576,1956,0,0,0,1,GAME.BIN
FUN_000475dc,292316,1808,0,0,0,1,GAME.BIN
FUN_000475dc,292316,1808,0,0,0,1,GAME.BIN
FUN_00048150,295248,1188,0,0,0,1,GAME.BIN
FUN_00048150,295248,1188,0,0,0,1,GAME.BIN
FUN_0000f8e4,63716,1156,0,0,0,1,GAME.BIN
FUN_0000f8e4,63716,1156,0,0,0,1,GAME.BIN
FUN_00032c18,207896,1124,0,0,0,1,GAME.BIN
FUN_00032c18,207896,1124,0,0,0,1,GAME.BIN
FUN_0001ec7c,126076,728,0,0,0,1,GAME.BIN
FUN_0001ec7c,126076,728,0,0,0,1,GAME.BIN
FUN_000496b8,300728,712,0,0,0,1,GAME.BIN
FUN_000496b8,300728,712,0,0,0,1,GAME.BIN
FUN_0001867c,99964,632,0,0,0,1,GAME.BIN
FUN_0001867c,99964,632,0,0,0,1,GAME.BIN
FUN_0001dc38,121912,616,0,0,0,1,GAME.BIN
FUN_0001dc38,121912,616,0,0,0,1,GAME.BIN
FUN_00043348,275272,516,0,0,0,1,GAME.BIN
FUN_00043348,275272,516,0,0,0,1,GAME.BIN
FUN_000220b4,139444,448,0,0,0,1,GAME.BIN
FUN_000220b4,139444,448,0,0,0,1,GAME.BIN
FUN_000180b0,98480,428,0,0,0,1,GAME.BIN
FUN_000180b0,98480,428,0,0,0,1,GAME.BIN
FUN_0004083c,264252,396,0,0,0,1,GAME.BIN
FUN_0004083c,264252,396,0,0,0,1,GAME.BIN
FUN_0002c7a0,182176,388,0,0,0,1,GAME.BIN
FUN_0002c7a0,182176,388,0,0,0,1,GAME.BIN
FUN_0003f1dc,258524,336,0,0,0,1,GAME.BIN
FUN_0003f1dc,258524,336,0,0,0,1,GAME.BIN
FUN_00036900,223488,268,0,0,0,1,GAME.BIN
FUN_00036900,223488,268,0,0,0,1,GAME.BIN
FUN_00024c9c,150684,252,0,0,0,1,GAME.BIN
FUN_00024c9c,150684,252,0,0,0,1,GAME.BIN
FUN_0002a5f4,173556,248,0,0,0,1,GAME.BIN
FUN_0002a5f4,173556,248,0,0,0,1,GAME.BIN
FUN_0000b09c,45212,224,0,0,0,1,GAME.BIN
FUN_0000b09c,45212,224,0,0,0,1,GAME.BIN
FUN_0000d1f4,53748,216,0,0,0,1,GAME.BIN
FUN_0000d1f4,53748,216,0,0,0,1,GAME.BIN
FUN_0002e1b4,188852,184,0,0,0,1,GAME.BIN
FUN_0002e1b4,188852,184,0,0,0,1,GAME.BIN
