name,ea,size,callers_n,callees_n,ctrl_hit,phys_hit,binary
FUN_000145c8,83400,1324,0,0,0,1,LEGGIT.EXE
FUN_000145c8,83400,1324,0,0,0,1,LEGGIT.EXE
FUN_00009e3c,40508,2332,0,0,0,0,LEGGIT.EXE
FUN_00009e3c,40508,2332,0,0,0,0,LEGGIT.EXE
FUN_00016a1c,92700,1456,0,0,0,0,LEGGIT.EXE
FUN_00016a1c,92700,1456,0,0,0,0,LEGGIT.EXE
FUN_0000552c,21804,1320,0,0,0,0,LEGGIT.EXE
FUN_0000552c,21804,1320,0,0,0,0,LEGGIT.EXE
FUN_00007ae8,31464,1272,0,0,0,0,LEGGIT.EXE
FUN_00007ae8,31464,1272,0,0,0,0,LEGGIT.EXE
FUN_0000dfb8,57272,1220,0,0,0,0,LEGGIT.EXE
FUN_0000dfb8,57272,1220,0,0,0,0,LEGGIT.EXE
FUN_00010b14,68372,1036,0,0,0,0,LEGGIT.EXE
FUN_00010b14,68372,1036,0,0,0,0,LEGGIT.EXE
FUN_00017a6c,96876,944,0,0,0,0,LEGGIT.EXE
FUN_00017a6c,96876,944,0,0,0,0,LEGGIT.EXE
FUN_00017e54,97876,844,0,0,0,0,LEGGIT.EXE
FUN_00017e54,97876,844,0,0,0,0,LEGGIT.EXE
FUN_0001084c,67660,712,0,0,0,0,LEGGIT.EXE
FUN_0001084c,67660,712,0,0,0,0,LEGGIT.EXE
FUN_00006778,26488,708,0,0,0,0,LEGGIT.EXE
FUN_0000ead8,60120,708,0,0,0,0,LEGGIT.EXE
FUN_00006778,26488,708,0,0,0,0,LEGGIT.EXE
FUN_0000ead8,60120,708,0,0,0,0,LEGGIT.EXE
FUN_00008cbc,36028,640,0,0,0,0,LEGGIT.EXE
FUN_000105cc,67020,640,0,0,0,0,LEGGIT.EXE
FUN_00012e88,77448,640,0,0,0,0,LEGGIT.EXE
FUN_00008cbc,36028,640,0,0,0,0,LEGGIT.EXE
FUN_000105cc,67020,640,0,0,0,0,LEGGIT.EXE
FUN_00012e88,77448,640,0,0,0,0,LEGGIT.EXE
FUN_000159e8,88552,636,0,0,0,0,LEGGIT.EXE
FUN_00017510,95504,636,0,0,0,0,LEGGIT.EXE
FUN_000159e8,88552,636,0,0,0,0,LEGGIT.EXE
FUN_00017510,95504,636,0,0,0,0,LEGGIT.EXE
FUN_0001161c,71196,628,0,0,0,0,LEGGIT.EXE
FUN_0001161c,71196,628,0,0,0,0,LEGGIT.EXE
FUN_000082fc,33532,624,0,0,0,0,LEGGIT.EXE
FUN_000082fc,33532,624,0,0,0,0,LEGGIT.EXE
FUN_00015db0,89520,620,0,0,0,0,LEGGIT.EXE
FUN_00015db0,89520,620,0,0,0,0,LEGGIT.EXE
FUN_000092e4,37604,608,0,0,0,0,LEGGIT.EXE
FUN_000092e4,37604,608,0,0,0,0,LEGGIT.EXE
FUN_000177fc,96252,584,0,0,0,0,LEGGIT.EXE
FUN_000177fc,96252,584,0,0,0,0,LEGGIT.EXE
FUN_000153a0,86944,580,0,0,0,0,LEGGIT.EXE
FUN_000153a0,86944,580,0,0,0,0,LEGGIT.EXE
FUN_00008a80,35456,572,0,0,0,0,LEGGIT.EXE
FUN_00008a80,35456,572,0,0,0,0,LEGGIT.EXE
FUN_00008850,34896,560,0,0,0,0,LEGGIT.EXE
FUN_00008850,34896,560,0,0,0,0,LEGGIT.EXE
