name,ea,size,callers_n,callees_n,ctrl_hit,phys_hit,binary
FUN_0001cc08,117768,16,8,0,0,1,MAIN.EXE
FUN_0001cc08,117768,16,8,0,0,1,MAIN.EXE
FUN_00014f80,85888,1324,0,5,0,1,MAIN.EXE
FUN_00021c64,138340,108,3,1,0,1,MAIN.EXE
FUN_00021b4c,138060,56,3,1,0,1,MAIN.EXE
FUN_0001cba8,117672,16,4,0,0,1,MAIN.EXE
FUN_0001cba8,117672,16,4,0,0,1,MAIN.EXE
FUN_00021c64,138340,108,3,0,0,1,MAIN.EXE
FUN_00021b4c,138060,56,3,0,0,1,MAIN.EXE
FUN_0001cbb8,117688,32,2,1,0,1,MAIN.EXE
FUN_0001f340,127808,4,3,0,0,1,MAIN.EXE
FUN_0001f340,127808,4,3,0,0,1,MAIN.EXE
FUN_0001ef54,126804,124,0,2,0,1,MAIN.EXE
FUN_000219ac,137644,40,1,1,0,1,MAIN.EXE
FUN_0001cbd8,117720,32,2,0,0,1,MAIN.EXE
FUN_0001cbb8,117688,32,2,0,0,1,MAIN.EXE
FUN_0001cbd8,117720,32,2,0,0,1,MAIN.EXE
FUN_0001cbf8,117752,16,2,0,0,1,MAIN.EXE
FUN_0001cbf8,117752,16,2,0,0,1,MAIN.EXE
FUN_0001cc18,117784,8,2,0,0,1,MAIN.EXE
FUN_0001cc18,117784,8,2,0,0,1,MAIN.EXE
FUN_0000edc8,60872,172,0,1,0,1,MAIN.EXE
FUN_0001f344,127812,156,0,1,0,1,MAIN.EXE
FUN_00021974,137588,48,1,0,0,1,MAIN.EXE
FUN_00021974,137588,48,1,0,0,1,MAIN.EXE
FUN_000219ac,137644,40,1,0,0,1,MAIN.EXE
FUN_0002193c,137532,32,1,0,0,1,MAIN.EXE
FUN_0002193c,137532,32,1,0,0,1,MAIN.EXE
FUN_00021a34,137780,16,1,0,0,1,MAIN.EXE
FUN_00021a34,137780,16,1,0,0,1,MAIN.EXE
FUN_00014f80,85888,1324,0,0,0,1,MAIN.EXE
FUN_00021878,137336,196,0,0,0,1,MAIN.EXE
FUN_00021878,137336,196,0,0,0,1,MAIN.EXE
FUN_0000edc8,60872,172,0,0,0,1,MAIN.EXE
FUN_0001f344,127812,156,0,0,0,1,MAIN.EXE
FUN_0001ef54,126804,124,0,0,0,1,MAIN.EXE
FUN_00021694,136852,68,0,0,0,1,MAIN.EXE
FUN_00021694,136852,68,0,0,0,1,MAIN.EXE
FUN_0001cba0,117664,8,0,0,0,1,MAIN.EXE
FUN_0001cba0,117664,8,0,0,0,1,MAIN.EXE
FUN_0001cc58,117848,16,51,0,0,0,MAIN.EXE
FUN_0001cc58,117848,16,51,0,0,0,MAIN.EXE
thunk_FUN_0001f5d4,128448,8,32,0,0,0,MAIN.EXE
thunk_FUN_0001f5d4,128448,8,32,0,0,0,MAIN.EXE
FUN_000090e0,37088,1104,0,31,0,0,MAIN.EXE
FUN_0001f5e8,128488,40,22,0,0,0,MAIN.EXE
FUN_0001f5e8,128488,40,22,0,0,0,MAIN.EXE
FUN_0001d600,120320,284,18,2,0,0,MAIN.EXE
FUN_00008528,34088,1884,0,18,0,0,MAIN.EXE
FUN_0001d600,120320,284,18,0,0,0,MAIN.EXE
