name,ea,size,callers_n,callees_n,ctrl_hit,phys_hit,binary
FUN_000006dc,1756,476,0,0,0,1,ROT.BIN
FUN_000006dc,1756,476,0,0,0,1,ROT.BIN
FUN_00001ad4,6868,460,0,0,0,1,ROT.BIN
FUN_00001ad4,6868,460,0,0,0,1,ROT.BIN
FUN_00007034,28724,412,0,0,0,1,ROT.BIN
FUN_00007034,28724,412,0,0,0,1,ROT.BIN
FUN_0000652c,25900,396,0,0,0,1,ROT.BIN
FUN_0000652c,25900,396,0,0,0,1,ROT.BIN
FUN_000053dc,21468,156,0,0,0,1,ROT.BIN
FUN_000053dc,21468,156,0,0,0,1,ROT.BIN
FUN_00000900,2304,96,0,0,0,1,ROT.BIN
FUN_00000900,2304,96,0,0,0,1,ROT.BIN
FUN_00002724,10020,3220,0,0,0,0,ROT.BIN
FUN_00002724,10020,3220,0,0,0,0,ROT.BIN
FUN_00001650,5712,1156,0,0,0,0,ROT.BIN
FUN_00001650,5712,1156,0,0,0,0,ROT.BIN
FUN_00008198,33176,1040,0,0,0,0,ROT.BIN
FUN_00008198,33176,1040,0,0,0,0,ROT.BIN
FUN_00000e04,3588,1016,0,0,0,0,ROT.BIN
FUN_00000e04,3588,1016,0,0,0,0,ROT.BIN
FUN_00007bb8,31672,984,0,0,0,0,ROT.BIN
FUN_00007bb8,31672,984,0,0,0,0,ROT.BIN
FUN_000002f4,756,900,0,0,0,0,ROT.BIN
FUN_000002f4,756,900,0,0,0,0,ROT.BIN
FUN_00001ff4,8180,876,0,0,0,0,ROT.BIN
FUN_00001ff4,8180,876,0,0,0,0,ROT.BIN
FUN_000097f8,38904,816,0,0,0,0,ROT.BIN
FUN_000097f8,38904,816,0,0,0,0,ROT.BIN
FUN_00008824,34852,744,0,0,0,0,ROT.BIN
FUN_00008824,34852,744,0,0,0,0,ROT.BIN
FUN_00007818,30744,668,0,0,0,0,ROT.BIN
FUN_00007818,30744,668,0,0,0,0,ROT.BIN
FUN_00002360,9056,652,0,0,0,0,ROT.BIN
FUN_00002360,9056,652,0,0,0,0,ROT.BIN
FUN_00009dfc,40444,632,0,0,0,0,ROT.BIN
FUN_00009dfc,40444,632,0,0,0,0,ROT.BIN
FUN_00005e70,24176,616,0,0,0,0,ROT.BIN
FUN_00005e70,24176,616,0,0,0,0,ROT.BIN
FUN_00004a70,19056,604,0,0,0,0,ROT.BIN
FUN_00004a70,19056,604,0,0,0,0,ROT.BIN
FUN_0000451c,17692,600,0,0,0,0,ROT.BIN
FUN_0000451c,17692,600,0,0,0,0,ROT.BIN
FUN_00008ed4,36564,588,0,0,0,0,ROT.BIN
FUN_00008ed4,36564,588,0,0,0,0,ROT.BIN
FUN_00001288,4744,560,0,0,0,0,ROT.BIN
FUN_00001288,4744,560,0,0,0,0,ROT.BIN
FUN_000034dc,13532,552,0,0,0,0,ROT.BIN
FUN_000034dc,13532,552,0,0,0,0,ROT.BIN
FUN_000095d8,38360,544,0,0,0,0,ROT.BIN
FUN_000095d8,38360,544,0,0,0,0,ROT.BIN
