name,ea,size,callers_n,callees_n,ctrl_hit,phys_hit,binary
FUN_00005c9c,23708,1764,0,0,0,1,SYS.BIN
FUN_00005c9c,23708,1764,0,0,0,1,SYS.BIN
FUN_00002b10,11024,1004,0,0,0,1,SYS.BIN
FUN_00002b10,11024,1004,0,0,0,1,SYS.BIN
FUN_0000377c,14204,616,0,0,0,1,SYS.BIN
FUN_0000377c,14204,616,0,0,0,1,SYS.BIN
FUN_0000276c,10092,400,0,0,0,1,SYS.BIN
FUN_0000276c,10092,400,0,0,0,1,SYS.BIN
FUN_00009510,38160,1908,0,0,0,0,SYS.BIN
FUN_00009510,38160,1908,0,0,0,0,SYS.BIN
FUN_00007c64,31844,1484,0,0,0,0,SYS.BIN
FUN_00007c64,31844,1484,0,0,0,0,SYS.BIN
FUN_000030b0,12464,1264,0,0,0,0,SYS.BIN
FUN_000030b0,12464,1264,0,0,0,0,SYS.BIN
FUN_00006a04,27140,1060,0,0,0,0,SYS.BIN
FUN_00006a04,27140,1060,0,0,0,0,SYS.BIN
FUN_0000a2b8,41656,924,0,0,0,0,SYS.BIN
FUN_0000a2b8,41656,924,0,0,0,0,SYS.BIN
FUN_00008d48,36168,788,0,0,0,0,SYS.BIN
FUN_00008d48,36168,788,0,0,0,0,SYS.BIN
FUN_00002258,8792,760,0,0,0,0,SYS.BIN
FUN_00006f74,28532,760,0,0,0,0,SYS.BIN
FUN_00002258,8792,760,0,0,0,0,SYS.BIN
FUN_00006f74,28532,760,0,0,0,0,SYS.BIN
FUN_000088b8,35000,740,0,0,0,0,SYS.BIN
FUN_000088b8,35000,740,0,0,0,0,SYS.BIN
FUN_00001998,6552,624,0,0,0,0,SYS.BIN
FUN_00001998,6552,624,0,0,0,0,SYS.BIN
FUN_000055e8,21992,600,0,0,0,0,SYS.BIN
FUN_000055e8,21992,600,0,0,0,0,SYS.BIN
FUN_0000a8e0,43232,564,0,0,0,0,SYS.BIN
FUN_0000a8e0,43232,564,0,0,0,0,SYS.BIN
FUN_00008694,34452,548,0,0,0,0,SYS.BIN
FUN_00008694,34452,548,0,0,0,0,SYS.BIN
FUN_0000772c,30508,536,0,0,0,0,SYS.BIN
FUN_0000772c,30508,536,0,0,0,0,SYS.BIN
FUN_00004d74,19828,464,0,0,0,0,SYS.BIN
FUN_00004d74,19828,464,0,0,0,0,SYS.BIN
FUN_00006570,25968,460,0,0,0,0,SYS.BIN
FUN_00006570,25968,460,0,0,0,0,SYS.BIN
FUN_00009c84,40068,448,0,0,0,0,SYS.BIN
FUN_00009c84,40068,448,0,0,0,0,SYS.BIN
FUN_000073bc,29628,444,0,0,0,0,SYS.BIN
FUN_000073bc,29628,444,0,0,0,0,SYS.BIN
FUN_00009e44,40516,440,0,0,0,0,SYS.BIN
FUN_00009e44,40516,440,0,0,0,0,SYS.BIN
FUN_00001c38,7224,428,0,0,0,0,SYS.BIN
FUN_00001c38,7224,428,0,0,0,0,SYS.BIN
FUN_0000673c,26428,392,0,0,0,0,SYS.BIN
FUN_0000673c,26428,392,0,0,0,0,SYS.BIN
