symbol,canonical_address_hex,observations,distinct_addresses,category_list,map_file_count,example_map_file
ACCESS_FILE,0x8008B180,2,1,io,2,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
ADDPRIM,0x8001210C,2,5,audio;graphics;io,10,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
ADDPRIMS,0x80012148,2,5,audio;graphics;io,10,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
ALERT_BUTTON_FLASH,0x80021BE0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
ALIEN_ONE,0x80026A94,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
ALIEN_TWO,0x80026AF0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
ANIM,0x800263FC,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
ANIMATE_MARVIN,0x80018AE4,2,2,io,4,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
APPLYEFFS,0x8008B4E0,2,1,audio,2,assets/psyq_sdk/psyq/bin/xmplay2/main.map
ARPEGGIO,0x8008A304,2,1,audio,2,assets/psyq_sdk/psyq/bin/xmplay2/main.map
ASCCHAR,0x800395D0,2,2,io,4,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
ASCII2SJIS,0x8008ED4C,2,1,io,2,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
AddPrim,0x800137BC,4,15,audio;cdrom;graphics;module;ui,34,assets/psyq_sdk/psyq/addons/cmplr/scratch/main.map
AddPrims,0x800137F8,4,14,audio;cdrom;graphics;module;ui,32,assets/psyq_sdk/psyq/addons/cmplr/scratch/main.map
AppArgs,0x800152D8,2,2,unknown,4,assets/psyq_sdk/psyq/opm/launcher/launch.map
ApplyMatrixLV,0x80111514,4,5,graphics;module;ui,12,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
AverageSZ3,0x80116248,4,5,graphics;module;ui,12,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
AverageSZ4,0x80116258,4,5,graphics;module;ui,12,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
AverageZ3,0x80111E90,2,1,graphics,2,assets/psyq_sdk/psyq/psx/sample/graphics/texaddr/wave/tuto1.map
AverageZ4,0x80111EB0,2,1,graphics,2,assets/psyq_sdk/psyq/psx/sample/graphics/texaddr/wave/tuto1.map
BACKTIMBUFF,0x800E0AD0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
BAR_TAB,0x8004DECC,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
BF1,0x800167D8,2,1,graphics,2,assets/psyq_sdk/psyq/psx/sample/scee/graphics/flame/main.map
BF2,0x800167DC,2,1,graphics,2,assets/psyq_sdk/psyq/psx/sample/scee/graphics/flame/main.map
BITMAP,0x800187E4,2,2,io,4,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
BITMAP_CD,0x8001BD48,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
BLEEP,0x80026978,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
BLOCKING_ACCESS_TEST,0x8008D040,2,1,io,2,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
BLOCK_READ,0x80013F9C,2,2,io,4,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
BLOCK_WRITE,0x8008E4F8,2,1,io,2,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
BPMLIMIT,0x80096414,2,1,audio,2,assets/psyq_sdk/psyq/bin/xmplay2/main.map
BRIGHT_LIST,0x800397E8,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
BUFF,0x800C5B48,2,2,io,4,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
BUFFER,0x801266E0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
BUFFER1,0x800A0DD0,2,3,audio;io,6,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
BUFFER2,0x800A0DF8,2,3,audio;io,6,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
Bakuhatu,0x800860E8,2,2,module;ui,4,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CACHE_FILE_POS,0x8001256C,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CALCPLAYPOS,0x8008B2B8,2,1,audio,2,assets/psyq_sdk/psyq/bin/xmplay2/main.map
CARD_DIR,0x80076CE8,2,2,io,4,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
CARD_FILES,0x800A21F0,2,1,io,2,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
CARD_HEADER,0x80122AD8,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CARD_MESSAGE,0x8001731C,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CARD_PRESENT_STATUS,0x80013AC0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CARD_STATUS,0x800A21F8,2,1,io,2,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
CATPRIM,0x80012184,2,5,audio;graphics;io,10,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
CCHANNEL,0x80076CC8,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CChannel,0x80045F1C,2,5,audio;cdrom;module;ui,10,assets/psyq_sdk/psyq/addons/module/overmenu/menu.map
CDB,0x800167F4,2,5,audio;graphics;io,10,assets/psyq_sdk/psyq/addons/scee/etc/cardconf/main.map
CDCOMSTR,0x8002C8E4,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDCONTROL,0x8002C9BC,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDCONTROLB,0x8002CC20,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDCONTROLF,0x8002CAF4,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDDATACALLBACK,0x8002CDAC,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDDATASYNC,0x8002CDD0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDFLUSH,0x8002C8AC,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDGETSECTOR,0x8002CD88,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDINIT,0x8002C6E8,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDINTSTR,0x8002C918,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDINTTOPOS,0x8002CDF0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDLASTCOM,0x8002C820,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDLASTPOS,0x8002C830,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDMIX,0x8002CD64,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDMODE,0x8002C810,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDPOSTOINT,0x8002CEF4,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDREAD,0x8002F40C,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDREAD2,0x8002F5F8,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDREADCALLBACK,0x8002F5E0,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
CDREADSYNC,0x8002F514,2,1,unknown,2,assets/psyq_sdk/psyq/addons/scee/kcheats/main.map
