symbol,canonical_address_hex,observations,distinct_addresses,map_files,address_histogram
ACCESS_FILE,0x8008B180,2,1,1,0x8008B180(2)
ADDPRIM,0x8001210C,2,5,5,0x8001210C(2);0x8001AA04(2);0x80029090(2);0x800841A4(2);0x80091834(2)
ADDPRIMS,0x80012148,2,5,5,0x80012148(2);0x8001AA40(2);0x800290CC(2);0x800841E0(2);0x80091870(2)
ALERT_BUTTON_FLASH,0x80021BE0,2,1,1,0x80021BE0(2)
ALIEN_ONE,0x80026A94,2,1,1,0x80026A94(2)
ALIEN_TWO,0x80026AF0,2,1,1,0x80026AF0(2)
ANIM,0x800263FC,2,1,1,0x800263FC(2)
ANIMATE_MARVIN,0x80018AE4,2,2,2,0x80018AE4(2);0x8008F328(2)
APPLYEFFS,0x8008B4E0,2,1,1,0x8008B4E0(2)
ARPEGGIO,0x8008A304,2,1,1,0x8008A304(2)
ASCCHAR,0x800395D0,2,2,2,0x800395D0(2);0x8009F978(2)
ASCII2SJIS,0x8008ED4C,2,1,1,0x8008ED4C(2)
AddPrim,0x800137BC,4,15,17,0x800137BC(4);0x80103E40(4);0x80012AE8(2);0x80012E4C(2);0x80013B50(2);0x80013BF4(2);0x80013CCC(2);0x80013E30(2);0x80013EF4(2);0x800157F8(2);0x8001B3B4(2);0x80032108(2);0x800335E4(2);0x80103D3C(2);0x80104498(2)
AddPrims,0x800137F8,4,14,16,0x800137F8(4);0x80103E7C(4);0x80012B24(2);0x80012E88(2);0x80013B8C(2);0x80013C30(2);0x80013D08(2);0x80013E6C(2);0x80013F30(2);0x8001B3F0(2);0x80032144(2);0x80033620(2);0x80103D78(2);0x801044D4(2)
AppArgs,0x800152D8,2,2,2,0x800152D8(2);0x80015448(2)
ApplyMatrixLV,0x80111514,4,5,6,0x80111514(4);0x800222FC(2);0x8002392C(2);0x80111410(2);0x80111B6C(2)
AverageSZ3,0x80116248,4,5,6,0x80116248(4);0x80025D5C(2);0x80027374(2);0x80116354(2);0x801168A0(2)
AverageSZ4,0x80116258,4,5,6,0x80116258(4);0x80025D6C(2);0x80027384(2);0x80116364(2);0x801168B0(2)
AverageZ3,0x80111E90,2,1,1,0x80111E90(2)
AverageZ4,0x80111EB0,2,1,1,0x80111EB0(2)
BACKTIMBUFF,0x800E0AD0,2,1,1,0x800E0AD0(2)
BAR_TAB,0x8004DECC,2,1,1,0x8004DECC(2)
BF1,0x800167D8,2,1,1,0x800167D8(2)
BF2,0x800167DC,2,1,1,0x800167DC(2)
BITMAP,0x800187E4,2,2,2,0x800187E4(2);0x8008F028(2)
BITMAP_CD,0x8001BD48,2,1,1,0x8001BD48(2)
BLEEP,0x80026978,2,1,1,0x80026978(2)
BLOCKING_ACCESS_TEST,0x8008D040,2,1,1,0x8008D040(2)
BLOCK_READ,0x80013F9C,2,2,2,0x80013F9C(2);0x8008E790(2)
BLOCK_WRITE,0x8008E4F8,2,1,1,0x8008E4F8(2)
BPMLIMIT,0x80096414,2,1,1,0x80096414(2)
BRIGHT_LIST,0x800397E8,2,1,1,0x800397E8(2)
BUFF,0x800C5B48,2,2,2,0x800C5B48(2);0x800E08C8(2)
BUFFER,0x801266E0,2,1,1,0x801266E0(2)
BUFFER1,0x800A0DD0,2,3,3,0x800A0DD0(2);0x800E5B48(2);0x801382F8(2)
BUFFER2,0x800A0DF8,2,3,3,0x800A0DF8(2);0x800E5B70(2);0x80138320(2)
Bakuhatu,0x800860E8,2,2,2,0x800860E8(2);0x80088428(2)
CACHE_FILE_POS,0x8001256C,2,1,1,0x8001256C(2)
CALCPLAYPOS,0x8008B2B8,2,1,1,0x8008B2B8(2)
CARD_DIR,0x80076CE8,2,2,2,0x80076CE8(2);0x800C4B68(2)
CARD_FILES,0x800A21F0,2,1,1,0x800A21F0(2)
CARD_HEADER,0x80122AD8,2,1,1,0x80122AD8(2)
CARD_MESSAGE,0x8001731C,2,1,1,0x8001731C(2)
CARD_PRESENT_STATUS,0x80013AC0,2,1,1,0x80013AC0(2)
CARD_STATUS,0x800A21F8,2,1,1,0x800A21F8(2)
CATPRIM,0x80012184,2,5,5,0x80012184(2);0x8001AA7C(2);0x80029108(2);0x8008421C(2);0x800918AC(2)
CCHANNEL,0x80076CC8,2,1,1,0x80076CC8(2)
CChannel,0x80045F1C,2,5,5,0x80045F1C(2);0x80062530(2);0x80064AB8(2);0x80099844(2);0x80099DFC(2)
CDB,0x800167F4,2,5,5,0x800167F4(2);0x8001FEE4(2);0x8004DF64(2);0x8009E530(2);0x800A22D0(2)
CDCOMSTR,0x8002C8E4,2,1,1,0x8002C8E4(2)
CDCONTROL,0x8002C9BC,2,1,1,0x8002C9BC(2)
CDCONTROLB,0x8002CC20,2,1,1,0x8002CC20(2)
CDCONTROLF,0x8002CAF4,2,1,1,0x8002CAF4(2)
CDDATACALLBACK,0x8002CDAC,2,1,1,0x8002CDAC(2)
CDDATASYNC,0x8002CDD0,2,1,1,0x8002CDD0(2)
CDFLUSH,0x8002C8AC,2,1,1,0x8002C8AC(2)
CDGETSECTOR,0x8002CD88,2,1,1,0x8002CD88(2)
CDINIT,0x8002C6E8,2,1,1,0x8002C6E8(2)
CDINTSTR,0x8002C918,2,1,1,0x8002C918(2)
CDINTTOPOS,0x8002CDF0,2,1,1,0x8002CDF0(2)
CDLASTCOM,0x8002C820,2,1,1,0x8002C820(2)
CDLASTPOS,0x8002C830,2,1,1,0x8002C830(2)
CDMIX,0x8002CD64,2,1,1,0x8002CD64(2)
CDMODE,0x8002C810,2,1,1,0x8002C810(2)
CDPOSTOINT,0x8002CEF4,2,1,1,0x8002CEF4(2)
CDREAD,0x8002F40C,2,1,1,0x8002F40C(2)
CDREAD2,0x8002F5F8,2,1,1,0x8002F5F8(2)
CDREADCALLBACK,0x8002F5E0,2,1,1,0x8002F5E0(2)
CDREADSYNC,0x8002F514,2,1,1,0x8002F514(2)
CDREADY,0x8002C96C,2,1,1,0x8002C96C(2)
CDREADYCALLBACK,0x8002C9A4,2,1,1,0x8002C9A4(2)
CDRESET,0x8002C840,2,1,1,0x8002C840(2)
CDSEARCHFILE,0x8002E644,2,1,1,0x8002E644(2)
CDSETDEBUG,0x8002C8CC,2,1,1,0x8002C8CC(2)
CDSTATUS,0x8002C800,2,1,1,0x8002C800(2)
CDSYNC,0x8002C94C,2,1,1,0x8002C94C(2)
CDSYNCCALLBACK,0x8002C98C,2,1,1,0x8002C98C(2)
CD_CBREAD,0x8003BF6C,2,1,1,0x8003BF6C(2)
CD_CBREADY,0x8003BF68,2,1,1,0x8003BF68(2)
CD_CBSYNC,0x8003BF64,2,1,1,0x8003BF64(2)
CD_COM,0x8003BF85,2,1,1,0x8003BF85(2)
CD_COMSTR,0x8003BF88,2,1,1,0x8003BF88(2)
CD_CW,0x8002DA38,2,1,1,0x8002DA38(2)
CD_DATASYNC,0x8002E2E8,2,1,1,0x8002E2E8(2)
CD_DEBUG,0x8003BF70,2,1,1,0x8003BF70(2)
CD_FLUSH,0x8002DED8,2,1,1,0x8002DED8(2)
CD_GETSECTOR,0x8002E454,2,1,1,0x8002E454(2)
CD_INIT,0x8002E0FC,2,1,1,0x8002E0FC(2)
CD_INITINTR,0x8002E0AC,2,1,1,0x8002E0AC(2)
CD_INITVOL,0x8002DFB8,2,1,1,0x8002DFB8(2)
CD_INTSTR,0x8003C008,2,1,1,0x8003C008(2)
CD_MODE,0x8003BF84,2,1,1,0x8003BF84(2)
CD_NOPEN,0x8003BF7C,2,1,1,0x8003BF7C(2)
CD_POS,0x8003BF80,2,1,1,0x8003BF80(2)
CD_READY,0x8002D76C,2,1,1,0x8002D76C(2)
CD_SET_TEST_PARMNUM,0x8002E554,2,1,1,0x8002E554(2)
