varR,meanR,a_base,b_base
0.08,4095.98,0x26800,0x27800
0.08,4095.98,0x26a00,0x27a00
0.08,4095.98,0x26c00,0x27c00
0.08,4095.98,0x26e00,0x27e00
0.08,4095.98,0x27000,0x28000
0.08,4095.98,0x27200,0x28200
0.08,4095.98,0x27400,0x28400
0.08,4095.98,0x27600,0x28600
26089.01,4128.72,0x26600,0x27600
47096.21,4134.16,0x26400,0x27400
58122.59,4110.21,0x26200,0x27200
80446.34,4086.15,0x26800,0x27600
80446.34,4086.15,0x26800,0x27a00
80446.34,4086.15,0x26a00,0x27800
80446.34,4086.15,0x26a00,0x27c00
80446.34,4086.15,0x26c00,0x27a00
80446.34,4086.15,0x26c00,0x27e00
80446.34,4086.15,0x26e00,0x27c00
80446.34,4086.15,0x26e00,0x28000
80446.34,4086.15,0x27000,0x27e00
80446.34,4086.15,0x27000,0x28200
80446.34,4086.15,0x27200,0x28000
80446.34,4086.15,0x27200,0x28400
80446.34,4086.15,0x27400,0x28200
80446.34,4086.15,0x27400,0x28600
80446.34,4086.15,0x27600,0x28400
80446.34,4086.15,0x27800,0x28600
97160.41,4060.89,0x26000,0x27000
99197.10,4119.86,0x26600,0x27400
106372.09,4118.99,0x26600,0x27800
120980.82,4125.22,0x26400,0x27200
124677.74,4102.11,0x26200,0x27400
126033.24,4057.34,0x26000,0x27200
126449.94,4124.55,0x26400,0x27600
146276.97,3984.47,0x25e00,0x27000
153635.20,4098.57,0x26200,0x27000
195571.28,3978.28,0x25e00,0x26e00
214305.87,3879.00,0x25c00,0x26e00
250967.15,4041.91,0x26000,0x26e00
266582.87,3872.25,0x25c00,0x27000
281701.97,3749.46,0x25a00,0x26e00
291590.55,3966.19,0x25e00,0x27200
316888.79,4057.12,0x26800,0x27400
316888.79,4057.12,0x26800,0x27c00
316888.79,4057.12,0x26a00,0x27600
316888.79,4057.12,0x26a00,0x27e00
316888.79,4057.12,0x26c00,0x27800
316888.79,4057.12,0x26c00,0x28000
316888.79,4057.12,0x26e00,0x27a00
316888.79,4057.12,0x26e00,0x28200
316888.79,4057.12,0x27000,0x27c00
316888.79,4057.12,0x27000,0x28400
316888.79,4057.12,0x27200,0x27e00
316888.79,4057.12,0x27200,0x28600
316888.79,4057.12,0x27400,0x28000
316888.79,4057.12,0x27600,0x28200
316888.79,4057.12,0x27800,0x28400
316888.79,4057.12,0x27a00,0x28600
319817.41,4093.00,0x26600,0x27200
323933.42,4032.87,0x26000,0x27400
335017.74,4091.14,0x26600,0x27a00
342807.50,4098.24,0x26400,0x27000
345793.63,4075.07,0x26200,0x27600
353756.35,4096.90,0x26400,0x27800
370158.08,3737.65,0x25a00,0x26c00
381270.02,3597.07,0x25800,0x26c00
382436.92,3596.91,0x25800,0x26e00
394542.60,3855.70,0x25c00,0x26c00
410501.70,4067.12,0x26200,0x26e00
427496.22,3729.97,0x25a00,0x27000
429312.19,3441.99,0x25600,0x26c00
463682.06,3944.44,0x25e00,0x26c00
511471.93,3430.03,0x25600,0x26e00
515013.54,3840.04,0x25c00,0x27200
