fun_name,ea,size,shift_sites,unknown_pos_store_hits,small_neg_hits,velocity_adj_hits,heuristic_score,source_file,offsets_context_sample
FUN_00044f80,282496,1912,10,10,3,0,26,exports\bundle_all_plus_demo.jsonl,0x20;0x34;0x36;0x38;0x3c;0x3e;0x40;0x44;0xb8
FUN_00044f80,282496,1912,10,10,3,0,26,exports\bundle_GAME.BIN.jsonl,0x20;0x34;0x36;0x38;0x3c;0x3e;0x40;0x44;0xb8
FUN_00044f80,282496,1912,10,10,3,0,26,exports\bundle_ghidra.jsonl,0x20;0x34;0x36;0x38;0x3c;0x3e;0x40;0x44;0xb8
FUN_00044f80,282496,1912,10,10,3,0,26,exports\bundle_ghidra.jsonl,0x20;0x34;0x36;0x38;0x3c;0x3e;0x40;0x44;0xb8
FUN_00032c18,207896,1124,9,9,0,0,18,exports\bundle_all_plus_demo.jsonl,0x10;0x128;0x134;0x138;0x13a;0x13c;0x13e;0x140;0x142;0x144;0x146;0x148
FUN_00032c18,207896,1124,9,9,0,0,18,exports\bundle_GAME.BIN.jsonl,0x10;0x128;0x134;0x138;0x13a;0x13c;0x13e;0x140;0x142;0x144;0x146;0x148
FUN_00032c18,207896,1124,9,9,0,0,18,exports\bundle_ghidra.jsonl,0x10;0x128;0x134;0x138;0x13a;0x13c;0x13e;0x140;0x142;0x144;0x146;0x148
FUN_00032c18,207896,1124,9,9,0,0,18,exports\bundle_ghidra.jsonl,0x10;0x128;0x134;0x138;0x13a;0x13c;0x13e;0x140;0x142;0x144;0x146;0x148
FUN_00044a14,281108,1388,6,6,2,0,16,exports\bundle_all_plus_demo.jsonl,0x20;0x34;0x36;0x38;0x3c;0x3e;0x40;0x44;0x50;0x98;0x9c;0xb8
FUN_00044a14,281108,1388,6,6,2,0,16,exports\bundle_GAME.BIN.jsonl,0x20;0x34;0x36;0x38;0x3c;0x3e;0x40;0x44;0x50;0x98;0x9c;0xb8
FUN_00044a14,281108,1388,6,6,2,0,16,exports\bundle_ghidra.jsonl,0x20;0x34;0x36;0x38;0x3c;0x3e;0x40;0x44;0x50;0x98;0x9c;0xb8
FUN_00044a14,281108,1388,6,6,2,0,16,exports\bundle_ghidra.jsonl,0x20;0x34;0x36;0x38;0x3c;0x3e;0x40;0x44;0x50;0x98;0x9c;0xb8
FUN_0001e750,124752,100,6,6,1,0,14,exports\bundle_all_plus_demo.jsonl,0xfff
FUN_0001e750,124752,100,6,6,1,0,14,exports\bundle_ghidra.jsonl,0xfff
FUN_0001e750,124752,100,6,6,1,0,14,exports\bundle_ghidra.jsonl,0xfff
FUN_0001e750,124752,100,6,6,1,0,14,exports\bundle_MAIN.EXE.jsonl,0xfff
FUN_0001e7b4,124852,592,6,6,1,0,14,exports\bundle_all_plus_demo.jsonl,0xfff
FUN_0001e7b4,124852,592,6,6,1,0,14,exports\bundle_ghidra.jsonl,0xfff
FUN_0001e7b4,124852,592,6,6,1,0,14,exports\bundle_ghidra.jsonl,0xfff
FUN_0001e7b4,124852,592,6,6,1,0,14,exports\bundle_MAIN.EXE.jsonl,0xfff
FUN_00026c68,158824,484,3,3,3,0,12,exports\bundle_all_plus_demo.jsonl,0x34;0x36;0x38
FUN_00026c68,158824,484,3,3,3,0,12,exports\bundle_GAME.BIN.jsonl,0x34;0x36;0x38
FUN_00026c68,158824,484,3,3,3,0,12,exports\bundle_ghidra.jsonl,0x34;0x36;0x38
FUN_00026c68,158824,484,3,3,3,0,12,exports\bundle_ghidra.jsonl,0x34;0x36;0x38
FUN_000475dc,292316,1808,3,3,3,0,12,exports\bundle_all_plus_demo.jsonl,0x10;0x12;0x18;0x2c;0x30;0x34;0x36;0x38;0x3c;0x40;0x44;0xc
FUN_000475dc,292316,1808,3,3,3,0,12,exports\bundle_GAME.BIN.jsonl,0x10;0x12;0x18;0x2c;0x30;0x34;0x36;0x38;0x3c;0x40;0x44;0xc
FUN_000475dc,292316,1808,3,3,3,0,12,exports\bundle_ghidra.jsonl,0x10;0x12;0x18;0x2c;0x30;0x34;0x36;0x38;0x3c;0x40;0x44;0xc
FUN_000475dc,292316,1808,3,3,3,0,12,exports\bundle_ghidra.jsonl,0x10;0x12;0x18;0x2c;0x30;0x34;0x36;0x38;0x3c;0x40;0x44;0xc
FUN_00022dc8,142792,148,3,3,2,0,10,exports\bundle_all_plus_demo.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_00022dc8,142792,148,3,3,2,0,10,exports\bundle_GAME.BIN.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_00022dc8,142792,148,3,3,2,0,10,exports\bundle_ghidra.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_00022dc8,142792,148,3,3,2,0,10,exports\bundle_ghidra.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_00022e5c,142940,420,3,3,2,0,10,exports\bundle_all_plus_demo.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_00022e5c,142940,420,3,3,2,0,10,exports\bundle_GAME.BIN.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_00022e5c,142940,420,3,3,2,0,10,exports\bundle_ghidra.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_00022e5c,142940,420,3,3,2,0,10,exports\bundle_ghidra.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_00023180,143744,144,3,3,2,0,10,exports\bundle_all_plus_demo.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_00023180,143744,144,3,3,2,0,10,exports\bundle_GAME.BIN.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_00023180,143744,144,3,3,2,0,10,exports\bundle_ghidra.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_00023180,143744,144,3,3,2,0,10,exports\bundle_ghidra.jsonl,0x12;0x182;0x34;0x38;0xc;0xec
FUN_0004a058,303192,964,3,3,2,0,10,exports\bundle_all_plus_demo.jsonl,0x3e;0x68;0x98;0x9c;0xb8;0xc00000
FUN_0004a058,303192,964,3,3,2,0,10,exports\bundle_GAME.BIN.jsonl,0x3e;0x68;0x98;0x9c;0xb8;0xc00000
